1121,44793,114
689,276123,38
935,255338,37
395,35257,49
606,34538,83
274,32755,59
893,105686,38
636,37455,52
390,31489,52
465,32566,54
830,26449,56
139,1433,13
102,324,25
208,638,15
253,1629,25
131,529,14
209,2090,26
141,750,11
1,1334,9
6,2279,5
288,3361,23
3,1718,3
218,7227,11
195,3618,21
213,5722,19
1,1589,3
1,477,5
0,385,9
7,3268,7
2,1089,3
3,1352,5
4,952,2
11,3139,6
0,398,6
1,1651,6
1,1368,1
1,302,5
1,1035,3
1,354,12
0,212,6
0,332,4
0,416,2
16,3456,10
0,424,8
1,446,3
7,1051,9
0,786,5
1,602,7
0,1488,3
1,360,5
0,409,3
0,870,3
1,382,3
1,257,2
0,91,0
0,101,1
0,17,1
0,61,0
0,23,0
0,64,2
