
feature: tradeoff	DF[0]:2	DF[1]:3	DF[2]:10	DF[3]:28	DF[4]:62	TTF[0]:4	TTF[1]:3	TTF[2]:10	TTF[3]:28	TTF[4]:63
feature: demonstr	DF[0]:8	DF[1]:9	DF[2]:6	DF[3]:14	DF[4]:77	TTF[0]:8	TTF[1]:9	TTF[2]:6	TTF[3]:15	TTF[4]:83
feature: qualcomm	DF[0]:2	DF[1]:0	DF[2]:4	DF[3]:16	DF[4]:23	TTF[0]:2	TTF[1]:0	TTF[2]:4	TTF[3]:20	TTF[4]:29
feature: mi	DF[0]:18	DF[1]:7	DF[2]:4	DF[3]:23	DF[4]:97	TTF[0]:23	TTF[1]:7	TTF[2]:4	TTF[3]:24	TTF[4]:118
feature: readili	DF[0]:14	DF[1]:14	DF[2]:15	DF[3]:31	DF[4]:152	TTF[0]:14	TTF[1]:14	TTF[2]:15	TTF[3]:32	TTF[4]:152
feature: onth	DF[0]:6	DF[1]:4	DF[2]:5	DF[3]:23	DF[4]:65	TTF[0]:6	TTF[1]:4	TTF[2]:5	TTF[3]:23	TTF[4]:65
feature: girlfriend	DF[0]:26	DF[1]:26	DF[2]:29	DF[3]:46	DF[4]:268	TTF[0]:33	TTF[1]:40	TTF[2]:40	TTF[3]:50	TTF[4]:289
feature: techi	DF[0]:23	DF[1]:30	DF[2]:32	DF[3]:123	DF[4]:364	TTF[0]:28	TTF[1]:31	TTF[2]:33	TTF[3]:132	TTF[4]:387
feature: downward	DF[0]:1	DF[1]:0	DF[2]:4	DF[3]:9	DF[4]:17	TTF[0]:1	TTF[1]:0	TTF[2]:4	TTF[3]:9	TTF[4]:25
feature: syndrom	DF[0]:3	DF[1]:3	DF[2]:3	DF[3]:10	DF[4]:36	TTF[0]:3	TTF[1]:3	TTF[2]:5	TTF[3]:10	TTF[4]:37
feature: revolv	DF[0]:1	DF[1]:0	DF[2]:8	DF[3]:20	DF[4]:28	TTF[0]:1	TTF[1]:0	TTF[2]:8	TTF[3]:30	TTF[4]:28
feature: highresolut	DF[0]:4	DF[1]:1	DF[2]:2	DF[3]:3	DF[4]:20	TTF[0]:4	TTF[1]:1	TTF[2]:2	TTF[3]:3	TTF[4]:25
feature: 3the	DF[0]:1	DF[1]:1	DF[2]:4	DF[3]:5	DF[4]:20	TTF[0]:1	TTF[1]:1	TTF[2]:4	TTF[3]:5	TTF[4]:20
feature: pristin	DF[0]:6	DF[1]:3	DF[2]:10	DF[3]:9	DF[4]:57	TTF[0]:6	TTF[1]:3	TTF[2]:10	TTF[3]:9	TTF[4]:59
feature: allthi	DF[0]:5	DF[1]:0	DF[2]:1	DF[3]:1	DF[4]:8	TTF[0]:5	TTF[1]:0	TTF[2]:1	TTF[3]:1	TTF[4]:8
feature: accountth	DF[0]:5	DF[1]:1	DF[2]:0	DF[3]:1	DF[4]:8	TTF[0]:5	TTF[1]:1	TTF[2]:0	TTF[3]:1	TTF[4]:8
feature: lectur	DF[0]:9	DF[1]:8	DF[2]:13	DF[3]:42	DF[4]:127	TTF[0]:9	TTF[1]:8	TTF[2]:16	TTF[3]:46	TTF[4]:151
feature: multi	DF[0]:13	DF[1]:13	DF[2]:35	DF[3]:71	DF[4]:236	TTF[0]:14	TTF[1]:16	TTF[2]:40	TTF[3]:83	TTF[4]:280
feature: film	DF[0]:29	DF[1]:9	DF[2]:16	DF[3]:74	DF[4]:220	TTF[0]:30	TTF[1]:14	TTF[2]:20	TTF[3]:96	TTF[4]:352
feature: voicemail	DF[0]:17	DF[1]:2	DF[2]:1	DF[3]:6	DF[4]:1	TTF[0]:19	TTF[1]:2	TTF[2]:1	TTF[3]:6	TTF[4]:1
