14	7	0.0002	[6 39 39 39 39 6 26 39 25 39 30 22 10 39 ]
10	4	0.0021	[25 6 6 25 10 10 25 6 25 20 ]
5	1	0.0048	[39 39 39 39 39 ]
4	1	0.0017	[25 25 25 25 ]
11	6	0.0439	[21 39 21 21 21 21 16 44 16 25 0 ]
14	4	0.0070	[25 25 25 25 25 25 16 25 25 38 25 38 39 39 ]
19	7	0.7489	[6 6 6 39 10 17 6 17 17 39 20 39 6 13 13 20 25 13 13 ]
8	2	0.0077	[39 25 25 25 25 25 25 25 ]
26	6	0.2950	[38 38 33 38 38 6 38 25 38 38 6 38 25 38 25 38 38 25 25 38 38 25 39 22 38 38 ]
7	4	0.0740	[38 25 20 25 25 20 17 ]
2	1	0.0000	[25 25 ]
18	5	0.5487	[38 39 39 38 33 38 38 20 17 38 17 38 17 17 17 38 20 38 ]
17	6	0.2011	[41 39 39 39 38 39 39 39 39 25 25 6 25 25 25 39 21 ]
9	4	0.0105	[38 25 39 25 39 25 39 25 6 ]
71	5	0.2618	[25 25 25 25 25 25 25 25 25 25 39 25 25 25 39 25 39 25 25 39 39 25 25 25 39 39 25 39 25 38 38 38 38 38 39 38 38 38 39 39 39 25 25 25 39 39 39 25 25 25 39 0 0 0 25 39 25 25 25 39 25 25 25 39 39 25 17 25 25 25 39 ]
12	3	0.0039	[25 25 25 25 38 39 25 25 25 25 25 25 ]
6	6	0.0000	[39 36 25 6 34 20 ]
8	2	0.0054	[25 25 25 25 25 39 39 39 ]
2	1	0.0000	[25 25 ]
3	3	0.1017	[20 0 10 ]
4	1	0.0449	[30 30 30 30 ]
7	7	0.0007	[36 18 25 30 10 26 20 ]
5	4	0.4321	[39 39 16 36 38 ]
53	10	0.5385	[25 25 25 25 34 42 21 6 25 42 25 25 25 25 6 25 25 6 25 25 25 25 25 25 44 25 39 25 39 39 6 42 6 39 39 20 25 25 42 25 25 6 6 20 20 20 14 25 25 25 25 20 22 ]
2	2	0.0000	[33 39 ]
8	5	0.0026	[7 34 13 13 13 39 22 13 ]
2	1	0.0000	[39 39 ]
29	4	1.0764	[38 38 38 38 38 38 39 38 38 25 25 25 38 38 6 39 39 38 38 39 39 6 25 25 25 38 38 6 25 ]
8	5	0.0893	[25 25 7 20 39 23 39 25 ]
62	5	0.7346	[25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 38 19 25 25 25 39 38 25 25 25 39 30 30 25 30 ]
3	2	0.0106	[25 25 10 ]
8	3	0.1998	[25 39 38 38 39 25 25 38 ]
6	5	0.0051	[20 25 18 18 36 34 ]
6	3	0.0002	[25 20 20 20 25 16 ]
23	6	0.0600	[39 25 25 26 39 21 21 39 39 38 39 38 39 39 38 19 39 38 38 39 39 39 39 ]
38	7	1.9923	[25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 42 25 25 25 25 25 33 25 25 38 6 38 25 25 25 17 25 6 25 33 20 ]
5	5	0.0080	[6 37 20 23 30 ]
22	1	0.6298	[39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 ]
4	2	0.3221	[39 39 39 21 ]
