15928.18103	-39846094.32867	-1.00000	7	0.85862	0.95784
15576.23498	-39803468.36438	0.00106	5	0.85848	0.95813
15453.50729	-39788008.17491	0.00039	4	0.85840	0.95762
15446.28079	-39764197.21693	0.00060	4	0.85880	0.95777
15409.76808	-39708494.76487	0.00140	4	0.85926	0.95800
15401.83267	-39689632.50637	0.00048	4	0.85973	0.95797
15382.20271	-39684398.40717	0.00013	4	0.85948	0.95792
15395.04828	-39681656.51195	0.00007	4	0.86027	0.95820
15392.23128	-39679756.21650	0.00005	4	0.86033	0.95813
15385.86928	-39678627.63179	0.00003	4	0.86031	0.95840
15409.88543	-39677617.97130	0.00003	4	0.86009	0.95829
15402.80367	-39677216.39467	0.00001	4	0.86002	0.95811
15431.54291	-39676249.80498	0.00003	4	0.85986	0.95818
15388.71484	-39675825.49982	0.00001	4	0.86018	0.95824
15337.03635	-39675237.35593	0.00001	4	0.86059	0.95830
15387.09193	-39675137.18076	0.00000	4	0.86068	0.95820
15335.89545	-39674679.82467	0.00001	4	0.86083	0.95825
15329.41796	-39673976.32258	0.00002	4	0.86053	0.95814
15288.57822	-39673573.14466	0.00001	4	0.86063	0.95805
15299.23312	-39673260.76398	0.00001	4	0.86064	0.95808
15345.91427	-39672989.56864	0.00001	4	0.86091	0.95815
15332.65255	-39673005.94529	-0.00000	4	0.86095	0.95815
