14	7	0.0008	[6 39 39 39 39 6 26 39 25 39 30 22 10 39 ]
10	4	0.0000	[25 6 6 25 10 10 25 6 25 20 ]
5	1	0.0018	[39 39 39 39 39 ]
4	1	0.0074	[25 25 25 25 ]
11	6	0.0615	[21 39 21 21 21 21 16 44 16 25 0 ]
14	4	0.0104	[25 25 25 25 25 25 16 25 25 38 25 38 39 39 ]
19	7	0.6712	[6 6 6 39 10 17 6 17 17 39 20 39 6 13 13 20 25 13 13 ]
8	2	0.0034	[39 25 25 25 25 25 25 25 ]
26	6	0.5535	[38 38 33 38 38 6 38 25 38 38 6 38 25 38 25 38 38 25 25 38 38 25 39 22 38 38 ]
7	4	0.0226	[38 25 20 25 25 20 17 ]
2	1	0.0000	[25 25 ]
18	5	0.8788	[38 39 39 38 33 38 38 20 17 38 17 38 17 17 17 38 20 38 ]
17	6	1.7025	[41 39 39 39 38 39 39 39 39 25 25 6 25 25 25 39 21 ]
9	4	0.0125	[38 25 39 25 39 25 39 25 6 ]
71	5	0.7833	[25 25 25 25 25 25 25 25 25 25 39 25 25 25 39 25 39 25 25 39 39 25 25 25 39 39 25 39 25 38 38 38 38 38 39 38 38 38 39 39 39 25 25 25 39 39 39 25 25 25 39 0 0 0 25 39 25 25 25 39 25 25 25 39 39 25 17 25 25 25 39 ]
12	3	0.0097	[25 25 25 25 38 39 25 25 25 25 25 25 ]
6	6	0.0019	[39 36 25 6 34 20 ]
8	2	0.0029	[25 25 25 25 25 39 39 39 ]
2	1	0.0000	[25 25 ]
3	3	0.1061	[20 0 10 ]
4	1	0.0000	[30 30 30 30 ]
7	7	0.7385	[36 18 25 30 10 26 20 ]
5	4	0.8933	[39 39 16 36 38 ]
53	10	0.5782	[25 25 25 25 34 42 21 6 25 42 25 25 25 25 6 25 25 6 25 25 25 25 25 25 44 25 39 25 39 39 6 42 6 39 39 20 25 25 42 25 25 6 6 20 20 20 14 25 25 25 25 20 22 ]
2	2	0.0010	[33 39 ]
8	5	0.0073	[7 34 13 13 13 39 22 13 ]
2	1	0.0000	[39 39 ]
29	4	1.0622	[38 38 38 38 38 38 39 38 38 25 25 25 38 38 6 39 39 38 38 39 39 6 25 25 25 38 38 6 25 ]
8	5	0.2003	[25 25 7 20 39 23 39 25 ]
62	5	1.1602	[25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 38 19 25 25 25 39 38 25 25 25 39 30 30 25 30 ]
3	2	0.0072	[25 25 10 ]
8	3	0.2624	[25 39 38 38 39 25 25 38 ]
6	5	0.0080	[20 25 18 18 36 34 ]
6	3	0.0006	[25 20 20 20 25 16 ]
23	6	0.0529	[39 25 25 26 39 21 21 39 39 38 39 38 39 39 38 19 39 38 38 39 39 39 39 ]
38	7	1.6911	[25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 42 25 25 25 25 25 33 25 25 38 6 38 25 25 25 17 25 6 25 33 20 ]
5	5	0.0146	[6 37 20 23 30 ]
22	1	0.1455	[39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 39 ]
4	2	0.9502	[39 39 39 21 ]
72	9	1.9325	[38 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 38 38 38 38 25 38 38 38 38 38 25 25 1 25 39 25 38 6 25 25 39 20 25 25 25 25 39 25 11 25 25 39 38 14 25 25 25 25 22 22 ]
3	1	0.0208	[25 25 25 ]
2	1	0.0000	[38 38 ]
3	2	0.0000	[39 39 38 ]
5	2	0.0515	[30 30 33 30 30 ]
31	5	0.3078	[38 38 38 38 38 38 38 39 21 39 21 38 26 38 38 25 38 38 38 38 39 38 38 21 25 25 38 25 38 39 38 ]
16	2	0.4765	[25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 6 ]
57	1	1.4910	[25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 25 ]
7	3	0.1966	[6 6 6 39 21 39 39 ]
5	4	0.0000	[39 39 26 25 21 ]
5	5	0.0006	[39 21 25 11 42 ]
22	5	0.5438	[25 38 39 25 39 38 39 38 39 13 39 39 26 26 26 26 39 25 39 39 26 39 ]
5	4	0.0000	[20 25 25 39 22 ]
7	2	0.0034	[38 38 39 39 39 39 38 ]
23	5	0.2989	[25 25 38 25 25 25 38 25 25 25 25 25 25 20 25 39 25 25 25 25 25 6 25 ]
