14	7	0.5000	0.5000
26	6	0.8762	1.0000
5	1	1.0000	1.0000
14	4	0.5000	0.5000
8	2	0.5000	0.5000
19	7	0.7619	0.8667
10	4	1.0000	1.0000
2	1	0.5000	0.5000
11	6	0.4545	1.0000
12	3	1.0000	1.0000
6	6	0.5000	0.5000
2	1	0.5000	0.5000
4	1	0.5000	0.5000
9	4	1.0000	1.0000
2	1	0.5000	0.5000
7	7	1.0000	1.0000
2	2	0.5000	0.5000
17	6	0.8000	1.0000
4	1	1.0000	1.0000
71	5	0.8839	0.9365
6	5	1.0000	1.0000
53	10	0.9571	1.0000
62	5	0.7801	0.8784
3	1	0.5000	0.5000
8	5	0.4286	0.5000
23	6	0.5000	0.5000
5	4	0.2500	1.0000
5	4	0.5000	0.5000
22	1	0.8070	0.8070
5	5	1.0000	1.0000
3	2	0.5000	0.5000
8	3	0.7333	1.0000
3	2	0.5000	0.5000
16	2	0.7333	0.8545
4	2	0.3333	0.3333
40	2	0.8810	0.8810
23	5	0.7000	0.8095
31	5	0.7949	1.0000
22	5	0.7708	0.7708
7	4	1.0000	1.0000
7	2	0.5000	0.5000
72	9	0.8390	0.8390
42	4	0.6912	0.7375
57	1	0.8117	0.9137
5	3	0.5000	0.5000
6	2	0.5000	0.5000
10	5	0.5000	0.5000
7	3	0.4286	0.5000
10	2	0.5833	1.0000
6	2	1.0000	1.0000
65	4	0.6654	0.7664
59	9	0.7115	0.7574
8	3	1.0000	1.0000
14	3	1.0000	1.0000
2	1	0.5000	0.5000
21	1	1.0000	1.0000
5	4	0.4000	0.4000
7	1	1.0000	1.0000
8	2	1.0000	1.0000
2	2	0.5000	0.5000
3	1	0.3333	1.0000
7	1	0.4286	0.5000
2	2	0.5000	0.5000
12	3	0.6667	1.0000
4	3	0.5000	0.5000
8	3	0.7333	0.7333
43	5	0.9091	0.9545
27	2	0.4750	0.5238
57	4	0.8535	0.9268
12	2	0.5000	0.5000
10	7	0.5000	0.5000
5	3	0.6667	1.0000
10	3	1.0000	1.0000
4	4	0.3333	1.0000
13	5	0.7879	0.7879
5	3	1.0000	1.0000
9	3	1.0000	1.0000
106	1	0.6176	0.8478
9	4	0.2857	0.5833
2	2	0.5000	0.5000
11	2	1.0000	1.0000
10	4	1.0000	1.0000
3	2	1.0000	1.0000
12	3	1.0000	1.0000
11	1	0.7778	1.0000
17	1	0.6786	1.0000
2	2	0.0000	0.0000
4	3	1.0000	1.0000
8	7	0.5000	0.5000
18	1	0.6786	0.8615
2	2	0.5000	0.5000
3	3	1.0000	1.0000
7	5	0.5000	0.7333
38	6	1.0000	1.0000
6	2	0.5000	0.5000
4	1	1.0000	1.0000
6	6	0.6667	1.0000
5	2	0.6667	0.6667
5	3	0.4000	0.4000
3	3	0.5000	0.5000
2	1	0.5000	0.5000
5	3	0.5000	0.5000
3	1	1.0000	1.0000
29	2	1.0000	1.0000
21	5	0.6944	0.8706
2	2	0.5000	0.5000
6	5	1.0000	1.0000
5	2	1.0000	1.0000
87	5	0.7403	0.8442
4	3	0.3333	0.5000
64	4	0.6825	0.8095
6	4	0.4000	0.4000
14	4	0.3000	0.3636
16	5	1.0000	1.0000
7	4	0.7333	1.0000
6	2	0.5000	0.5000
3	2	0.3333	1.0000
18	2	0.8000	0.8000
13	7	0.4615	0.4615
3	2	1.0000	1.0000
2	2	0.5000	0.5000
8	1	0.3333	0.7333
8	2	0.3333	0.5000
70	3	0.7667	0.8087
12	6	0.8286	1.0000
4	3	1.0000	1.0000
3	1	0.5000	0.5000
15	4	1.0000	1.0000
4	3	1.0000	1.0000
7	2	1.0000	1.0000
9	2	0.5000	0.5000
12	2	0.4000	0.4000
6	2	0.5000	0.5000
4	1	0.3333	1.0000
4	3	1.0000	1.0000
3	2	1.0000	1.0000
7	4	0.7333	1.0000
4	3	0.3333	1.0000
5	1	0.4000	1.0000
7	2	1.0000	1.0000
4	1	1.0000	1.0000
29	4	0.4643	0.4643
3	2	1.0000	1.0000
12	1	0.7778	0.7778
15	3	1.0000	1.0000
6	5	0.5000	0.5000
9	3	0.5000	0.5000
4	2	1.0000	1.0000
4	2	0.3333	1.0000
7	5	0.5000	0.5000
64	4	0.7256	0.7630
4	1	1.0000	1.0000
4	1	1.0000	1.0000
35	3	0.6516	0.7188
62	6	0.8342	0.8540
6	1	1.0000	1.0000
6	2	1.0000	1.0000
7	2	0.4286	0.4286
57	6	1.0000	1.0000
8	5	1.0000	1.0000
29	2	0.8148	0.8148
14	9	0.7879	1.0000
3	1	0.3333	1.0000
2	1	0.0000	0.5000
4	3	0.3333	0.3333
9	1	1.0000	1.0000
37	7	0.6801	0.7286
7	1	0.4286	0.4286
62	4	0.9349	0.9354
3	2	0.5000	0.5000
5	2	1.0000	1.0000
2	2	0.5000	0.5000
2	1	0.5000	0.5000
9	5	0.5000	0.5000
4	1	0.5000	0.5000
5	2	0.5000	0.5000
16	1	0.7949	1.0000
3	2	0.3333	0.3333
8	5	0.3333	0.5000
4	4	0.5000	0.5000
7	2	0.7333	1.0000
3	1	0.5000	0.5000
11	4	0.8286	0.8286
51	1	0.8523	0.9328
5	4	0.5000	0.5000
6	3	0.5000	0.5000
3	3	1.0000	1.0000
5	1	1.0000	1.0000
8	3	1.0000	1.0000
45	2	0.6167	0.7444
8	1	0.7333	0.7333
7	3	1.0000	1.0000
49	2	0.7500	0.8904
16	4	1.0000	1.0000
4	2	0.5000	0.5000
5	5	0.5000	0.5000
34	5	0.8172	1.0000
11	1	0.4545	1.0000
12	2	1.0000	1.0000
5	1	1.0000	1.0000
4	1	0.5000	0.5000
54	3	0.8773	0.9333
49	3	0.6212	0.6667
2	1	0.0000	0.5000
31	3	0.8815	1.0000
5	1	1.0000	1.0000
13	3	0.5000	0.5000
6	3	0.4000	1.0000
7	2	1.0000	1.0000
