Topic 11(0.021):	window(0.030)	app(0.019)	android(0.017)	full(0.012)	instal(0.012)	offic(0.010)	rt(0.010)	processor(0.010)	microsoft(0.010)	surfac(0.010)	work(0.010)	version(0.009)	asus(0.009)	softwar(0.008)	pro(0.008)	updat(0.007)	devic(0.007)	laptop(0.007)	keyboard(0.007)	infin(0.007)	memori(0.007)	function(0.006)	card(0.006)	core(0.006)	gb(0.006)	issu(0.006)	samsung(0.006)	good(0.006)	system(0.006)	comput(0.006)	program(0.006)	screen(0.006)	better(0.006)	galaxi(0.006)	googl(0.006)	thing(0.005)	applic(0.005)	phone(0.005)	power(0.005)	great(0.005)	download(0.005)	os(0.005)	transform(0.005)	play(0.005)	problem(0.005)	game(0.004)	quad(0.004)	buy(0.004)	price(0.004)	video(0.004)	
Topic 12(0.029):	card(0.030)	sd(0.027)	storag(0.018)	memori(0.018)	slot(0.017)	usb(0.016)	fast(0.016)	screen(0.016)	good(0.014)	great(0.014)	nice(0.013)	price(0.013)	micro(0.012)	camera(0.012)	port(0.011)	processor(0.011)	core(0.011)	ram(0.010)	hdmi(0.010)	wifi(0.008)	gb(0.008)	expand(0.008)	android(0.007)	32gb(0.007)	size(0.007)	full(0.007)	quad(0.007)	work(0.006)	dual(0.006)	gig(0.006)	qualiti(0.006)	space(0.006)	respons(0.005)	front(0.005)	drive(0.005)	64gb(0.005)	microsd(0.005)	app(0.005)	batteri(0.005)	ship(0.005)	thing(0.005)	support(0.005)	connect(0.005)	extern(0.005)	decent(0.004)	bluetooth(0.004)	feel(0.004)	devic(0.004)	bought(0.004)	expans(0.004)	
Topic 13(0.056):	great(0.035)	kid(0.028)	good(0.027)	price(0.024)	work(0.022)	love(0.022)	play(0.021)	bought(0.019)	game(0.019)	money(0.018)	time(0.018)	year(0.014)	buy(0.014)	cheap(0.013)	product(0.012)	daughter(0.012)	purchas(0.012)	slow(0.011)	thing(0.010)	worth(0.010)	son(0.009)	app(0.008)	pay(0.007)	spend(0.007)	learn(0.007)	gift(0.006)	expect(0.006)	devic(0.006)	christma(0.006)	ipad(0.006)	lot(0.006)	happi(0.006)	perfect(0.006)	child(0.005)	month(0.005)	recommend(0.005)	bad(0.005)	nice(0.005)	screen(0.005)	best(0.005)	week(0.004)	zeepad(0.004)	android(0.004)	enjoy(0.004)	save(0.004)	item(0.004)	guess(0.004)	bit(0.004)	broke(0.004)	starter(0.004)	
Topic 14(0.027):	ipad(0.030)	price(0.019)	great(0.018)	kindl(0.016)	game(0.016)	read(0.015)	good(0.015)	app(0.014)	video(0.012)	better(0.011)	play(0.011)	lot(0.011)	web(0.011)	watch(0.010)	book(0.010)	devic(0.010)	movi(0.010)	qualiti(0.009)	screen(0.009)	hd(0.009)	thing(0.008)	fire(0.008)	surf(0.008)	buy(0.008)	compar(0.007)	recommend(0.007)	display(0.007)	internet(0.006)	sound(0.006)	worth(0.006)	appl(0.006)	pictur(0.006)	brows(0.006)	featur(0.006)	money(0.005)	offer(0.005)	hdx(0.005)	low(0.005)	big(0.005)	music(0.005)	definit(0.005)	product(0.005)	work(0.005)	high(0.005)	mini(0.004)	nice(0.004)	wifi(0.004)	excel(0.004)	perform(0.004)	camera(0.004)	
Topic 15(0.037):	ipad(0.040)	appl(0.031)	purchas(0.018)	product(0.017)	buy(0.017)	amazon(0.016)	problem(0.013)	devic(0.012)	call(0.011)	custom(0.011)	store(0.010)	support(0.010)	servic(0.010)	return(0.009)	issu(0.009)	model(0.009)	number(0.009)	review(0.008)	help(0.008)	bought(0.007)	price(0.007)	refurbish(0.007)	work(0.006)	phone(0.006)	time(0.006)	box(0.006)	order(0.006)	replac(0.005)	month(0.005)	nexus(0.005)	item(0.005)	day(0.005)	warranti(0.005)	hope(0.005)	find(0.005)	att(0.005)	asus(0.005)	year(0.005)	samsung(0.005)	contact(0.005)	receiv(0.005)	tech(0.004)	sell(0.004)	card(0.004)	peopl(0.004)	seller(0.004)	brand(0.004)	read(0.004)	ship(0.004)	person(0.004)	
Topic 16(0.042):	screen(0.039)	return(0.037)	touch(0.020)	amazon(0.019)	time(0.019)	work(0.018)	day(0.017)	box(0.015)	product(0.014)	item(0.013)	receiv(0.013)	week(0.011)	replac(0.011)	ship(0.011)	refund(0.011)	problem(0.010)	seller(0.010)	unit(0.010)	respons(0.009)	defect(0.009)	open(0.009)	contact(0.009)	arriv(0.008)	packag(0.008)	respond(0.007)	order(0.007)	issu(0.007)	devic(0.007)	window(0.007)	custom(0.006)	broken(0.006)	slow(0.006)	crack(0.006)	start(0.005)	second(0.005)	support(0.005)	turn(0.005)	seal(0.005)	bought(0.005)	call(0.005)	good(0.004)	final(0.004)	servic(0.004)	send(0.004)	wait(0.004)	complet(0.004)	great(0.004)	pay(0.004)	disappoint(0.004)	exchang(0.004)	
Topic 17(0.024):	charg(0.052)	card(0.034)	usb(0.030)	charger(0.026)	sd(0.025)	memori(0.018)	port(0.017)	work(0.016)	micro(0.015)	cabl(0.014)	devic(0.013)	app(0.012)	plug(0.012)	connect(0.012)	slot(0.011)	problem(0.010)	time(0.008)	power(0.007)	intern(0.007)	cord(0.006)	microsd(0.006)	wo(0.006)	gb(0.006)	thing(0.006)	unit(0.006)	batteri(0.005)	wall(0.005)	storag(0.005)	turn(0.005)	comput(0.005)	remov(0.005)	hdmi(0.005)	includ(0.005)	con(0.004)	file(0.004)	space(0.004)	annoy(0.004)	mini(0.004)	transfer(0.004)	month(0.004)	start(0.004)	32gb(0.004)	day(0.004)	extern(0.004)	hold(0.004)	issu(0.004)	save(0.003)	phone(0.003)	move(0.003)	second(0.003)	
Topic 18(0.025):	usb(0.032)	case(0.027)	screen(0.025)	port(0.020)	power(0.017)	adapt(0.016)	charg(0.015)	keyboard(0.014)	cover(0.012)	work(0.011)	devic(0.010)	connect(0.009)	drive(0.009)	charger(0.008)	plug(0.008)	cabl(0.008)	buy(0.008)	time(0.007)	plastic(0.007)	scratch(0.007)	find(0.006)	hdmi(0.006)	protect(0.006)	protector(0.006)	stylus(0.006)	bit(0.006)	nice(0.006)	feel(0.006)	thing(0.006)	includ(0.005)	magnet(0.005)	drop(0.005)	micro(0.005)	button(0.005)	ipad(0.005)	good(0.005)	glass(0.005)	proprietari(0.005)	dock(0.005)	connector(0.005)	open(0.004)	batteri(0.004)	crack(0.004)	purchas(0.004)	fit(0.004)	edg(0.004)	small(0.004)	issu(0.004)	easili(0.004)	hold(0.004)	
Topic 19(0.032):	app(0.057)	slow(0.026)	work(0.026)	android(0.017)	game(0.014)	time(0.013)	devic(0.012)	screen(0.011)	instal(0.009)	ipad(0.009)	load(0.009)	good(0.009)	bit(0.009)	play(0.008)	expect(0.008)	find(0.008)	samsung(0.008)	price(0.008)	better(0.008)	great(0.008)	lag(0.007)	thing(0.007)	phone(0.007)	download(0.006)	pretti(0.006)	galaxi(0.006)	store(0.006)	updat(0.006)	limit(0.006)	perform(0.006)	respons(0.005)	crash(0.005)	speed(0.005)	function(0.005)	applic(0.005)	open(0.005)	product(0.005)	tab(0.005)	googl(0.004)	wifi(0.004)	processor(0.004)	angri(0.004)	freez(0.004)	bad(0.004)	bird(0.004)	memori(0.004)	netflix(0.004)	youtub(0.004)	problem(0.004)	video(0.004)	
Topic 20(0.037):	android(0.025)	money(0.019)	updat(0.017)	time(0.017)	wast(0.015)	product(0.015)	review(0.014)	problem(0.013)	issu(0.012)	work(0.011)	screen(0.011)	support(0.011)	archo(0.011)	system(0.011)	devic(0.010)	thing(0.009)	custom(0.009)	user(0.009)	version(0.008)	read(0.008)	hope(0.008)	manual(0.008)	help(0.008)	upgrad(0.008)	buy(0.007)	month(0.007)	oper(0.007)	firmwar(0.007)	start(0.007)	softwar(0.006)	piec(0.006)	instruct(0.006)	disappoint(0.006)	better(0.006)	lot(0.006)	peopl(0.006)	junk(0.006)	window(0.006)	find(0.005)	asus(0.005)	learn(0.005)	os(0.005)	order(0.005)	worth(0.005)	frustrat(0.004)	good(0.004)	servic(0.004)	recommend(0.004)	great(0.004)	market(0.004)	
Topic 21(0.024):	screen(0.055)	button(0.014)	touch(0.013)	batteri(0.011)	keyboard(0.011)	mode(0.010)	power(0.008)	angl(0.008)	thing(0.008)	issu(0.007)	view(0.007)	resolut(0.007)	light(0.007)	life(0.007)	bit(0.007)	type(0.007)	app(0.007)	ipad(0.007)	feel(0.006)	time(0.006)	turn(0.006)	good(0.006)	hold(0.006)	better(0.006)	window(0.006)	set(0.006)	updat(0.005)	devic(0.005)	bright(0.005)	camera(0.005)	display(0.005)	hand(0.005)	work(0.005)	problem(0.005)	color(0.005)	press(0.005)	notic(0.005)	top(0.005)	landscap(0.004)	side(0.004)	bottom(0.004)	bad(0.004)	read(0.004)	great(0.004)	volum(0.004)	portrait(0.004)	finger(0.004)	android(0.004)	small(0.004)	charg(0.004)	
Topic 22(0.039):	charg(0.041)	time(0.039)	turn(0.034)	work(0.030)	batteri(0.019)	reset(0.017)	day(0.016)	screen(0.015)	freez(0.014)	button(0.013)	hour(0.012)	app(0.012)	power(0.011)	minut(0.011)	unit(0.011)	start(0.011)	shut(0.010)	plug(0.010)	hold(0.009)	week(0.009)	second(0.008)	issu(0.008)	reboot(0.008)	factori(0.007)	problem(0.007)	complet(0.007)	slow(0.007)	crash(0.007)	fine(0.007)	devic(0.006)	lock(0.006)	charger(0.006)	wo(0.006)	download(0.005)	touch(0.005)	wait(0.005)	long(0.005)	restart(0.005)	load(0.005)	press(0.005)	random(0.005)	die(0.005)	dead(0.005)	fulli(0.004)	close(0.004)	boot(0.004)	month(0.004)	set(0.004)	find(0.004)	browser(0.004)	
Topic 23(0.026):	camera(0.053)	speaker(0.035)	sound(0.027)	qualiti(0.024)	video(0.020)	front(0.020)	good(0.018)	face(0.015)	pictur(0.014)	work(0.013)	screen(0.013)	headphon(0.011)	skype(0.010)	great(0.009)	volum(0.008)	better(0.008)	hear(0.008)	loud(0.008)	bad(0.008)	rear(0.007)	low(0.007)	fine(0.007)	side(0.007)	pretti(0.007)	watch(0.006)	devic(0.006)	time(0.006)	light(0.006)	expect(0.006)	clear(0.005)	issu(0.005)	thing(0.005)	phone(0.005)	problem(0.005)	stereo(0.005)	build(0.005)	plastic(0.005)	app(0.004)	nice(0.004)	nois(0.004)	play(0.004)	imag(0.004)	horribl(0.004)	find(0.004)	decent(0.004)	case(0.004)	hd(0.004)	samsung(0.004)	cheap(0.004)	control(0.004)	
Topic 24(0.038):	product(0.035)	buy(0.034)	price(0.031)	good(0.031)	servic(0.017)	asus(0.015)	custom(0.015)	bad(0.013)	soni(0.012)	cheap(0.012)	great(0.010)	screen(0.009)	better(0.009)	recommend(0.008)	support(0.008)	expect(0.008)	buyer(0.008)	case(0.008)	appl(0.008)	issu(0.008)	bewar(0.007)	qualiti(0.007)	warranti(0.007)	bought(0.007)	review(0.007)	consid(0.006)	pretti(0.006)	terribl(0.006)	junk(0.006)	pay(0.006)	piec(0.006)	day(0.006)	updat(0.005)	cost(0.005)	star(0.005)	amazon(0.005)	hardwar(0.005)	ipad(0.005)	experi(0.005)	disappoint(0.005)	softwar(0.005)	deal(0.004)	worth(0.004)	thing(0.004)	lot(0.004)	compani(0.004)	receiv(0.004)	worst(0.004)	high(0.004)	year(0.004)	
Topic 25(0.020):	keyboard(0.037)	work(0.016)	bought(0.013)	dock(0.012)	bluetooth(0.012)	dell(0.011)	love(0.010)	comput(0.009)	buy(0.008)	mous(0.008)	touch(0.008)	devic(0.007)	product(0.007)	set(0.007)	screen(0.007)	purchas(0.007)	creativ(0.007)	pad(0.006)	card(0.006)	thing(0.006)	connect(0.006)	unit(0.006)	better(0.006)	power(0.005)	tf300(0.005)	pen(0.005)	day(0.005)	window(0.005)	android(0.005)	button(0.005)	good(0.005)	great(0.005)	speed(0.005)	lenovo(0.005)	laptop(0.005)	station(0.005)	app(0.005)	pro(0.005)	stylus(0.005)	user(0.005)	lot(0.005)	type(0.004)	wife(0.004)	netbook(0.004)	ziio(0.004)	replac(0.004)	problem(0.004)	order(0.004)	function(0.004)	pc(0.004)	
Topic 26(0.028):	batteri(0.084)	life(0.045)	hour(0.043)	charg(0.034)	day(0.016)	time(0.016)	screen(0.014)	video(0.014)	play(0.013)	wifi(0.010)	good(0.010)	drain(0.009)	game(0.008)	long(0.008)	minut(0.008)	bright(0.007)	slow(0.007)	pretti(0.007)	watch(0.007)	turn(0.006)	full(0.006)	devic(0.006)	movi(0.006)	download(0.006)	thing(0.006)	better(0.006)	low(0.006)	app(0.006)	ipad(0.005)	read(0.005)	usag(0.005)	fast(0.005)	set(0.005)	short(0.005)	bad(0.005)	half(0.005)	star(0.004)	great(0.004)	brows(0.004)	left(0.004)	work(0.004)	lot(0.004)	power(0.004)	mode(0.004)	die(0.004)	plug(0.004)	ram(0.004)	compar(0.003)	kid(0.003)	charger(0.003)	
Topic 27(0.029):	app(0.063)	play(0.029)	googl(0.025)	store(0.021)	download(0.020)	amazon(0.019)	kindl(0.019)	game(0.017)	read(0.016)	book(0.016)	video(0.012)	devic(0.011)	music(0.011)	android(0.011)	free(0.009)	movi(0.008)	web(0.008)	purchas(0.008)	watch(0.008)	appl(0.007)	ipad(0.007)	access(0.007)	time(0.007)	work(0.006)	email(0.006)	instal(0.006)	thing(0.005)	fire(0.005)	load(0.005)	find(0.005)	good(0.005)	problem(0.005)	reader(0.005)	limit(0.005)	media(0.005)	great(0.004)	market(0.004)	nabi(0.004)	love(0.004)	prime(0.004)	product(0.004)	ebook(0.004)	set(0.004)	bought(0.004)	magazin(0.004)	brows(0.004)	support(0.004)	file(0.004)	lot(0.004)	site(0.004)	
Topic 28(0.026):	connect(0.047)	wifi(0.046)	work(0.021)	problem(0.021)	devic(0.016)	network(0.015)	time(0.013)	updat(0.012)	issu(0.012)	wireless(0.012)	internet(0.011)	router(0.010)	signal(0.009)	app(0.008)	instal(0.008)	set(0.008)	screen(0.007)	reset(0.007)	email(0.007)	drop(0.007)	turn(0.006)	ipad(0.006)	support(0.006)	slow(0.006)	googl(0.006)	softwar(0.006)	offic(0.006)	fine(0.005)	stay(0.005)	comput(0.004)	find(0.004)	thing(0.004)	access(0.004)	download(0.004)	driver(0.004)	laptop(0.004)	chang(0.004)	data(0.004)	gps(0.004)	unit(0.004)	phone(0.004)	good(0.004)	account(0.004)	restart(0.004)	game(0.004)	bluetooth(0.003)	freez(0.003)	requir(0.003)	minut(0.003)	window(0.003)	
Topic 29(0.066):	work(0.031)	bought(0.025)	purchas(0.021)	product(0.020)	christma(0.019)	month(0.018)	day(0.015)	return(0.014)	money(0.014)	week(0.014)	buy(0.013)	send(0.013)	warranti(0.013)	charg(0.012)	year(0.011)	charger(0.011)	ship(0.011)	gift(0.010)	repair(0.010)	replac(0.010)	pay(0.010)	son(0.010)	disappoint(0.010)	time(0.009)	receiv(0.009)	item(0.009)	order(0.009)	problem(0.009)	compani(0.008)	daughter(0.008)	kid(0.008)	seller(0.007)	good(0.007)	great(0.007)	power(0.007)	broke(0.007)	zeepad(0.006)	screen(0.006)	recommend(0.006)	amazon(0.006)	call(0.005)	review(0.005)	asus(0.005)	die(0.005)	thing(0.005)	happi(0.005)	cost(0.005)	refund(0.005)	bad(0.005)	worth(0.004)	
