Topic 11(0.034):	android(0.050)	app(0.031)	window(0.026)	os(0.022)	updat(0.016)	devic(0.015)	time(0.014)	good(0.012)	user(0.011)	upgrad(0.011)	nokia(0.011)	best(0.010)	blackberri(0.010)	work(0.008)	great(0.008)	bad(0.007)	system(0.007)	year(0.007)	issu(0.006)	iphon(0.006)	find(0.006)	price(0.006)	smart(0.006)	batteri(0.006)	bb(0.006)	suck(0.006)	softwar(0.006)	freez(0.006)	buy(0.005)	power(0.005)	thing(0.005)	oper(0.005)	day(0.005)	smartphon(0.005)	lumia(0.005)	applic(0.005)	featur(0.004)	nice(0.004)	game(0.004)	month(0.004)	market(0.004)	soni(0.004)	start(0.004)	big(0.004)	version(0.004)	platform(0.004)	lot(0.004)	wp8(0.004)	capabl(0.004)	htc(0.004)	
Topic 12(0.043):	samsung(0.031)	galaxi(0.029)	iphon(0.029)	better(0.028)	price(0.026)	android(0.025)	great(0.019)	s3(0.012)	devic(0.010)	compar(0.010)	good(0.010)	verizon(0.010)	nexus(0.010)	best(0.010)	expect(0.010)	featur(0.008)	thing(0.008)	upgrad(0.007)	screen(0.007)	support(0.007)	appl(0.007)	buy(0.007)	contract(0.007)	work(0.006)	cost(0.006)	smartphon(0.006)	qualiti(0.006)	fast(0.006)	4g(0.006)	camera(0.006)	year(0.006)	love(0.005)	faster(0.005)	slow(0.005)	softwar(0.005)	high(0.005)	droid(0.005)	htc(0.005)	version(0.005)	s4(0.005)	batteri(0.005)	smart(0.005)	cheap(0.005)	user(0.005)	model(0.004)	updat(0.004)	find(0.004)	low(0.004)	review(0.004)	iii(0.004)	
Topic 13(0.030):	batteri(0.049)	good(0.038)	life(0.027)	great(0.020)	app(0.019)	camera(0.017)	qualiti(0.016)	music(0.016)	screen(0.016)	fast(0.015)	pretti(0.014)	day(0.013)	easi(0.011)	time(0.011)	sound(0.010)	work(0.010)	call(0.010)	video(0.009)	bad(0.008)	featur(0.008)	charg(0.008)	decent(0.008)	hour(0.007)	play(0.007)	respons(0.007)	lot(0.007)	listen(0.006)	excel(0.006)	speaker(0.006)	pictur(0.006)	better(0.005)	love(0.005)	cool(0.005)	gps(0.005)	nokia(0.005)	devic(0.005)	download(0.005)	feel(0.004)	amaz(0.004)	bit(0.004)	averag(0.004)	read(0.004)	user(0.004)	review(0.004)	player(0.004)	perform(0.004)	recept(0.004)	iphon(0.004)	function(0.004)	high(0.004)	
Topic 14(0.027):	call(0.043)	wifi(0.039)	work(0.034)	tmobil(0.022)	data(0.020)	nokia(0.019)	great(0.016)	internet(0.015)	plan(0.015)	connect(0.014)	app(0.012)	lumia(0.011)	gps(0.011)	servic(0.011)	text(0.011)	set(0.010)	featur(0.010)	time(0.009)	free(0.009)	network(0.008)	good(0.008)	smart(0.007)	voic(0.007)	game(0.007)	pay(0.007)	problem(0.006)	easi(0.006)	support(0.006)	thing(0.006)	email(0.006)	web(0.006)	bought(0.006)	window(0.006)	bluetooth(0.005)	smartphon(0.005)	map(0.005)	clear(0.005)	access(0.005)	download(0.005)	att(0.005)	camera(0.005)	turn(0.005)	qualiti(0.005)	basic(0.004)	check(0.004)	account(0.004)	devic(0.004)	find(0.004)	purpos(0.004)	day(0.004)	
Topic 15(0.044):	great(0.045)	feel(0.033)	nice(0.029)	price(0.028)	good(0.023)	cheap(0.022)	screen(0.019)	qualiti(0.016)	amaz(0.015)	love(0.012)	size(0.012)	work(0.011)	hand(0.011)	awesom(0.011)	solid(0.011)	android(0.010)	design(0.010)	thing(0.009)	devic(0.009)	app(0.009)	nokia(0.009)	camera(0.009)	star(0.009)	window(0.008)	plastic(0.008)	small(0.008)	keyboard(0.007)	better(0.006)	iphon(0.006)	build(0.006)	display(0.006)	hardwar(0.006)	lot(0.006)	case(0.006)	light(0.006)	bit(0.006)	softwar(0.005)	cover(0.005)	wonder(0.005)	featur(0.005)	weight(0.005)	batteri(0.005)	fit(0.005)	hold(0.004)	perform(0.004)	side(0.004)	pretti(0.004)	os(0.004)	rate(0.004)	lumia(0.004)	
Topic 16(0.036):	screen(0.084)	case(0.026)	touch(0.014)	big(0.014)	color(0.012)	nice(0.011)	drop(0.011)	size(0.011)	small(0.010)	time(0.010)	hand(0.010)	protector(0.009)	bright(0.009)	scratch(0.009)	great(0.009)	good(0.008)	crack(0.008)	cover(0.008)	love(0.007)	easi(0.007)	display(0.007)	easili(0.007)	glass(0.007)	work(0.007)	buy(0.007)	batteri(0.007)	pocket(0.007)	fit(0.006)	respons(0.006)	protect(0.006)	perfect(0.006)	find(0.005)	watch(0.005)	super(0.005)	better(0.005)	iphon(0.005)	fast(0.005)	feel(0.005)	beauti(0.005)	thing(0.005)	inch(0.005)	problem(0.005)	clear(0.004)	plastic(0.004)	resolut(0.004)	cool(0.004)	charger(0.004)	light(0.004)	pretti(0.004)	white(0.004)	
Topic 17(0.035):	call(0.075)	time(0.031)	work(0.021)	drop(0.021)	text(0.020)	problem(0.018)	messag(0.015)	send(0.014)	receiv(0.013)	day(0.013)	freez(0.012)	month(0.012)	turn(0.010)	connect(0.010)	hear(0.009)	start(0.009)	screen(0.009)	week(0.008)	open(0.008)	lot(0.008)	second(0.008)	signal(0.007)	constant(0.007)	thing(0.007)	batteri(0.007)	good(0.007)	issu(0.006)	servic(0.006)	talk(0.006)	pictur(0.006)	button(0.006)	bluetooth(0.006)	bar(0.006)	speaker(0.006)	fine(0.005)	shut(0.005)	peopl(0.005)	error(0.005)	sim(0.005)	glitch(0.005)	minut(0.005)	bad(0.005)	qualiti(0.005)	restart(0.005)	reset(0.005)	car(0.004)	hang(0.004)	slow(0.004)	app(0.004)	order(0.004)	
Topic 18(0.026):	card(0.056)	sd(0.038)	memori(0.033)	storag(0.022)	slot(0.016)	app(0.015)	intern(0.015)	ram(0.014)	micro(0.013)	gb(0.012)	processor(0.012)	core(0.012)	microsd(0.012)	sim(0.011)	screen(0.010)	batteri(0.010)	camera(0.010)	music(0.009)	fast(0.009)	video(0.008)	quad(0.007)	dual(0.007)	good(0.007)	ghz(0.007)	work(0.007)	8gb(0.006)	great(0.006)	expand(0.006)	space(0.006)	lot(0.006)	instal(0.005)	file(0.005)	size(0.005)	time(0.004)	snapdragon(0.004)	version(0.004)	32gb(0.004)	low(0.004)	big(0.004)	2gb(0.004)	cpu(0.004)	pictur(0.004)	pixel(0.004)	gig(0.004)	android(0.004)	game(0.004)	remov(0.004)	16gb(0.004)	extra(0.004)	4gb(0.004)	
Topic 19(0.057):	work(0.028)	purchas(0.023)	seller(0.022)	batteri(0.021)	good(0.021)	return(0.020)	item(0.019)	buy(0.018)	product(0.017)	amazon(0.017)	replac(0.016)	box(0.015)	order(0.014)	great(0.013)	condit(0.012)	day(0.012)	bad(0.012)	receiv(0.011)	ship(0.011)	bought(0.011)	defect(0.011)	month(0.010)	proper(0.010)	refurbish(0.008)	fast(0.008)	arriv(0.007)	hope(0.007)	broken(0.007)	brand(0.007)	thing(0.007)	buyer(0.007)	nokia(0.007)	warranti(0.007)	cover(0.006)	bewar(0.006)	buck(0.006)	second(0.006)	camera(0.006)	send(0.006)	week(0.006)	seal(0.006)	scratch(0.005)	packag(0.005)	cellphon(0.005)	problem(0.005)	charger(0.005)	better(0.005)	damag(0.005)	time(0.005)	recommend(0.005)	
Topic 20(0.035):	app(0.084)	window(0.031)	android(0.025)	download(0.016)	store(0.014)	googl(0.013)	play(0.012)	work(0.011)	thing(0.010)	music(0.009)	easi(0.008)	game(0.008)	good(0.008)	iphon(0.008)	great(0.008)	tile(0.008)	free(0.007)	map(0.007)	nokia(0.007)	limit(0.007)	better(0.006)	io(0.006)	screen(0.006)	time(0.006)	lot(0.006)	find(0.006)	sync(0.006)	updat(0.006)	os(0.006)	instal(0.006)	facebook(0.005)	navig(0.005)	microsoft(0.005)	featur(0.005)	file(0.005)	market(0.005)	appl(0.005)	email(0.005)	user(0.005)	function(0.004)	open(0.004)	video(0.004)	live(0.004)	interfac(0.004)	wifi(0.004)	load(0.004)	learn(0.004)	problem(0.004)	account(0.004)	nice(0.004)	
Topic 21(0.042):	work(0.083)	card(0.032)	sim(0.032)	unlock(0.027)	att(0.021)	fine(0.017)	tmobil(0.016)	network(0.012)	servic(0.012)	app(0.012)	good(0.009)	great(0.008)	lock(0.008)	set(0.008)	3g(0.008)	talk(0.008)	verizon(0.008)	googl(0.007)	straight(0.007)	buy(0.007)	read(0.007)	purchas(0.007)	issu(0.007)	call(0.007)	carrier(0.007)	bought(0.006)	4g(0.006)	box(0.006)	number(0.006)	problem(0.006)	devic(0.006)	updat(0.006)	star(0.006)	instal(0.005)	root(0.005)	code(0.005)	receiv(0.005)	mobil(0.005)	wifi(0.005)	review(0.005)	gsm(0.005)	data(0.005)	amazon(0.005)	time(0.005)	featur(0.004)	custom(0.004)	download(0.004)	activ(0.004)	disabl(0.004)	batteri(0.004)	
Topic 22(0.031):	batteri(0.100)	life(0.058)	great(0.039)	good(0.032)	day(0.032)	work(0.029)	charg(0.014)	wifi(0.012)	featur(0.012)	hour(0.012)	screen(0.010)	web(0.010)	game(0.009)	radio(0.009)	fast(0.009)	camera(0.008)	call(0.007)	heavi(0.007)	suck(0.006)	brows(0.006)	big(0.006)	text(0.006)	play(0.006)	long(0.006)	video(0.006)	set(0.006)	pictur(0.006)	nice(0.006)	pretti(0.006)	fm(0.006)	internet(0.006)	problem(0.005)	lot(0.005)	buy(0.005)	music(0.005)	turn(0.005)	full(0.005)	die(0.005)	display(0.005)	coupl(0.005)	gps(0.004)	connect(0.004)	slow(0.004)	smart(0.004)	drain(0.004)	small(0.004)	horribl(0.004)	better(0.004)	week(0.004)	email(0.004)	
Topic 23(0.052):	return(0.030)	servic(0.029)	money(0.028)	time(0.024)	custom(0.023)	wast(0.016)	amazon(0.014)	disappoint(0.013)	work(0.013)	verizon(0.012)	day(0.011)	receiv(0.011)	week(0.010)	refund(0.010)	worst(0.010)	store(0.009)	compani(0.009)	help(0.008)	purchas(0.008)	product(0.008)	replac(0.008)	month(0.008)	pay(0.007)	call(0.007)	problem(0.007)	piec(0.007)	told(0.007)	ship(0.007)	bad(0.006)	horribl(0.006)	wait(0.006)	order(0.006)	item(0.006)	support(0.006)	star(0.005)	newegg(0.005)	hour(0.005)	spend(0.005)	tmobil(0.005)	activ(0.005)	total(0.005)	buy(0.005)	suck(0.005)	contact(0.005)	send(0.005)	review(0.005)	junk(0.005)	box(0.005)	bought(0.005)	damag(0.004)	
Topic 24(0.042):	product(0.024)	unlock(0.023)	review(0.017)	expect(0.016)	purchas(0.016)	problem(0.014)	support(0.014)	chang(0.012)	advertis(0.011)	set(0.011)	help(0.011)	seller(0.010)	bad(0.010)	languag(0.009)	receiv(0.009)	english(0.009)	verizon(0.008)	issu(0.008)	read(0.008)	model(0.008)	blu(0.007)	satisfi(0.007)	time(0.007)	factori(0.007)	call(0.007)	amazon(0.006)	motorola(0.006)	bought(0.006)	samsung(0.006)	disappoint(0.006)	softwar(0.006)	happi(0.006)	manual(0.006)	work(0.006)	arriv(0.006)	tech(0.005)	black(0.005)	origin(0.005)	peopl(0.005)	exact(0.005)	newegg(0.005)	box(0.005)	refurbish(0.005)	hope(0.005)	paid(0.005)	descript(0.005)	sell(0.005)	mind(0.005)	contact(0.005)	price(0.005)	
Topic 25(0.039):	month(0.040)	bought(0.022)	year(0.022)	work(0.019)	plan(0.018)	replac(0.016)	charg(0.015)	verizon(0.013)	problem(0.013)	contract(0.012)	charger(0.011)	boost(0.011)	buy(0.010)	ago(0.010)	pay(0.010)	servic(0.010)	minut(0.009)	time(0.009)	cell(0.009)	samsung(0.009)	lg(0.008)	week(0.008)	motorola(0.008)	good(0.007)	purchas(0.007)	mobil(0.007)	data(0.007)	tmobil(0.007)	android(0.007)	network(0.006)	unlock(0.006)	sprint(0.006)	switch(0.006)	call(0.006)	unlimit(0.005)	galaxi(0.005)	wait(0.005)	iphon(0.005)	upgrad(0.005)	die(0.005)	great(0.005)	warranti(0.005)	devic(0.005)	cabl(0.005)	3g(0.004)	love(0.004)	peopl(0.004)	order(0.004)	best(0.004)	paid(0.004)	
