Topic 11(0.000):	button(0.024)	user(0.016)	review(0.015)	good(0.014)	set(0.014)	screen(0.013)	chang(0.012)	side(0.012)	menu(0.011)	featur(0.011)	easi(0.010)	volum(0.010)	color(0.008)	lock(0.008)	great(0.008)	nice(0.008)	black(0.007)	manual(0.007)	design(0.007)	read(0.007)	friend(0.007)	thing(0.007)	complaint(0.007)	love(0.006)	pocket(0.006)	work(0.006)	top(0.006)	mode(0.006)	power(0.006)	left(0.006)	find(0.005)	menus(0.005)	cover(0.005)	call(0.005)	issu(0.005)	app(0.005)	push(0.005)	camera(0.005)	feel(0.005)	switch(0.005)	plastic(0.005)	voic(0.005)	option(0.005)	small(0.005)	click(0.005)	posit(0.004)	annoy(0.004)	choos(0.004)	locat(0.004)	press(0.004)	
Topic 12(0.000):	text(0.037)	plan(0.027)	data(0.026)	money(0.020)	call(0.019)	email(0.017)	internet(0.016)	web(0.013)	work(0.013)	messag(0.013)	good(0.013)	great(0.011)	wifi(0.010)	unlimit(0.010)	month(0.010)	connect(0.008)	save(0.008)	talk(0.007)	access(0.007)	app(0.007)	tmobil(0.007)	nice(0.007)	check(0.007)	pay(0.007)	account(0.007)	best(0.007)	worth(0.006)	buy(0.006)	surf(0.006)	featur(0.006)	time(0.006)	day(0.006)	send(0.006)	voic(0.006)	perfect(0.005)	peopl(0.005)	thing(0.005)	famili(0.005)	requir(0.005)	recommend(0.005)	wast(0.005)	entri(0.005)	smartphon(0.005)	year(0.005)	abil(0.005)	setup(0.005)	facebook(0.005)	free(0.004)	brows(0.004)	fast(0.004)	
Topic 13(0.000):	screen(0.078)	case(0.024)	touch(0.019)	nice(0.016)	problem(0.011)	display(0.011)	time(0.011)	drop(0.010)	scratch(0.009)	big(0.009)	small(0.009)	glass(0.008)	protector(0.008)	work(0.008)	size(0.008)	protect(0.007)	crack(0.007)	thing(0.007)	cool(0.007)	watch(0.007)	bad(0.006)	accessori(0.006)	good(0.006)	light(0.006)	bright(0.006)	resolut(0.006)	durabl(0.006)	easili(0.005)	find(0.005)	white(0.005)	feel(0.005)	batteri(0.005)	issu(0.005)	super(0.005)	appear(0.005)	start(0.005)	turn(0.005)	samsung(0.005)	beauti(0.005)	better(0.005)	high(0.005)	day(0.004)	fit(0.004)	disappoint(0.004)	lot(0.004)	deal(0.004)	hand(0.004)	cover(0.004)	inch(0.004)	sensit(0.004)	
Topic 14(0.000):	app(0.065)	android(0.018)	updat(0.017)	download(0.016)	play(0.015)	googl(0.014)	work(0.013)	problem(0.012)	window(0.012)	time(0.011)	game(0.010)	find(0.010)	instal(0.010)	store(0.009)	softwar(0.009)	applic(0.008)	os(0.008)	memori(0.008)	system(0.007)	slow(0.007)	lot(0.006)	load(0.006)	issu(0.006)	freez(0.006)	open(0.006)	sync(0.006)	batteri(0.006)	limit(0.006)	delet(0.006)	gps(0.005)	navig(0.005)	browser(0.005)	thing(0.005)	iphon(0.005)	devic(0.005)	music(0.005)	facebook(0.004)	crash(0.004)	support(0.004)	free(0.004)	lack(0.004)	microsoft(0.004)	map(0.004)	youtub(0.004)	data(0.004)	call(0.004)	buy(0.004)	custom(0.004)	screen(0.004)	root(0.004)	
Topic 15(0.000):	bought(0.031)	month(0.029)	buy(0.027)	purchas(0.023)	work(0.023)	year(0.019)	replac(0.018)	product(0.018)	great(0.017)	problem(0.016)	good(0.015)	bad(0.012)	review(0.012)	nokia(0.012)	recommend(0.011)	cell(0.011)	ago(0.011)	love(0.010)	amazon(0.010)	disappoint(0.009)	motorola(0.008)	happi(0.008)	price(0.008)	lumia(0.008)	time(0.007)	thing(0.007)	better(0.007)	samsung(0.007)	worst(0.007)	unlock(0.007)	model(0.007)	seller(0.006)	money(0.006)	read(0.006)	day(0.006)	lot(0.006)	worth(0.006)	best(0.005)	week(0.005)	servic(0.005)	tmobil(0.005)	upgrad(0.005)	pay(0.005)	contract(0.005)	brand(0.005)	return(0.005)	issu(0.005)	cheap(0.005)	paid(0.004)	devic(0.004)	
Topic 16(0.000):	batteri(0.077)	charg(0.053)	work(0.027)	day(0.026)	charger(0.023)	time(0.021)	problem(0.019)	turn(0.019)	life(0.015)	hour(0.015)	week(0.015)	start(0.011)	month(0.010)	plug(0.010)	port(0.008)	remov(0.008)	issu(0.008)	usb(0.008)	power(0.008)	screen(0.007)	long(0.007)	great(0.007)	complet(0.006)	hold(0.006)	restart(0.006)	cabl(0.006)	dead(0.006)	replac(0.006)	call(0.006)	die(0.005)	good(0.005)	cord(0.005)	shut(0.005)	buy(0.005)	full(0.005)	terribl(0.005)	minut(0.005)	thing(0.005)	stay(0.005)	freez(0.005)	suck(0.005)	short(0.004)	bought(0.004)	coupl(0.004)	fine(0.004)	second(0.004)	return(0.004)	wo(0.004)	arriv(0.004)	order(0.004)	
Topic 17(0.000):	call(0.051)	hear(0.032)	speaker(0.028)	sound(0.025)	qualiti(0.020)	work(0.018)	bluetooth(0.017)	time(0.017)	problem(0.014)	voic(0.012)	clear(0.011)	recept(0.011)	peopl(0.011)	piec(0.010)	loud(0.010)	volum(0.010)	turn(0.010)	car(0.009)	connect(0.009)	headphon(0.009)	talk(0.008)	headset(0.008)	bad(0.008)	drop(0.007)	person(0.007)	ear(0.007)	audio(0.006)	nois(0.006)	signal(0.006)	horribl(0.006)	speakerphon(0.005)	better(0.005)	purpos(0.005)	crap(0.005)	listen(0.005)	bit(0.005)	receiv(0.005)	speak(0.005)	set(0.005)	ring(0.005)	music(0.005)	command(0.004)	earpiec(0.004)	great(0.004)	thing(0.004)	nokia(0.004)	screen(0.004)	caller(0.004)	featur(0.004)	heard(0.004)	
Topic 18(0.000):	good(0.053)	camera(0.040)	better(0.019)	featur(0.019)	expect(0.017)	qualiti(0.017)	pictur(0.016)	price(0.012)	decent(0.011)	video(0.011)	pretti(0.011)	bad(0.010)	nokia(0.010)	basic(0.009)	work(0.009)	star(0.009)	flash(0.008)	batteri(0.008)	photo(0.008)	lot(0.008)	time(0.008)	function(0.007)	thing(0.007)	problem(0.007)	light(0.007)	record(0.006)	low(0.006)	buy(0.006)	slow(0.005)	screen(0.005)	smart(0.005)	iphon(0.005)	perform(0.005)	great(0.005)	disappoint(0.005)	review(0.005)	compar(0.005)	condit(0.005)	player(0.005)	call(0.004)	high(0.004)	choic(0.004)	front(0.004)	solid(0.004)	face(0.004)	recept(0.004)	shot(0.004)	memori(0.004)	life(0.003)	option(0.003)	
Topic 19(0.000):	card(0.082)	sim(0.037)	memori(0.029)	sd(0.029)	work(0.023)	app(0.015)	storag(0.014)	microsd(0.011)	micro(0.010)	slot(0.009)	music(0.009)	intern(0.009)	file(0.009)	problem(0.008)	pictur(0.008)	transfer(0.008)	box(0.007)	instal(0.007)	store(0.007)	save(0.007)	fine(0.006)	move(0.006)	manual(0.006)	space(0.006)	video(0.006)	purchas(0.006)	usb(0.006)	includ(0.006)	rington(0.006)	wo(0.005)	recogn(0.005)	option(0.004)	8gb(0.004)	download(0.004)	pc(0.004)	comput(0.004)	gb(0.004)	set(0.004)	mp3(0.004)	time(0.004)	16gb(0.004)	extra(0.004)	addit(0.004)	media(0.004)	data(0.004)	read(0.004)	photo(0.004)	att(0.004)	instruct(0.004)	bluetooth(0.004)	
Topic 20(0.000):	return(0.031)	receiv(0.023)	time(0.022)	order(0.018)	money(0.017)	seller(0.017)	item(0.016)	work(0.016)	amazon(0.015)	box(0.015)	warranti(0.013)	day(0.012)	ship(0.011)	wast(0.010)	buy(0.010)	purchas(0.010)	replac(0.010)	repair(0.010)	product(0.010)	send(0.009)	refund(0.009)	week(0.009)	problem(0.008)	samsung(0.008)	arriv(0.008)	disappoint(0.007)	call(0.007)	newegg(0.007)	damag(0.007)	refurbish(0.007)	batteri(0.007)	open(0.007)	advertis(0.006)	devic(0.006)	bewar(0.006)	hope(0.006)	buyer(0.006)	care(0.006)	custom(0.006)	wait(0.006)	defect(0.006)	compani(0.005)	unlock(0.005)	mail(0.005)	pay(0.005)	good(0.005)	contact(0.005)	help(0.005)	month(0.005)	today(0.005)	
Topic 21(0.000):	servic(0.028)	tmobil(0.022)	work(0.022)	call(0.021)	custom(0.019)	unlock(0.017)	verizon(0.014)	problem(0.013)	att(0.012)	activ(0.012)	card(0.012)	support(0.012)	buy(0.011)	sim(0.011)	number(0.010)	plan(0.009)	network(0.009)	help(0.009)	month(0.009)	contact(0.009)	time(0.008)	minut(0.008)	told(0.008)	purchas(0.007)	carrier(0.007)	mobil(0.007)	day(0.007)	return(0.007)	tech(0.006)	talk(0.006)	store(0.006)	compani(0.006)	amazon(0.006)	boost(0.006)	model(0.006)	product(0.006)	receiv(0.006)	cell(0.005)	tracfon(0.005)	bought(0.005)	pay(0.005)	code(0.005)	lock(0.005)	transfer(0.005)	websit(0.004)	charg(0.004)	peopl(0.004)	set(0.004)	issu(0.004)	email(0.004)	
Topic 22(0.000):	htc(0.027)	4g(0.022)	3g(0.021)	issu(0.020)	inspir(0.017)	gb(0.015)	fast(0.013)	android(0.013)	devic(0.013)	upgrad(0.012)	ram(0.011)	work(0.011)	support(0.010)	version(0.009)	core(0.009)	slow(0.009)	speed(0.009)	problem(0.009)	processor(0.008)	tmobil(0.008)	lte(0.008)	ghz(0.008)	samsung(0.007)	storag(0.007)	faster(0.006)	band(0.006)	att(0.006)	unlock(0.006)	camera(0.006)	quad(0.006)	dual(0.006)	bad(0.006)	os(0.006)	head(0.006)	experi(0.006)	intern(0.006)	hardwar(0.005)	lag(0.005)	nexus(0.005)	spec(0.005)	disappoint(0.005)	model(0.005)	extrem(0.005)	pixel(0.005)	wifi(0.005)	batteri(0.005)	notic(0.005)	capabl(0.005)	2g(0.005)	mp(0.005)	
Topic 23(0.000):	el(0.028)	keyboard(0.026)	de(0.023)	es(0.021)	con(0.020)	blackberri(0.020)	la(0.020)	type(0.018)	en(0.017)	easi(0.016)	text(0.016)	work(0.015)	finger(0.014)	figur(0.013)	small(0.011)	letter(0.011)	problem(0.011)	thing(0.010)	list(0.009)	lo(0.009)	muy(0.009)	para(0.008)	screen(0.008)	exact(0.008)	number(0.008)	time(0.008)	disappoint(0.007)	bad(0.007)	venezuela(0.007)	3g(0.007)	three(0.007)	se(0.006)	hate(0.006)	absolut(0.006)	wrong(0.006)	luck(0.006)	est(0.006)	default(0.006)	torch(0.006)	unlock(0.006)	cell(0.005)	imposs(0.005)	keypad(0.005)	version(0.005)	call(0.005)	find(0.005)	intuit(0.005)	english(0.005)	slide(0.004)	regret(0.004)	
Topic 24(0.000):	button(0.047)	screen(0.033)	call(0.021)	press(0.017)	work(0.017)	time(0.016)	set(0.016)	turn(0.015)	lock(0.015)	power(0.013)	volum(0.013)	side(0.011)	chang(0.010)	touch(0.008)	alarm(0.008)	annoy(0.008)	ring(0.008)	unlock(0.008)	problem(0.008)	thing(0.007)	reset(0.007)	mode(0.007)	open(0.007)	shut(0.006)	left(0.006)	freez(0.006)	text(0.006)	start(0.006)	top(0.006)	menu(0.006)	featur(0.006)	black(0.006)	push(0.005)	day(0.005)	hit(0.005)	batteri(0.005)	camera(0.005)	cover(0.005)	option(0.005)	app(0.005)	hold(0.005)	reboot(0.005)	tone(0.005)	dial(0.004)	find(0.004)	click(0.004)	hang(0.004)	pocket(0.004)	light(0.004)	bad(0.004)	
Topic 25(0.000):	text(0.049)	call(0.044)	messag(0.041)	send(0.026)	email(0.021)	work(0.019)	receiv(0.017)	pictur(0.016)	internet(0.013)	set(0.012)	problem(0.011)	contact(0.010)	number(0.010)	time(0.009)	voic(0.008)	access(0.007)	address(0.007)	tmobil(0.007)	account(0.006)	day(0.006)	servic(0.006)	sim(0.006)	book(0.006)	peopl(0.005)	cell(0.005)	wifi(0.005)	error(0.005)	att(0.005)	fine(0.005)	web(0.005)	turn(0.005)	check(0.005)	person(0.005)	connect(0.005)	featur(0.005)	frustrat(0.005)	mail(0.004)	data(0.004)	bad(0.004)	list(0.004)	mms(0.004)	talk(0.004)	type(0.004)	option(0.004)	correct(0.004)	app(0.004)	open(0.004)	minut(0.004)	issu(0.004)	question(0.003)	
