Topic 11(0.036):	nice(0.084)	good(0.033)	lot(0.027)	better(0.014)	thing(0.013)	easi(0.013)	price(0.011)	pretti(0.010)	feel(0.010)	great(0.009)	bought(0.007)	fast(0.007)	recommend(0.006)	featur(0.006)	bad(0.006)	problem(0.004)	expect(0.004)	work(0.004)	small(0.004)	day(0.004)	upgrad(0.004)	qualiti(0.004)	talk(0.004)	find(0.004)	time(0.004)	love(0.003)	size(0.003)	read(0.003)	year(0.003)	deal(0.003)	buy(0.003)	reason(0.003)	cheap(0.003)	friend(0.003)	clear(0.003)	happi(0.003)	screen(0.003)	smart(0.003)	star(0.002)	simpl(0.002)	basic(0.002)	internet(0.002)	excel(0.002)	hand(0.002)	fine(0.002)	week(0.002)	replac(0.002)	real(0.002)	life(0.002)	function(0.002)	
Topic 12(0.038):	card(0.129)	sim(0.089)	sd(0.043)	memori(0.039)	intern(0.016)	micro(0.015)	slot(0.014)	work(0.012)	instal(0.009)	storag(0.008)	dual(0.006)	applic(0.005)	space(0.005)	microsd(0.005)	problem(0.003)	remov(0.003)	save(0.003)	bought(0.003)	buy(0.003)	move(0.003)	requir(0.003)	mobil(0.003)	good(0.003)	time(0.002)	read(0.002)	current(0.002)	transfer(0.002)	perfect(0.002)	includ(0.002)	fit(0.002)	low(0.002)	great(0.002)	insert(0.002)	free(0.002)	day(0.002)	check(0.002)	find(0.002)	video(0.002)	pretti(0.002)	travel(0.002)	week(0.002)	error(0.002)	delet(0.002)	purchas(0.002)	data(0.002)	model(0.002)	resolut(0.002)	store(0.002)	radio(0.002)	app(0.002)	
Topic 13(0.036):	purchas(0.057)	cell(0.035)	watch(0.017)	work(0.016)	star(0.011)	disappoint(0.009)	recommend(0.008)	featur(0.008)	review(0.007)	cool(0.007)	perfect(0.006)	time(0.006)	function(0.006)	month(0.006)	great(0.005)	bought(0.005)	friend(0.005)	problem(0.005)	buy(0.005)	expect(0.005)	day(0.004)	year(0.004)	thought(0.004)	happi(0.004)	find(0.004)	advertis(0.004)	product(0.004)	super(0.004)	talk(0.003)	good(0.003)	model(0.003)	feel(0.003)	live(0.003)	replac(0.003)	long(0.003)	oper(0.003)	nice(0.003)	pay(0.003)	better(0.002)	qualiti(0.002)	small(0.002)	charg(0.002)	fact(0.002)	kid(0.002)	wait(0.002)	return(0.002)	reason(0.002)	hope(0.002)	simpl(0.002)	check(0.002)	
Topic 14(0.038):	buy(0.095)	money(0.056)	bought(0.055)	wast(0.017)	recommend(0.015)	bad(0.010)	worth(0.009)	work(0.008)	time(0.008)	suck(0.006)	spend(0.006)	month(0.006)	horribl(0.006)	save(0.006)	piec(0.005)	product(0.005)	thing(0.004)	turn(0.004)	slow(0.004)	year(0.004)	worst(0.004)	lot(0.004)	crap(0.003)	cheap(0.003)	store(0.003)	pay(0.003)	terribl(0.003)	week(0.003)	wife(0.003)	great(0.003)	son(0.003)	price(0.003)	function(0.003)	good(0.003)	happi(0.002)	extra(0.002)	disappoint(0.002)	talk(0.002)	day(0.002)	reason(0.002)	dollar(0.002)	paid(0.002)	chang(0.002)	purchas(0.002)	review(0.002)	deal(0.002)	complet(0.002)	return(0.002)	perfect(0.002)	broke(0.002)	
Topic 15(0.038):	app(0.106)	updat(0.041)	play(0.034)	googl(0.031)	download(0.029)	android(0.016)	store(0.015)	instal(0.011)	set(0.009)	game(0.008)	root(0.007)	find(0.006)	lot(0.006)	type(0.006)	free(0.005)	applic(0.005)	space(0.005)	major(0.005)	memori(0.005)	move(0.005)	chines(0.004)	gps(0.004)	delet(0.004)	music(0.004)	facebook(0.004)	issu(0.004)	review(0.004)	youtub(0.004)	day(0.003)	automat(0.003)	list(0.003)	load(0.003)	good(0.003)	disabl(0.003)	bloatwar(0.003)	peopl(0.003)	locat(0.003)	time(0.003)	manag(0.003)	intern(0.003)	video(0.003)	map(0.002)	fast(0.002)	keyboard(0.002)	annoy(0.002)	thing(0.002)	screen(0.002)	turn(0.002)	data(0.002)	email(0.002)	
Topic 16(0.038):	devic(0.054)	price(0.054)	smartphon(0.035)	best(0.032)	smart(0.027)	better(0.017)	cheap(0.016)	amaz(0.016)	cost(0.010)	great(0.009)	contract(0.009)	budget(0.009)	expect(0.008)	impress(0.007)	qualiti(0.007)	high(0.006)	low(0.006)	consid(0.006)	experi(0.006)	android(0.006)	function(0.005)	thing(0.005)	feel(0.004)	deal(0.004)	review(0.004)	recommend(0.004)	pretti(0.004)	easi(0.004)	easili(0.004)	iphon(0.004)	offer(0.004)	basic(0.004)	dollar(0.003)	moto(0.003)	light(0.003)	definit(0.003)	compar(0.003)	time(0.003)	find(0.003)	case(0.003)	buck(0.003)	cover(0.003)	entri(0.003)	fast(0.003)	year(0.003)	expens(0.003)	camera(0.003)	surpris(0.002)	build(0.002)	hardwar(0.002)	
Topic 17(0.038):	nokia(0.096)	lumia(0.047)	tmobil(0.032)	window(0.025)	map(0.014)	music(0.013)	featur(0.012)	store(0.011)	price(0.011)	free(0.011)	find(0.009)	camera(0.009)	gps(0.009)	app(0.007)	smartphon(0.007)	great(0.006)	high(0.006)	thing(0.006)	better(0.006)	drive(0.005)	basic(0.005)	navig(0.005)	includ(0.005)	account(0.005)	deal(0.004)	smart(0.004)	offlin(0.004)	easi(0.004)	expect(0.004)	point(0.004)	offer(0.004)	add(0.003)	pay(0.003)	extra(0.003)	lot(0.003)	photo(0.003)	time(0.003)	amazon(0.003)	best(0.003)	limit(0.003)	purchas(0.003)	walmart(0.003)	upgrad(0.003)	feel(0.003)	decid(0.003)	qualiti(0.003)	microsoft(0.003)	cost(0.003)	flash(0.003)	bit(0.003)	
Topic 18(0.038):	good(0.240)	price(0.048)	excel(0.021)	qualiti(0.013)	bad(0.008)	easi(0.007)	pretti(0.007)	basic(0.006)	recommend(0.006)	better(0.006)	low(0.005)	fast(0.005)	great(0.003)	slow(0.003)	featur(0.003)	expect(0.003)	time(0.003)	smart(0.003)	nice(0.003)	sound(0.003)	thing(0.003)	bought(0.002)	product(0.002)	happi(0.002)	lot(0.002)	friend(0.002)	review(0.002)	work(0.002)	buy(0.002)	case(0.002)	life(0.002)	replac(0.002)	batteri(0.002)	chang(0.002)	deal(0.002)	camera(0.002)	perfect(0.002)	cheap(0.002)	screen(0.002)	find(0.002)	display(0.002)	signal(0.002)	small(0.002)	problem(0.002)	function(0.002)	speaker(0.002)	hand(0.002)	pay(0.002)	motorola(0.002)	text(0.001)	
Topic 19(0.037):	music(0.022)	bluetooth(0.018)	usb(0.015)	player(0.014)	softwar(0.013)	voic(0.012)	contact(0.011)	set(0.011)	function(0.011)	sync(0.011)	motorola(0.009)	support(0.009)	featur(0.009)	connect(0.009)	file(0.008)	web(0.008)	internet(0.008)	access(0.008)	sound(0.008)	comput(0.008)	work(0.008)	includ(0.007)	mp3(0.007)	pc(0.006)	good(0.006)	thing(0.006)	lot(0.006)	play(0.006)	email(0.006)	car(0.005)	better(0.005)	great(0.005)	extra(0.005)	speaker(0.005)	easi(0.005)	cabl(0.005)	allow(0.005)	media(0.004)	tool(0.004)	video(0.004)	headphon(0.004)	pretti(0.004)	command(0.004)	rington(0.004)	standard(0.004)	user(0.004)	expect(0.004)	calendar(0.004)	load(0.004)	interfac(0.003)	
Topic 20(0.037):	wifi(0.072)	data(0.044)	plan(0.041)	call(0.030)	connect(0.026)	pay(0.018)	internet(0.016)	tmobil(0.015)	month(0.012)	set(0.012)	featur(0.009)	mobil(0.009)	free(0.007)	unlimit(0.006)	prepaid(0.005)	network(0.005)	work(0.005)	save(0.004)	text(0.004)	thing(0.004)	price(0.004)	great(0.004)	easi(0.004)	time(0.004)	chang(0.004)	contract(0.004)	find(0.004)	year(0.004)	allow(0.003)	access(0.003)	turn(0.003)	switch(0.003)	clear(0.003)	famili(0.003)	day(0.003)	better(0.003)	option(0.003)	user(0.003)	hotspot(0.003)	minut(0.002)	problem(0.002)	cellular(0.002)	account(0.002)	store(0.002)	app(0.002)	function(0.002)	smart(0.002)	expens(0.002)	happi(0.002)	activ(0.002)	
Topic 21(0.040):	great(0.215)	love(0.108)	price(0.031)	easi(0.025)	awesom(0.015)	fast(0.014)	recommend(0.010)	featur(0.006)	perfect(0.005)	smart(0.004)	bought(0.003)	amaz(0.003)	friend(0.003)	lot(0.003)	camera(0.003)	happi(0.003)	excel(0.003)	best(0.003)	iphon(0.003)	work(0.002)	deal(0.002)	thing(0.002)	buy(0.002)	oper(0.002)	high(0.002)	good(0.002)	fun(0.002)	user(0.002)	absolut(0.002)	day(0.002)	simpl(0.002)	year(0.002)	super(0.002)	time(0.002)	big(0.002)	feel(0.002)	daughter(0.002)	product(0.002)	respons(0.002)	sound(0.001)	nice(0.001)	cheap(0.001)	problem(0.001)	purchas(0.001)	app(0.001)	mine(0.001)	window(0.001)	smartphon(0.001)	drop(0.001)	expect(0.001)	
Topic 22(0.038):	fast(0.026)	android(0.020)	processor(0.016)	storag(0.015)	screen(0.015)	ram(0.014)	batteri(0.012)	core(0.012)	feel(0.012)	nexus(0.012)	user(0.011)	gb(0.011)	camera(0.010)	power(0.009)	display(0.009)	perform(0.009)	great(0.008)	version(0.007)	smooth(0.007)	ghz(0.007)	s4(0.007)	speed(0.007)	featur(0.007)	spec(0.007)	size(0.006)	best(0.006)	video(0.006)	quad(0.006)	htc(0.006)	hd(0.006)	game(0.005)	dual(0.005)	pixel(0.005)	big(0.005)	design(0.005)	bright(0.005)	resolut(0.004)	snapdragon(0.004)	review(0.004)	galaxi(0.004)	life(0.004)	pretti(0.004)	lte(0.004)	remov(0.004)	faster(0.004)	mp(0.004)	head(0.004)	better(0.003)	top(0.003)	high(0.003)	
Topic 23(0.038):	work(0.265)	fine(0.029)	bought(0.009)	week(0.008)	star(0.007)	time(0.007)	great(0.007)	problem(0.006)	expect(0.005)	proper(0.005)	buy(0.005)	thing(0.004)	good(0.004)	return(0.003)	thought(0.003)	bad(0.003)	internet(0.003)	perfect(0.003)	wo(0.003)	mobil(0.002)	start(0.002)	disappoint(0.002)	hope(0.002)	turn(0.002)	recommend(0.002)	pretti(0.002)	month(0.002)	happi(0.002)	receiv(0.002)	suck(0.002)	updat(0.002)	drop(0.002)	replac(0.002)	call(0.002)	year(0.002)	big(0.002)	suppos(0.002)	day(0.002)	talk(0.002)	small(0.002)	email(0.002)	purchas(0.002)	long(0.002)	lot(0.002)	stay(0.002)	help(0.002)	deal(0.002)	mine(0.002)	nice(0.002)	text(0.002)	
Topic 24(0.039):	servic(0.073)	call(0.031)	time(0.030)	lg(0.021)	minut(0.019)	activ(0.018)	custom(0.018)	year(0.017)	month(0.015)	tracfon(0.014)	signal(0.012)	recept(0.012)	number(0.012)	area(0.011)	cell(0.010)	boost(0.009)	transfer(0.009)	hour(0.007)	talk(0.007)	sprint(0.007)	drop(0.006)	coverag(0.006)	plan(0.006)	peopl(0.005)	live(0.005)	problem(0.005)	net(0.005)	web(0.005)	buy(0.004)	bar(0.004)	check(0.004)	optimus(0.004)	motorola(0.004)	told(0.004)	user(0.004)	cost(0.004)	onlin(0.003)	websit(0.003)	switch(0.003)	verizon(0.003)	find(0.003)	mobil(0.003)	bought(0.003)	fact(0.003)	help(0.003)	final(0.003)	star(0.003)	thing(0.003)	carrier(0.003)	hope(0.003)	
Topic 25(0.038):	screen(0.186)	touch(0.034)	case(0.029)	size(0.015)	big(0.014)	small(0.013)	drop(0.011)	protector(0.009)	pretti(0.007)	cover(0.007)	nice(0.006)	great(0.006)	respons(0.005)	cheap(0.005)	feel(0.005)	hand(0.005)	fit(0.005)	qualiti(0.004)	slow(0.004)	good(0.004)	better(0.004)	time(0.003)	lot(0.003)	sensit(0.003)	fast(0.003)	thing(0.003)	bright(0.003)	pocket(0.003)	top(0.002)	easili(0.002)	find(0.002)	low(0.002)	protect(0.002)	clear(0.002)	work(0.002)	read(0.002)	left(0.002)	inch(0.002)	basic(0.002)	featur(0.002)	real(0.002)	solid(0.002)	bit(0.002)	life(0.002)	help(0.002)	color(0.002)	black(0.002)	includ(0.002)	batteri(0.002)	perfect(0.002)	
