Topic 11(0.025):	ipad(0.040)	appl(0.031)	android(0.029)	problem(0.014)	system(0.014)	product(0.013)	devic(0.012)	oper(0.011)	manual(0.010)	io(0.010)	user(0.010)	time(0.010)	app(0.010)	instruct(0.010)	charg(0.009)	find(0.009)	help(0.009)	phone(0.008)	box(0.008)	read(0.007)	buy(0.006)	support(0.006)	archo(0.006)	function(0.005)	samsung(0.005)	turn(0.005)	thing(0.005)	learn(0.005)	peopl(0.005)	set(0.005)	easi(0.005)	lack(0.004)	refurbish(0.004)	open(0.004)	better(0.004)	window(0.004)	connect(0.004)	number(0.004)	googl(0.004)	screen(0.004)	charger(0.004)	power(0.004)	comput(0.004)	person(0.004)	review(0.004)	market(0.004)	store(0.004)	price(0.004)	love(0.004)	base(0.004)	
Topic 12(0.042):	screen(0.064)	time(0.037)	touch(0.030)	app(0.026)	slow(0.023)	start(0.013)	freez(0.013)	turn(0.012)	game(0.011)	respons(0.010)	open(0.010)	day(0.009)	button(0.008)	respond(0.008)	second(0.008)	reboot(0.008)	set(0.008)	load(0.007)	lag(0.007)	close(0.007)	play(0.007)	problem(0.007)	click(0.007)	thing(0.007)	reset(0.006)	devic(0.006)	browser(0.006)	frustrat(0.006)	shut(0.006)	week(0.005)	download(0.005)	fine(0.005)	issu(0.005)	tap(0.005)	unrespons(0.005)	random(0.005)	touchscreen(0.005)	crash(0.005)	minut(0.005)	scroll(0.004)	select(0.004)	complet(0.004)	finger(0.004)	wait(0.004)	constant(0.004)	sensit(0.004)	program(0.004)	reason(0.004)	restart(0.004)	web(0.004)	
Topic 13(0.042):	batteri(0.101)	charg(0.073)	life(0.052)	hour(0.051)	day(0.027)	time(0.023)	turn(0.023)	long(0.016)	plug(0.011)	good(0.011)	hold(0.011)	play(0.009)	wifi(0.009)	screen(0.009)	great(0.008)	charger(0.008)	full(0.008)	die(0.008)	video(0.008)	minut(0.007)	drain(0.007)	fulli(0.007)	power(0.007)	watch(0.006)	unit(0.006)	devic(0.006)	week(0.005)	game(0.005)	thing(0.005)	dead(0.005)	slow(0.005)	app(0.005)	complet(0.005)	constant(0.005)	coupl(0.004)	movi(0.004)	pretti(0.004)	start(0.004)	bright(0.004)	recharg(0.004)	wo(0.004)	longer(0.004)	usag(0.004)	night(0.004)	fast(0.004)	shut(0.004)	short(0.004)	hot(0.004)	left(0.004)	problem(0.004)	
Topic 14(0.023):	app(0.029)	review(0.022)	ipad(0.014)	crash(0.014)	devic(0.014)	android(0.013)	star(0.012)	browser(0.011)	user(0.010)	issu(0.010)	time(0.010)	appl(0.010)	softwar(0.010)	read(0.010)	good(0.009)	experi(0.009)	thing(0.008)	updat(0.008)	peopl(0.007)	problem(0.007)	great(0.006)	hope(0.006)	product(0.006)	game(0.005)	start(0.005)	lot(0.005)	pdf(0.005)	month(0.005)	best(0.005)	function(0.005)	better(0.005)	hardwar(0.005)	find(0.004)	day(0.004)	upgrad(0.004)	bad(0.004)	reader(0.004)	develop(0.004)	open(0.004)	os(0.004)	buy(0.004)	chrome(0.004)	interfac(0.004)	web(0.004)	market(0.004)	internet(0.004)	window(0.004)	microsoft(0.004)	version(0.004)	support(0.004)	
Topic 15(0.078):	bought(0.047)	christma(0.032)	gift(0.024)	great(0.024)	love(0.023)	purchas(0.022)	kid(0.021)	year(0.021)	product(0.019)	daughter(0.018)	son(0.018)	month(0.018)	week(0.017)	day(0.017)	order(0.015)	good(0.015)	disappoint(0.013)	receiv(0.013)	money(0.012)	return(0.012)	happi(0.011)	item(0.011)	zeepad(0.011)	time(0.011)	play(0.010)	three(0.008)	screen(0.008)	charg(0.008)	broke(0.007)	wife(0.007)	buy(0.007)	game(0.007)	birthday(0.006)	ago(0.006)	charger(0.006)	problem(0.006)	worth(0.006)	price(0.006)	amazon(0.006)	perfect(0.005)	turn(0.005)	replac(0.005)	ipad(0.005)	arriv(0.005)	child(0.005)	children(0.004)	complet(0.004)	seller(0.004)	paid(0.004)	ship(0.003)	
Topic 16(0.019):	screen(0.027)	keyboard(0.023)	write(0.022)	pen(0.021)	app(0.019)	window(0.015)	stylus(0.012)	devic(0.012)	touch(0.012)	type(0.012)	button(0.010)	hand(0.008)	text(0.008)	featur(0.008)	handwrit(0.008)	thing(0.008)	function(0.007)	spen(0.007)	good(0.006)	time(0.006)	draw(0.006)	program(0.006)	finger(0.006)	paper(0.006)	ipad(0.005)	hold(0.005)	side(0.005)	nice(0.005)	turn(0.005)	great(0.005)	small(0.005)	mode(0.005)	open(0.005)	better(0.005)	document(0.004)	chang(0.004)	snote(0.004)	includ(0.004)	allow(0.004)	move(0.004)	big(0.004)	pretti(0.004)	samsung(0.004)	easi(0.004)	applic(0.004)	size(0.004)	best(0.004)	bottom(0.004)	input(0.004)	softwar(0.004)	
Topic 17(0.044):	screen(0.077)	good(0.035)	display(0.024)	great(0.021)	bright(0.020)	light(0.019)	nice(0.018)	color(0.017)	ipad(0.014)	size(0.014)	resolut(0.013)	batteri(0.013)	fast(0.012)	qualiti(0.011)	easi(0.011)	respons(0.011)	clear(0.010)	life(0.009)	beauti(0.009)	weight(0.009)	feel(0.008)	view(0.008)	sound(0.008)	angl(0.008)	sharp(0.007)	touch(0.007)	read(0.007)	better(0.006)	speaker(0.006)	devic(0.006)	pretti(0.006)	pictur(0.005)	excel(0.005)	hold(0.005)	hand(0.005)	super(0.005)	small(0.005)	thin(0.005)	bit(0.005)	design(0.005)	solid(0.005)	wifi(0.004)	nexus(0.004)	decent(0.004)	crisp(0.004)	perform(0.004)	thing(0.004)	retina(0.004)	mode(0.004)	issu(0.004)	
Topic 18(0.056):	great(0.070)	price(0.040)	love(0.036)	screen(0.021)	ipad(0.020)	good(0.018)	thing(0.017)	awesom(0.015)	product(0.015)	better(0.013)	best(0.012)	devic(0.011)	samsung(0.010)	pen(0.009)	resolut(0.009)	featur(0.009)	buy(0.009)	perfect(0.008)	fast(0.008)	amaz(0.008)	stylus(0.007)	qualiti(0.007)	student(0.007)	recommend(0.007)	time(0.007)	worth(0.007)	high(0.006)	absolut(0.006)	bit(0.006)	tab(0.006)	pretti(0.006)	excel(0.006)	easi(0.005)	write(0.005)	app(0.005)	draw(0.005)	definit(0.005)	fantast(0.005)	lot(0.005)	compar(0.005)	spen(0.005)	size(0.005)	learn(0.004)	choic(0.004)	galaxi(0.004)	expect(0.004)	paper(0.004)	kid(0.004)	fun(0.004)	android(0.004)	
Topic 19(0.026):	usb(0.063)	charg(0.049)	port(0.038)	charger(0.030)	power(0.025)	cabl(0.022)	plug(0.022)	adapt(0.017)	connect(0.016)	devic(0.015)	micro(0.012)	cord(0.012)	hdmi(0.011)	comput(0.008)	ipad(0.007)	drive(0.007)	connector(0.007)	keyboard(0.006)	includ(0.006)	mini(0.006)	batteri(0.005)	wall(0.005)	problem(0.005)	buy(0.005)	proprietari(0.005)	thing(0.005)	short(0.005)	screen(0.005)	time(0.005)	bit(0.004)	ac(0.004)	extern(0.004)	wo(0.004)	case(0.004)	issu(0.004)	unit(0.004)	jack(0.004)	standard(0.004)	purchas(0.004)	fit(0.003)	good(0.003)	cover(0.003)	microusb(0.003)	month(0.003)	app(0.003)	nice(0.003)	samsung(0.003)	start(0.003)	file(0.003)	great(0.003)	
Topic 20(0.024):	case(0.042)	nice(0.018)	connect(0.016)	wifi(0.015)	camera(0.013)	devic(0.012)	good(0.012)	find(0.011)	cover(0.011)	fit(0.011)	great(0.011)	screen(0.011)	time(0.010)	ipad(0.010)	feel(0.010)	keyboard(0.009)	drop(0.009)	function(0.009)	protect(0.009)	perfect(0.008)	thing(0.008)	wireless(0.008)	gps(0.008)	size(0.007)	carri(0.006)	heavi(0.006)	pretti(0.006)	love(0.006)	design(0.006)	samsung(0.006)	front(0.006)	appl(0.006)	small(0.005)	recommend(0.005)	big(0.005)	user(0.005)	hand(0.005)	app(0.005)	open(0.005)	turn(0.004)	accessori(0.004)	friend(0.004)	issu(0.004)	video(0.004)	sleek(0.004)	price(0.004)	light(0.004)	stand(0.004)	usb(0.004)	magnet(0.004)	
Topic 21(0.021):	camera(0.060)	screen(0.040)	pictur(0.025)	video(0.021)	front(0.020)	qualiti(0.020)	face(0.012)	good(0.011)	phone(0.010)	thing(0.009)	time(0.009)	skype(0.008)	app(0.008)	ipad(0.008)	touch(0.007)	rear(0.007)	resolut(0.007)	problem(0.007)	turn(0.007)	better(0.006)	person(0.006)	find(0.006)	call(0.005)	side(0.005)	devic(0.005)	imag(0.005)	eye(0.005)	horribl(0.005)	month(0.005)	pixel(0.005)	flash(0.005)	bright(0.005)	samsung(0.005)	hold(0.005)	reason(0.004)	color(0.004)	blue(0.004)	lot(0.004)	read(0.004)	peopl(0.004)	bad(0.004)	day(0.004)	dark(0.004)	chat(0.004)	lock(0.004)	clear(0.004)	notic(0.004)	email(0.004)	chang(0.004)	best(0.004)	
Topic 22(0.025):	ipad(0.050)	speaker(0.039)	sound(0.032)	expect(0.022)	better(0.019)	qualiti(0.015)	screen(0.013)	good(0.012)	headphon(0.011)	mini(0.010)	loud(0.010)	great(0.009)	appl(0.008)	price(0.008)	volum(0.007)	devic(0.007)	side(0.007)	stereo(0.007)	retina(0.007)	android(0.007)	pretti(0.006)	hear(0.006)	video(0.006)	buy(0.006)	display(0.006)	time(0.006)	power(0.006)	product(0.006)	best(0.005)	size(0.005)	resolut(0.005)	faster(0.005)	low(0.005)	weight(0.005)	air(0.005)	notic(0.004)	year(0.004)	app(0.004)	cost(0.004)	top(0.004)	smaller(0.004)	disappoint(0.004)	batteri(0.004)	front(0.004)	lighter(0.003)	watch(0.003)	bit(0.003)	camera(0.003)	half(0.003)	bottom(0.003)	
Topic 23(0.035):	app(0.066)	play(0.028)	googl(0.025)	video(0.025)	download(0.024)	store(0.022)	flash(0.019)	android(0.019)	amazon(0.019)	devic(0.016)	support(0.011)	instal(0.011)	watch(0.010)	kindl(0.010)	game(0.009)	player(0.009)	access(0.008)	movi(0.008)	browser(0.007)	youtub(0.007)	web(0.007)	problem(0.007)	music(0.007)	netflix(0.006)	stream(0.006)	adob(0.006)	appl(0.006)	free(0.006)	market(0.006)	great(0.006)	site(0.006)	good(0.006)	thing(0.006)	time(0.005)	prime(0.005)	limit(0.005)	ipad(0.005)	applic(0.005)	find(0.005)	load(0.005)	media(0.005)	product(0.005)	updat(0.005)	file(0.005)	version(0.004)	content(0.004)	account(0.004)	book(0.004)	internet(0.004)	issu(0.004)	
Topic 24(0.029):	connect(0.038)	wifi(0.035)	button(0.029)	time(0.020)	power(0.017)	problem(0.015)	turn(0.014)	issu(0.013)	reset(0.013)	network(0.012)	devic(0.012)	internet(0.012)	updat(0.010)	screen(0.010)	mode(0.009)	set(0.009)	unit(0.008)	volum(0.007)	second(0.007)	press(0.007)	wireless(0.007)	router(0.007)	minut(0.007)	day(0.006)	factori(0.006)	drop(0.006)	slow(0.006)	sleep(0.005)	app(0.005)	signal(0.005)	data(0.005)	thing(0.005)	keyboard(0.004)	requir(0.004)	left(0.004)	find(0.004)	help(0.004)	wake(0.004)	reboot(0.004)	stay(0.004)	control(0.004)	boot(0.004)	hold(0.004)	fine(0.004)	easi(0.004)	password(0.003)	window(0.003)	lock(0.003)	ipad(0.003)	constant(0.003)	
Topic 25(0.034):	screen(0.046)	feel(0.020)	plastic(0.018)	cheap(0.018)	scratch(0.015)	box(0.013)	glass(0.013)	crack(0.013)	asus(0.011)	tf300(0.011)	case(0.010)	good(0.010)	issu(0.009)	ipad(0.009)	price(0.009)	qualiti(0.009)	transform(0.008)	product(0.007)	cover(0.007)	build(0.007)	review(0.007)	bought(0.007)	solid(0.006)	unit(0.006)	drop(0.006)	great(0.006)	buy(0.006)	edg(0.006)	time(0.006)	condit(0.006)	devic(0.006)	problem(0.005)	acer(0.005)	corner(0.005)	bit(0.005)	protector(0.005)	infin(0.005)	hand(0.005)	refurbish(0.005)	arriv(0.004)	top(0.004)	side(0.004)	gorilla(0.004)	open(0.004)	damag(0.004)	protect(0.004)	better(0.004)	samsung(0.004)	return(0.004)	ship(0.004)	
Topic 26(0.039):	read(0.037)	game(0.031)	book(0.026)	watch(0.024)	play(0.021)	great(0.021)	movi(0.020)	video(0.018)	kindl(0.016)	web(0.014)	love(0.013)	app(0.013)	email(0.013)	ipad(0.013)	screen(0.012)	internet(0.012)	good(0.011)	surf(0.010)	brows(0.010)	size(0.009)	easi(0.009)	music(0.008)	laptop(0.008)	netflix(0.007)	devic(0.007)	lot(0.006)	perfect(0.006)	download(0.006)	enjoy(0.006)	light(0.006)	check(0.006)	comput(0.005)	phone(0.005)	thing(0.005)	nice(0.005)	time(0.005)	sound(0.004)	bought(0.004)	ebook(0.004)	tv(0.004)	free(0.004)	easier(0.004)	listen(0.004)	fine(0.004)	pictur(0.004)	big(0.004)	access(0.004)	magazin(0.004)	youtub(0.004)	stream(0.004)	
Topic 27(0.033):	fast(0.031)	great(0.026)	processor(0.026)	game(0.019)	batteri(0.018)	good(0.015)	core(0.014)	price(0.013)	life(0.012)	window(0.012)	screen(0.012)	android(0.011)	power(0.011)	graphic(0.011)	play(0.011)	nice(0.010)	speed(0.010)	app(0.010)	decent(0.010)	perform(0.009)	full(0.009)	quad(0.009)	oper(0.008)	system(0.008)	light(0.007)	smooth(0.007)	cpu(0.007)	excel(0.007)	ram(0.006)	qualiti(0.006)	hour(0.006)	thing(0.006)	amaz(0.006)	form(0.006)	slow(0.006)	tegra(0.006)	expect(0.006)	product(0.006)	time(0.005)	factor(0.005)	fair(0.005)	size(0.005)	respons(0.005)	comput(0.005)	con(0.005)	pretti(0.005)	display(0.005)	charg(0.004)	os(0.004)	pros(0.004)	
Topic 28(0.017):	app(0.021)	video(0.018)	card(0.017)	file(0.016)	memori(0.014)	gb(0.012)	android(0.010)	sd(0.009)	download(0.009)	transfer(0.008)	updat(0.008)	ipad(0.008)	drive(0.008)	movi(0.007)	lot(0.007)	usb(0.007)	storag(0.007)	time(0.007)	flash(0.007)	format(0.007)	music(0.006)	thing(0.006)	devic(0.006)	load(0.006)	photo(0.006)	support(0.006)	play(0.006)	issu(0.006)	screen(0.006)	window(0.006)	applic(0.006)	firmwar(0.006)	space(0.006)	softwar(0.006)	os(0.005)	great(0.005)	set(0.005)	copi(0.005)	watch(0.005)	itun(0.005)	program(0.005)	crash(0.005)	problem(0.005)	instal(0.004)	easi(0.004)	archo(0.004)	remov(0.004)	pc(0.004)	access(0.004)	open(0.004)	
Topic 29(0.025):	window(0.028)	month(0.019)	problem(0.017)	time(0.016)	warranti(0.013)	microsoft(0.013)	support(0.012)	replac(0.012)	offic(0.011)	call(0.010)	surfac(0.010)	year(0.010)	instal(0.009)	softwar(0.009)	bought(0.009)	rt(0.009)	driver(0.009)	tech(0.009)	purchas(0.008)	pro(0.008)	comput(0.008)	day(0.008)	laptop(0.008)	full(0.008)	final(0.007)	android(0.007)	updat(0.007)	dell(0.007)	version(0.007)	asus(0.007)	issu(0.007)	appl(0.007)	devic(0.006)	wait(0.006)	phone(0.005)	screen(0.005)	good(0.005)	unit(0.005)	program(0.005)	machin(0.005)	ipad(0.005)	upgrad(0.005)	app(0.005)	fine(0.005)	os(0.005)	amazon(0.005)	free(0.005)	start(0.005)	hardwar(0.004)	ms(0.004)	
