Topic 11(0.038):	NUM(0.079)	good(0.067)	screen(0.043)	fast(0.029)	lot(0.027)	updat(0.024)	batteri(0.020)	memori(0.018)	asus(0.017)	price(0.017)	support(0.017)	day(0.017)	best(0.016)	touch(0.015)	work(0.014)	processor(0.014)	life(0.012)	spec(0.012)	microsd(0.012)	storag(0.012)	replac(0.011)	decent(0.011)	featur(0.010)	galaxi(0.010)	case(0.010)	card(0.010)	better(0.010)	iphon(0.009)	unlock(0.009)	button(0.009)	softwar(0.008)	peopl(0.008)	keyboard(0.008)	expand(0.008)	big(0.007)	type(0.007)	mine(0.007)	3g(0.007)	wait(0.007)	qualiti(0.007)	power(0.007)	sound(0.007)	ram(0.007)	camera(0.006)	android(0.006)	pretti(0.006)	size(0.006)	protector(0.006)	speed(0.006)	super(0.005)	
Topic 12(0.046):	great(0.062)	screen(0.058)	work(0.043)	good(0.040)	respons(0.030)	qualiti(0.027)	excel(0.026)	devic(0.025)	touch(0.022)	price(0.019)	app(0.018)	perform(0.017)	time(0.017)	high(0.017)	condit(0.015)	box(0.015)	fast(0.014)	case(0.013)	servic(0.013)	call(0.013)	nice(0.013)	window(0.011)	speed(0.011)	camera(0.011)	android(0.011)	navig(0.011)	design(0.010)	recept(0.010)	keyboard(0.009)	includ(0.009)	photo(0.009)	iphon(0.008)	featur(0.008)	beauti(0.008)	video(0.008)	processor(0.008)	pretti(0.008)	scratch(0.008)	connect(0.008)	talk(0.008)	straight(0.008)	unlock(0.007)	problem(0.007)	user(0.006)	pictur(0.006)	sound(0.006)	color(0.006)	best(0.006)	display(0.006)	tmobil(0.006)	
Topic 13(0.040):	batteri(0.122)	NUM(0.088)	life(0.075)	day(0.040)	camera(0.019)	great(0.017)	short(0.017)	hour(0.017)	devic(0.017)	root(0.017)	die(0.013)	talk(0.013)	month(0.012)	drop(0.011)	wifi(0.011)	screen(0.011)	big(0.011)	speaker(0.011)	work(0.011)	web(0.011)	kind(0.011)	best(0.011)	gps(0.011)	side(0.010)	video(0.010)	android(0.009)	turn(0.009)	horribl(0.009)	left(0.009)	review(0.009)	fast(0.008)	expect(0.007)	newegg(0.007)	week(0.007)	low(0.007)	recept(0.006)	con(0.006)	resolut(0.006)	bit(0.006)	full(0.006)	processor(0.006)	top(0.006)	long(0.006)	usb(0.006)	play(0.006)	friend(0.006)	charg(0.006)	longer(0.006)	hit(0.006)	heavi(0.006)	
Topic 14(0.034):	data(0.036)	slow(0.035)	tmobil(0.028)	wifi(0.027)	set(0.025)	issu(0.023)	camera(0.022)	support(0.022)	volum(0.022)	model(0.022)	list(0.022)	speaker(0.020)	access(0.019)	3g(0.017)	internet(0.017)	connect(0.017)	work(0.016)	easili(0.015)	button(0.014)	bit(0.014)	loud(0.014)	lot(0.014)	lack(0.014)	plan(0.014)	spec(0.013)	feel(0.012)	start(0.011)	softwar(0.011)	front(0.011)	locat(0.011)	charg(0.011)	case(0.011)	con(0.011)	chang(0.010)	cover(0.010)	buy(0.010)	att(0.009)	charger(0.008)	speed(0.008)	unit(0.008)	pretti(0.008)	cheap(0.008)	signal(0.008)	terribl(0.008)	scratch(0.008)	usb(0.008)	help(0.008)	hot(0.008)	find(0.008)	bloatwar(0.007)	
Topic 15(0.046):	app(0.083)	NUM(0.049)	version(0.039)	android(0.035)	buy(0.025)	os(0.024)	bloatwar(0.023)	devic(0.022)	samsung(0.021)	asus(0.020)	window(0.020)	newegg(0.018)	issu(0.018)	appl(0.017)	intern(0.017)	price(0.017)	support(0.017)	time(0.017)	find(0.016)	warranti(0.016)	googl(0.015)	big(0.015)	lot(0.014)	deal(0.014)	freez(0.014)	updat(0.012)	store(0.010)	compar(0.010)	unlock(0.010)	custom(0.010)	year(0.010)	person(0.009)	expect(0.009)	consid(0.009)	mobil(0.009)	root(0.008)	good(0.008)	bad(0.008)	review(0.008)	batteri(0.007)	extra(0.007)	memori(0.007)	includ(0.006)	chang(0.005)	remov(0.005)	annoy(0.005)	compat(0.005)	instal(0.005)	limit(0.005)	stock(0.005)	
Topic 16(0.035):	NUM(0.105)	work(0.050)	app(0.046)	day(0.026)	week(0.026)	charg(0.024)	screen(0.022)	time(0.021)	messag(0.021)	text(0.021)	hour(0.019)	send(0.019)	network(0.017)	button(0.017)	wait(0.016)	batteri(0.015)	connect(0.015)	support(0.015)	annoy(0.015)	problem(0.014)	good(0.013)	data(0.013)	att(0.013)	updat(0.013)	thing(0.012)	os(0.011)	open(0.011)	wo(0.011)	lot(0.010)	tech(0.010)	fine(0.009)	market(0.009)	power(0.009)	con(0.008)	pictur(0.008)	wifi(0.008)	talk(0.008)	touch(0.007)	feel(0.007)	load(0.007)	half(0.007)	small(0.007)	box(0.006)	tmobil(0.006)	charger(0.006)	month(0.006)	window(0.006)	find(0.006)	softwar(0.006)	includ(0.006)	
Topic 17(0.027):	call(0.048)	screen(0.038)	camera(0.037)	custom(0.032)	speaker(0.031)	qualiti(0.030)	great(0.025)	time(0.021)	bad(0.020)	flash(0.018)	rom(0.018)	updat(0.016)	extrem(0.016)	better(0.014)	sound(0.014)	volum(0.014)	touch(0.012)	care(0.012)	low(0.011)	compar(0.011)	light(0.011)	find(0.011)	peopl(0.010)	con(0.010)	chang(0.010)	iphon(0.009)	NUM(0.009)	pictur(0.009)	turn(0.009)	work(0.009)	drop(0.009)	design(0.009)	store(0.009)	appl(0.009)	easili(0.008)	respons(0.008)	horribl(0.008)	interfac(0.008)	set(0.007)	root(0.007)	problem(0.007)	softwar(0.007)	easi(0.007)	small(0.007)	loud(0.007)	power(0.007)	scratch(0.007)	data(0.007)	super(0.007)	clear(0.007)	
Topic 18(0.042):	NUM(0.155)	work(0.036)	android(0.026)	upgrad(0.023)	4g(0.021)	carrier(0.020)	updat(0.017)	lock(0.017)	samsung(0.017)	instal(0.017)	devic(0.016)	app(0.016)	lte(0.015)	sim(0.015)	os(0.015)	usb(0.015)	time(0.014)	3g(0.014)	function(0.013)	featur(0.012)	issu(0.011)	lack(0.010)	wifi(0.010)	screen(0.010)	micro(0.010)	advertis(0.010)	receiv(0.010)	connect(0.010)	iphon(0.009)	card(0.009)	gb(0.008)	egg(0.008)	capabl(0.008)	support(0.008)	cabl(0.008)	appl(0.007)	window(0.007)	newegg(0.007)	unlock(0.007)	compar(0.007)	fine(0.007)	box(0.007)	wo(0.007)	nexus(0.007)	smartphon(0.007)	video(0.006)	slow(0.005)	small(0.005)	button(0.005)	port(0.005)	
Topic 19(0.037):	batteri(0.067)	good(0.050)	case(0.037)	life(0.034)	find(0.027)	unlock(0.022)	better(0.020)	time(0.017)	thing(0.016)	return(0.015)	screen(0.015)	ship(0.015)	servic(0.015)	protect(0.015)	easi(0.015)	disappoint(0.015)	fit(0.014)	box(0.014)	bit(0.013)	newegg(0.013)	pocket(0.013)	charg(0.012)	drop(0.012)	button(0.011)	work(0.010)	help(0.010)	camera(0.010)	price(0.010)	egg(0.010)	nice(0.010)	top(0.010)	expens(0.010)	cell(0.010)	bad(0.010)	lock(0.009)	start(0.009)	open(0.008)	app(0.008)	buy(0.008)	model(0.007)	pretti(0.007)	warranti(0.007)	android(0.007)	receiv(0.007)	experi(0.007)	custom(0.007)	manufactur(0.007)	ram(0.006)	remov(0.005)	market(0.005)	
Topic 20(0.036):	samsung(0.044)	NUM(0.041)	batteri(0.041)	charg(0.035)	servic(0.030)	day(0.028)	buy(0.021)	custom(0.021)	problem(0.021)	4g(0.020)	time(0.020)	softwar(0.019)	3g(0.017)	updat(0.017)	tmobil(0.016)	cabl(0.015)	compat(0.014)	type(0.014)	call(0.012)	mode(0.012)	support(0.012)	terribl(0.012)	number(0.012)	system(0.012)	freez(0.012)	internet(0.012)	screen(0.010)	hour(0.009)	small(0.009)	data(0.009)	size(0.009)	order(0.009)	product(0.009)	gps(0.009)	better(0.009)	white(0.009)	charger(0.009)	dead(0.009)	lte(0.009)	complet(0.009)	att(0.008)	week(0.008)	connect(0.008)	life(0.007)	find(0.007)	die(0.007)	video(0.007)	cell(0.007)	slot(0.007)	store(0.007)	
Topic 21(0.029):	newegg(0.032)	call(0.032)	att(0.027)	purchas(0.026)	second(0.026)	core(0.024)	money(0.023)	keyboard(0.021)	NUM(0.019)	batteri(0.019)	warranti(0.019)	time(0.019)	model(0.018)	text(0.018)	quad(0.018)	lag(0.018)	receiv(0.018)	day(0.016)	problem(0.016)	read(0.016)	intern(0.013)	connect(0.013)	sim(0.013)	good(0.012)	radio(0.012)	heavi(0.011)	app(0.011)	carrier(0.011)	custom(0.011)	small(0.011)	thought(0.011)	user(0.010)	big(0.010)	signal(0.010)	unlock(0.008)	email(0.008)	htc(0.008)	iphon(0.008)	sell(0.008)	long(0.008)	week(0.008)	messag(0.008)	card(0.008)	compani(0.008)	open(0.008)	horribl(0.007)	power(0.006)	samsung(0.006)	spec(0.006)	life(0.006)	
Topic 22(0.039):	screen(0.092)	sim(0.064)	card(0.040)	NUM(0.030)	tmobil(0.027)	lock(0.023)	unlock(0.022)	button(0.022)	protector(0.020)	work(0.020)	includ(0.019)	case(0.018)	att(0.017)	issu(0.016)	network(0.016)	turn(0.015)	touch(0.014)	slot(0.014)	amount(0.014)	con(0.013)	hit(0.011)	replac(0.011)	hand(0.011)	remov(0.011)	product(0.010)	sd(0.009)	storag(0.009)	big(0.009)	design(0.009)	type(0.009)	small(0.009)	power(0.008)	bloatwar(0.007)	batteri(0.007)	3g(0.007)	size(0.007)	support(0.007)	list(0.007)	freez(0.007)	asus(0.007)	micro(0.007)	sound(0.007)	huge(0.007)	perform(0.007)	softwar(0.006)	lte(0.005)	speaker(0.005)	drop(0.005)	complet(0.005)	time(0.005)	
Topic 23(0.024):	NUM(0.110)	button(0.038)	batteri(0.038)	better(0.032)	replac(0.028)	cover(0.027)	screen(0.025)	month(0.023)	case(0.023)	cheap(0.021)	app(0.017)	power(0.015)	qualiti(0.015)	time(0.015)	blackberri(0.015)	reason(0.014)	memori(0.012)	hold(0.012)	close(0.012)	asus(0.011)	email(0.011)	remov(0.011)	custom(0.010)	faster(0.010)	pretti(0.010)	pictur(0.010)	drop(0.010)	video(0.008)	camera(0.008)	review(0.007)	window(0.007)	box(0.007)	os(0.007)	work(0.007)	warranti(0.007)	web(0.007)	notic(0.007)	sound(0.007)	incred(0.007)	absolut(0.007)	purchas(0.007)	hardwar(0.007)	smooth(0.006)	servic(0.006)	minut(0.006)	side(0.006)	turn(0.005)	support(0.005)	life(0.005)	android(0.005)	
Topic 24(0.035):	NUM(0.064)	card(0.047)	sd(0.038)	batteri(0.030)	con(0.028)	app(0.027)	memori(0.025)	qualiti(0.025)	camera(0.024)	time(0.021)	storag(0.021)	good(0.019)	month(0.019)	micro(0.019)	long(0.019)	intern(0.015)	freez(0.015)	pictur(0.013)	fast(0.013)	low(0.013)	slot(0.012)	expect(0.012)	music(0.011)	slow(0.011)	perform(0.011)	instal(0.011)	photo(0.011)	move(0.011)	display(0.010)	updat(0.009)	bought(0.008)	set(0.008)	game(0.008)	terribl(0.008)	limit(0.008)	newegg(0.008)	remov(0.007)	softwar(0.007)	devic(0.007)	peopl(0.006)	better(0.006)	microsd(0.006)	gb(0.006)	brand(0.006)	email(0.006)	option(0.006)	build(0.006)	year(0.006)	smartphon(0.006)	color(0.006)	
Topic 25(0.037):	screen(0.051)	newegg(0.046)	NUM(0.043)	warranti(0.028)	work(0.026)	time(0.022)	call(0.020)	touch(0.020)	replac(0.019)	product(0.019)	problem(0.019)	samsung(0.018)	bought(0.017)	seller(0.015)	start(0.015)	email(0.014)	issu(0.014)	return(0.013)	contact(0.013)	asus(0.013)	cover(0.013)	fine(0.013)	support(0.013)	softwar(0.013)	origin(0.013)	resolut(0.013)	open(0.012)	att(0.012)	month(0.011)	respons(0.011)	galaxi(0.011)	better(0.011)	box(0.010)	tech(0.010)	help(0.010)	wifi(0.010)	brand(0.010)	direct(0.009)	hardwar(0.009)	black(0.008)	basic(0.008)	day(0.008)	drop(0.008)	lot(0.008)	hope(0.008)	turn(0.008)	app(0.007)	android(0.007)	reason(0.007)	featur(0.006)	
