Topic 11(0.034):	bought(0.088)	buy(0.052)	money(0.044)	christma(0.031)	kid(0.024)	gift(0.018)	year(0.018)	son(0.017)	daughter(0.015)	wast(0.013)	month(0.012)	junk(0.008)	pay(0.008)	piec(0.007)	spend(0.007)	worth(0.006)	broke(0.006)	work(0.006)	freez(0.004)	purchas(0.004)	week(0.004)	recommend(0.004)	return(0.004)	horribl(0.003)	time(0.003)	zeepad(0.003)	crap(0.003)	thing(0.003)	extra(0.002)	wo(0.002)	replac(0.002)	thought(0.002)	die(0.002)	star(0.002)	wife(0.002)	spent(0.002)	three(0.002)	brand(0.002)	save(0.002)	famili(0.002)	disappoint(0.002)	good(0.002)	turn(0.002)	play(0.002)	plan(0.002)	phone(0.002)	order(0.002)	price(0.002)	better(0.002)	download(0.002)	
Topic 12(0.033):	good(0.182)	qualiti(0.042)	price(0.035)	bad(0.023)	screen(0.013)	pretti(0.011)	build(0.008)	perform(0.008)	nice(0.008)	bit(0.007)	resolut(0.005)	lot(0.004)	sound(0.004)	feel(0.004)	fast(0.004)	impress(0.004)	high(0.004)	decent(0.004)	display(0.004)	respons(0.003)	thing(0.003)	hold(0.003)	work(0.003)	time(0.003)	excel(0.003)	better(0.003)	great(0.003)	color(0.002)	android(0.002)	size(0.002)	reason(0.002)	speaker(0.002)	case(0.002)	best(0.002)	clear(0.002)	design(0.002)	pixel(0.002)	scratch(0.002)	expect(0.002)	basic(0.002)	solid(0.002)	find(0.002)	smooth(0.002)	product(0.002)	upgrad(0.002)	replac(0.002)	cheap(0.002)	buy(0.002)	cover(0.002)	easili(0.002)	
Topic 13(0.032):	issu(0.068)	updat(0.068)	time(0.016)	star(0.014)	review(0.013)	firmwar(0.011)	softwar(0.011)	upgrad(0.009)	android(0.008)	set(0.008)	mode(0.007)	option(0.007)	rate(0.006)	lag(0.006)	work(0.006)	thing(0.005)	releas(0.005)	complet(0.005)	problem(0.005)	develop(0.005)	support(0.005)	bean(0.004)	hardwar(0.004)	user(0.004)	hope(0.004)	good(0.004)	jelli(0.004)	os(0.004)	factori(0.003)	recommend(0.003)	call(0.003)	day(0.003)	perform(0.003)	browser(0.003)	wait(0.003)	stock(0.003)	great(0.003)	locat(0.003)	reason(0.003)	reset(0.003)	ic(0.003)	start(0.003)	nexus(0.003)	post(0.003)	latest(0.003)	chang(0.003)	hit(0.003)	read(0.003)	left(0.003)	version(0.003)	
Topic 14(0.032):	slow(0.065)	price(0.042)	expect(0.035)	cheap(0.032)	low(0.011)	load(0.011)	better(0.010)	good(0.010)	pretti(0.008)	bit(0.008)	qualiti(0.007)	thing(0.006)	screen(0.006)	freez(0.006)	perform(0.005)	fast(0.005)	high(0.005)	speed(0.004)	resolut(0.004)	bad(0.004)	nice(0.004)	respons(0.003)	time(0.003)	lot(0.003)	buy(0.003)	work(0.003)	decent(0.003)	day(0.003)	worth(0.003)	reason(0.003)	purchas(0.003)	pay(0.002)	thought(0.002)	phone(0.002)	money(0.002)	bought(0.002)	open(0.002)	disappoint(0.002)	review(0.002)	recommend(0.002)	find(0.002)	lag(0.002)	case(0.002)	android(0.002)	size(0.002)	wrong(0.002)	system(0.002)	clear(0.002)	compar(0.002)	drop(0.002)	
Topic 15(0.037):	custom(0.037)	support(0.035)	servic(0.035)	asus(0.034)	call(0.028)	warranti(0.026)	month(0.024)	repair(0.024)	week(0.020)	send(0.018)	compani(0.017)	told(0.015)	crack(0.015)	tech(0.015)	email(0.014)	contact(0.011)	help(0.011)	problem(0.010)	replac(0.010)	cost(0.009)	number(0.009)	buy(0.009)	product(0.006)	final(0.006)	receiv(0.006)	day(0.006)	respond(0.006)	pay(0.006)	year(0.005)	case(0.005)	care(0.005)	cover(0.005)	find(0.005)	rma(0.005)	manufactur(0.004)	defect(0.004)	phone(0.004)	work(0.004)	ship(0.004)	purchas(0.003)	issu(0.003)	drop(0.003)	time(0.003)	damag(0.003)	cours(0.003)	three(0.003)	address(0.003)	bought(0.003)	busi(0.003)	return(0.002)	
Topic 16(0.032):	samsung(0.086)	galaxi(0.049)	tab(0.026)	screen(0.020)	android(0.019)	time(0.014)	best(0.012)	infin(0.011)	system(0.008)	compar(0.008)	applic(0.008)	featur(0.007)	review(0.007)	transform(0.007)	better(0.007)	open(0.006)	read(0.006)	reason(0.005)	notic(0.005)	experi(0.005)	year(0.004)	hour(0.004)	softwar(0.004)	speed(0.004)	point(0.004)	resolut(0.004)	thing(0.004)	high(0.004)	spec(0.003)	major(0.003)	hd(0.003)	hardwar(0.003)	market(0.003)	sound(0.003)	amaz(0.003)	hope(0.003)	updat(0.003)	decid(0.003)	faster(0.003)	spen(0.003)	pretti(0.003)	extra(0.003)	simpli(0.003)	fact(0.003)	phone(0.003)	prefer(0.003)	includ(0.003)	brows(0.003)	fast(0.003)	chang(0.003)	
Topic 17(0.032):	video(0.034)	screen(0.026)	sound(0.025)	speaker(0.024)	download(0.018)	model(0.012)	case(0.012)	hd(0.011)	time(0.011)	good(0.010)	better(0.009)	find(0.009)	updat(0.009)	side(0.008)	set(0.008)	button(0.007)	year(0.007)	hour(0.007)	volum(0.007)	watch(0.007)	option(0.007)	bright(0.006)	qualiti(0.006)	view(0.006)	top(0.006)	version(0.006)	best(0.006)	hold(0.006)	lot(0.006)	featur(0.006)	movi(0.005)	play(0.005)	notic(0.005)	choic(0.005)	power(0.005)	kid(0.005)	turn(0.005)	prime(0.005)	softwar(0.004)	app(0.004)	nexus(0.004)	hand(0.004)	experi(0.004)	chang(0.004)	compar(0.004)	day(0.004)	clear(0.003)	minut(0.003)	left(0.003)	control(0.003)	
Topic 18(0.032):	connect(0.081)	wifi(0.075)	soni(0.025)	network(0.019)	time(0.016)	unit(0.015)	issu(0.013)	wireless(0.013)	internet(0.012)	work(0.009)	signal(0.008)	router(0.008)	drop(0.006)	problem(0.006)	speed(0.005)	phone(0.005)	function(0.004)	better(0.004)	remot(0.004)	great(0.004)	set(0.003)	year(0.003)	pc(0.003)	perform(0.003)	softwar(0.003)	screen(0.003)	program(0.003)	access(0.003)	transfer(0.003)	turn(0.002)	reset(0.002)	laptop(0.002)	day(0.002)	slow(0.002)	ir(0.002)	stay(0.002)	brand(0.002)	qualiti(0.002)	good(0.002)	excel(0.002)	find(0.002)	nice(0.002)	feet(0.002)	best(0.002)	custom(0.002)	rang(0.002)	thought(0.002)	order(0.002)	stream(0.002)	buy(0.002)	
Topic 19(0.032):	turn(0.061)	button(0.051)	time(0.044)	power(0.043)	second(0.021)	start(0.016)	work(0.011)	press(0.009)	day(0.009)	screen(0.009)	reset(0.007)	wait(0.007)	thing(0.007)	set(0.007)	week(0.007)	open(0.005)	shut(0.005)	click(0.005)	help(0.004)	function(0.004)	hold(0.004)	minut(0.004)	problem(0.004)	instruct(0.004)	wo(0.003)	good(0.003)	thought(0.003)	nice(0.003)	find(0.003)	volum(0.003)	side(0.003)	long(0.003)	hour(0.002)	case(0.002)	complet(0.002)	month(0.002)	review(0.002)	plug(0.002)	issu(0.002)	lot(0.002)	proper(0.002)	difficult(0.002)	switch(0.002)	size(0.002)	bad(0.002)	read(0.002)	decid(0.002)	coupl(0.002)	oper(0.002)	control(0.002)	
Topic 20(0.032):	game(0.103)	play(0.068)	movi(0.021)	web(0.019)	watch(0.015)	brows(0.012)	thing(0.010)	netflix(0.010)	email(0.010)	read(0.009)	great(0.008)	perform(0.008)	good(0.006)	graphic(0.005)	lot(0.005)	expect(0.004)	work(0.004)	feel(0.004)	recommend(0.004)	laptop(0.003)	comput(0.003)	price(0.003)	excel(0.003)	bit(0.003)	load(0.003)	perfect(0.003)	surf(0.003)	time(0.003)	amaz(0.003)	screen(0.003)	fast(0.003)	clear(0.002)	review(0.002)	video(0.002)	display(0.002)	easili(0.002)	easi(0.002)	find(0.002)	pretti(0.002)	best(0.002)	better(0.002)	check(0.002)	buy(0.002)	wife(0.002)	pay(0.002)	start(0.002)	size(0.002)	hold(0.002)	long(0.002)	color(0.002)	
Topic 21(0.033):	love(0.134)	thing(0.036)	easi(0.033)	awesom(0.024)	great(0.022)	happi(0.012)	perfect(0.010)	enjoy(0.008)	size(0.007)	learn(0.007)	recommend(0.005)	bought(0.005)	laptop(0.004)	find(0.004)	wife(0.004)	absolut(0.004)	lot(0.004)	friend(0.004)	fast(0.004)	amaz(0.003)	excel(0.003)	read(0.003)	high(0.003)	phone(0.003)	time(0.003)	husband(0.003)	beauti(0.003)	nice(0.003)	big(0.002)	glad(0.002)	better(0.002)	purchas(0.002)	clear(0.002)	figur(0.002)	screen(0.002)	buy(0.002)	email(0.002)	set(0.002)	comput(0.002)	complaint(0.002)	function(0.002)	featur(0.002)	fun(0.002)	cool(0.002)	case(0.002)	light(0.002)	pictur(0.002)	star(0.002)	graphic(0.002)	worth(0.002)	
Topic 22(0.033):	great(0.209)	price(0.046)	fast(0.027)	easi(0.008)	good(0.007)	deal(0.006)	lot(0.005)	nice(0.005)	big(0.004)	size(0.004)	perfect(0.004)	best(0.004)	excel(0.004)	work(0.003)	better(0.003)	screen(0.003)	speed(0.003)	con(0.003)	thing(0.003)	resolut(0.003)	buy(0.003)	find(0.002)	happi(0.002)	enjoy(0.002)	qualiti(0.002)	spec(0.002)	amaz(0.002)	bit(0.002)	phone(0.002)	respons(0.002)	expect(0.002)	recommend(0.002)	wife(0.002)	purchas(0.002)	system(0.002)	clear(0.002)	view(0.002)	newegg(0.002)	includ(0.002)	day(0.002)	reason(0.002)	color(0.002)	issu(0.002)	long(0.002)	bad(0.002)	laptop(0.002)	decent(0.001)	hope(0.001)	light(0.001)	bought(0.001)	
Topic 23(0.032):	nice(0.045)	light(0.037)	fast(0.032)	display(0.029)	size(0.022)	processor(0.021)	weight(0.017)	core(0.015)	screen(0.012)	case(0.009)	feel(0.008)	quad(0.008)	great(0.008)	easi(0.006)	con(0.006)	thin(0.006)	bit(0.005)	ram(0.005)	perfect(0.005)	better(0.005)	respons(0.005)	hold(0.005)	smooth(0.004)	beauti(0.004)	qualiti(0.004)	big(0.004)	super(0.004)	bright(0.004)	find(0.004)	build(0.004)	best(0.004)	speed(0.003)	color(0.003)	resolut(0.003)	lot(0.003)	dual(0.003)	sound(0.002)	android(0.002)	price(0.002)	thought(0.002)	amaz(0.002)	good(0.002)	cpu(0.002)	hand(0.002)	decent(0.002)	faster(0.002)	capabl(0.002)	heavi(0.002)	design(0.002)	solid(0.002)	
Topic 24(0.034):	video(0.057)	flash(0.029)	android(0.025)	download(0.020)	browser(0.018)	file(0.018)	support(0.017)	music(0.016)	archo(0.016)	watch(0.015)	player(0.013)	play(0.012)	app(0.010)	thing(0.010)	instal(0.010)	media(0.009)	web(0.009)	youtub(0.009)	site(0.009)	work(0.008)	photo(0.008)	view(0.007)	better(0.007)	market(0.007)	read(0.006)	adob(0.006)	format(0.006)	version(0.006)	stream(0.006)	websit(0.006)	limit(0.006)	movi(0.005)	internet(0.005)	load(0.005)	good(0.005)	access(0.005)	reader(0.005)	free(0.004)	includ(0.004)	system(0.004)	surf(0.004)	lack(0.004)	pc(0.004)	lot(0.004)	comput(0.004)	email(0.004)	transfer(0.003)	open(0.003)	time(0.003)	screen(0.003)	
Topic 25(0.033):	problem(0.103)	time(0.059)	crash(0.021)	start(0.019)	day(0.019)	work(0.018)	reboot(0.014)	week(0.012)	freez(0.012)	reset(0.011)	review(0.011)	hope(0.009)	month(0.008)	year(0.008)	coupl(0.006)	constant(0.006)	minut(0.005)	return(0.005)	boot(0.005)	ago(0.004)	final(0.004)	disappoint(0.004)	purchas(0.004)	random(0.004)	hardwar(0.004)	forum(0.003)	factori(0.003)	buy(0.003)	touchscreen(0.003)	restart(0.003)	wait(0.003)	experi(0.003)	set(0.003)	issu(0.003)	support(0.003)	turn(0.002)	good(0.002)	help(0.002)	complet(0.002)	wo(0.002)	second(0.002)	search(0.002)	recommend(0.002)	shut(0.002)	great(0.002)	unit(0.002)	browser(0.002)	decid(0.002)	upgrad(0.002)	thing(0.002)	
Topic 26(0.032):	asus(0.056)	screen(0.029)	tf300(0.025)	keyboard(0.018)	feel(0.018)	better(0.016)	plastic(0.014)	transform(0.012)	pad(0.012)	issu(0.011)	android(0.011)	dock(0.010)	bright(0.009)	thing(0.009)	pretti(0.009)	perform(0.007)	glass(0.007)	notic(0.007)	case(0.007)	prime(0.007)	qualiti(0.007)	review(0.006)	tegra(0.005)	color(0.005)	light(0.004)	open(0.004)	close(0.004)	best(0.004)	prefer(0.003)	compar(0.003)	build(0.003)	high(0.003)	bit(0.003)	impress(0.003)	point(0.003)	good(0.003)	nice(0.003)	display(0.003)	laptop(0.003)	design(0.003)	lot(0.003)	mode(0.003)	ic(0.003)	type(0.003)	big(0.003)	price(0.003)	day(0.003)	peopl(0.003)	black(0.003)	processor(0.002)	
Topic 27(0.031):	camera(0.079)	pictur(0.028)	front(0.023)	face(0.013)	qualiti(0.009)	thing(0.009)	nice(0.008)	screen(0.008)	time(0.008)	hold(0.008)	price(0.008)	good(0.007)	rear(0.007)	lot(0.007)	clear(0.006)	model(0.006)	side(0.005)	featur(0.005)	display(0.005)	buy(0.005)	skype(0.005)	resolut(0.005)	better(0.004)	basic(0.004)	worth(0.004)	phone(0.004)	control(0.004)	fast(0.004)	great(0.003)	app(0.003)	work(0.003)	day(0.003)	speaker(0.003)	find(0.003)	color(0.003)	reason(0.003)	compar(0.003)	easi(0.003)	decent(0.003)	size(0.003)	person(0.003)	expect(0.003)	big(0.003)	best(0.003)	feel(0.002)	hand(0.002)	function(0.002)	wifi(0.002)	speed(0.002)	low(0.002)	
Topic 28(0.034):	batteri(0.172)	life(0.095)	hour(0.054)	charg(0.023)	long(0.022)	drain(0.008)	time(0.007)	good(0.006)	better(0.005)	low(0.004)	pretti(0.004)	great(0.003)	fulli(0.003)	expect(0.003)	day(0.003)	decent(0.003)	full(0.003)	short(0.003)	price(0.003)	reason(0.003)	fast(0.002)	minut(0.002)	hold(0.002)	excel(0.002)	screen(0.002)	find(0.002)	power(0.002)	resolut(0.002)	softwar(0.002)	work(0.002)	standbi(0.002)	perform(0.002)	nice(0.002)	wifi(0.002)	perfect(0.002)	leav(0.002)	case(0.002)	mode(0.002)	thing(0.002)	bit(0.002)	solid(0.002)	easi(0.002)	lot(0.002)	size(0.002)	easili(0.002)	high(0.001)	sleep(0.001)	month(0.001)	qualiti(0.001)	dead(0.001)	
Topic 29(0.034):	keyboard(0.063)	window(0.057)	dock(0.019)	comput(0.019)	bluetooth(0.018)	laptop(0.016)	full(0.015)	softwar(0.011)	dell(0.011)	microsoft(0.011)	offic(0.011)	instal(0.011)	pro(0.010)	drive(0.010)	surfac(0.009)	desktop(0.009)	acer(0.009)	machin(0.009)	program(0.008)	os(0.007)	mous(0.007)	includ(0.006)	driver(0.006)	station(0.006)	bit(0.006)	small(0.005)	pc(0.005)	hardwar(0.005)	work(0.004)	system(0.004)	rt(0.004)	thing(0.004)	replac(0.004)	type(0.004)	requir(0.004)	usb(0.004)	lenovo(0.004)	venu(0.004)	accessori(0.004)	touch(0.003)	touchscreen(0.003)	processor(0.003)	version(0.003)	ms(0.003)	better(0.003)	perform(0.003)	power(0.003)	graphic(0.003)	excel(0.003)	intel(0.003)	
