tv_1_1,tv_1_2
116,9,12,3,
6,6,4,12,
22,3,2,1,
Normal Kappa,0.14035087719298225
Intra Kappa,0.2553191489361703
Inter Kappa,0.1860465116279071
tv_1_2,tv_1_3
121,7,11,1,
2,8,6,12,
19,5,3,1,
Normal Kappa,0.03374233128834395
Intra Kappa,-0.1395348837209304
Inter Kappa,0.034482758620689696
tv_1_3,tv_1_1
119,13,6,2,
5,3,7,13,
21,1,4,2,
Normal Kappa,0.107382550335571
Intra Kappa,0.23913043478260873
Inter Kappa,0.3518518518518517
