tv_1_1,tv_1_2
15,5,2,118,
22,0,2,4,
27,0,0,1,
Normal Kappa,0.7822222222222222
Intra Kappa,0.7586206896551725
Inter Kappa,1.0
tv_1_2,tv_1_3
15,2,3,120,
21,3,1,3,
27,0,1,0,
Normal Kappa,0.8367537313432836
Intra Kappa,0.5172413793103446
Inter Kappa,0.0
tv_1_3,tv_1_1
15,3,5,117,
21,1,1,5,
27,1,0,0,
Normal Kappa,0.7565217391304347
Intra Kappa,0.787878787878788
Inter Kappa,0.0

