Tablet_1_1,Tablet_1_2
226,19,32,3,
18,12,17,9,
21,7,21,7,
Normal Kappa,0.009708737864078233
Intra Kappa,-0.05454545454545446
Inter Kappa,0.0
Tablet_1_2,Tablet_1_3
235,23,19,3,
19,16,9,12,
30,12,11,3,
Normal Kappa,0.043591411841249345
Intra Kappa,0.1071428571428572
Inter Kappa,-0.06976744186046485
Tablet_1_3,Tablet_1_1
229,25,16,10,
18,10,12,16,
22,19,6,9,
Normal Kappa,0.24770642201834878
Intra Kappa,0.2142857142857142
Inter Kappa,0.1071428571428572
Tablet_2_1,Tablet_2_2
189,52,28,11,
13,20,5,18,
24,6,21,5,
Normal Kappa,0.052693901716992335
Intra Kappa,0.1606714628297362
Inter Kappa,-0.007999999999999806
Tablet_2_2,Tablet_2_3
195,22,50,13,
11,7,15,23,
37,8,8,3,
Normal Kappa,0.12462006079027384
Intra Kappa,0.19371727748691092
Inter Kappa,0.09494949494949483
Tablet_2_3,Tablet_2_1
215,30,26,9,
20,6,13,17,
26,19,4,7,
Normal Kappa,0.12840466926070043
Intra Kappa,0.3299748110831234
Inter Kappa,0.14133333333333345
