tablet_1_1,tablet_1_2
137,12,5,126,
46,3,5,2,
45,1,7,3,
Normal Kappa,0.878459810029619
Intra Kappa,0.25581395348837177
Inter Kappa,0.3636363636363635
tablet_1_2,tablet_1_3
136,6,5,133,
47,4,1,4,
47,5,3,1,
Normal Kappa,0.9214205531176651
Intra Kappa,0.5679012345679013
Inter Kappa,0.12499999999999889
tablet_1_3,tablet_1_1
139,2,10,129,
47,1,2,6,
44,6,2,4,
Normal Kappa,0.914246337604002
Intra Kappa,0.769230769230769
Inter Kappa,0.4226804123711339
tablet_2_1,tablet_2_2
215,2,10,53,
46,4,2,4,
49,3,2,2,
Normal Kappa,0.8713136729222521
Intra Kappa,0.5116279069767445
Inter Kappa,0.39655172413793094
tablet_2_2,tablet_2_3
215,10,4,51,
46,2,5,3,
50,1,3,2,
Normal Kappa,0.8478851377570817
Intra Kappa,0.395061728395062
Inter Kappa,0.4641148325358854
tablet_2_3,tablet_2_1
212,7,5,56,
49,2,1,4,
51,2,1,2,
Normal Kappa,0.8757120662868981
Intra Kappa,0.6978417266187047
Inter Kappa,0.5434782608695649
