Topic 11(0.016):	usb(0.051)	keyboard(0.038)	port(0.030)	work(0.023)	hdmi(0.019)	drive(0.016)	bluetooth(0.016)	adapt(0.014)	charg(0.013)	charger(0.013)	batteri(0.012)	micro(0.012)	cabl(0.011)	connect(0.010)	mous(0.009)	extern(0.009)	dock(0.009)	sd(0.009)	great(0.009)	screen(0.009)	good(0.009)	case(0.009)	full(0.008)	nice(0.008)	devic(0.008)	size(0.007)	power(0.007)	mini(0.007)	includ(0.007)	hook(0.006)	plug(0.006)	life(0.006)	card(0.006)	wifi(0.006)	flash(0.006)	app(0.005)	output(0.005)	laptop(0.005)	big(0.005)	problem(0.005)	slot(0.005)	allow(0.005)	connector(0.005)	transfer(0.005)	standard(0.004)	support(0.004)	fast(0.004)	thing(0.004)	price(0.004)	game(0.004)	
Topic 12(0.026):	android(0.036)	good(0.029)	great(0.028)	love(0.019)	system(0.019)	easi(0.018)	work(0.017)	oper(0.016)	user(0.015)	ipad(0.014)	fast(0.014)	thing(0.013)	nice(0.013)	screen(0.011)	best(0.009)	appl(0.009)	pretti(0.009)	app(0.009)	gps(0.008)	devic(0.008)	hardwar(0.008)	phone(0.008)	smooth(0.008)	remot(0.008)	bad(0.008)	lot(0.008)	size(0.008)	friend(0.007)	featur(0.007)	perfect(0.006)	design(0.006)	interfac(0.006)	galaxi(0.006)	tab(0.006)	thought(0.006)	cool(0.006)	awesom(0.006)	os(0.005)	navig(0.005)	beauti(0.005)	amaz(0.005)	spen(0.005)	accur(0.005)	feel(0.005)	function(0.005)	control(0.005)	learn(0.005)	lock(0.005)	inexpens(0.004)	set(0.004)	
Topic 13(0.041):	product(0.034)	amazon(0.029)	appl(0.017)	ship(0.016)	purchas(0.016)	custom(0.016)	return(0.016)	servic(0.015)	great(0.014)	receiv(0.014)	order(0.013)	day(0.013)	ipad(0.012)	help(0.011)	work(0.011)	time(0.011)	compani(0.010)	seller(0.009)	call(0.009)	warranti(0.009)	review(0.008)	good(0.008)	problem(0.008)	item(0.008)	replac(0.008)	box(0.007)	buy(0.007)	thing(0.007)	refund(0.006)	issu(0.006)	happi(0.006)	arriv(0.006)	bought(0.006)	devic(0.006)	week(0.006)	support(0.006)	tech(0.005)	samsung(0.005)	love(0.005)	asus(0.005)	disappoint(0.005)	mayday(0.005)	hope(0.005)	person(0.005)	care(0.005)	refurbish(0.005)	fast(0.005)	free(0.005)	send(0.005)	question(0.005)	
Topic 14(0.028):	window(0.042)	work(0.033)	ipad(0.024)	good(0.020)	android(0.020)	great(0.017)	nice(0.013)	devic(0.013)	best(0.012)	full(0.011)	samsung(0.010)	app(0.010)	love(0.010)	screen(0.010)	surfac(0.009)	pro(0.009)	offic(0.009)	thing(0.009)	fine(0.009)	softwar(0.008)	microsoft(0.008)	os(0.008)	time(0.007)	product(0.007)	program(0.007)	function(0.007)	keyboard(0.007)	laptop(0.006)	rt(0.006)	appl(0.006)	comput(0.006)	perfect(0.006)	asus(0.006)	size(0.006)	phone(0.006)	better(0.006)	lot(0.005)	pc(0.005)	excel(0.005)	updat(0.005)	upgrad(0.005)	instal(0.005)	featur(0.005)	includ(0.005)	enjoy(0.005)	find(0.005)	fast(0.005)	generat(0.005)	beauti(0.005)	market(0.005)	
Topic 15(0.019):	screen(0.095)	bright(0.020)	display(0.018)	resolut(0.017)	view(0.015)	angl(0.014)	read(0.013)	color(0.013)	pixel(0.012)	notic(0.012)	light(0.011)	clear(0.011)	great(0.009)	good(0.008)	side(0.008)	sharp(0.008)	white(0.007)	app(0.007)	black(0.007)	dark(0.007)	text(0.007)	scratch(0.007)	set(0.007)	video(0.007)	turn(0.006)	big(0.006)	find(0.006)	case(0.006)	edg(0.006)	hd(0.006)	problem(0.006)	fine(0.005)	sensit(0.005)	movi(0.005)	ipad(0.005)	adjust(0.005)	mode(0.005)	con(0.005)	bit(0.005)	background(0.005)	appear(0.005)	slow(0.004)	dead(0.004)	landscap(0.004)	watch(0.004)	glass(0.004)	rotat(0.004)	work(0.004)	lot(0.004)	imag(0.004)	
Topic 16(0.038):	app(0.057)	play(0.024)	googl(0.023)	android(0.022)	download(0.021)	flash(0.020)	video(0.018)	store(0.017)	work(0.016)	instal(0.015)	devic(0.014)	game(0.013)	amazon(0.011)	support(0.010)	player(0.009)	updat(0.009)	time(0.008)	watch(0.007)	adob(0.007)	market(0.006)	site(0.006)	applic(0.006)	movi(0.006)	browser(0.006)	thing(0.006)	version(0.006)	music(0.006)	access(0.006)	problem(0.006)	web(0.005)	kindl(0.005)	softwar(0.005)	issu(0.005)	file(0.005)	find(0.005)	youtub(0.005)	limit(0.005)	crash(0.005)	websit(0.004)	load(0.004)	wo(0.004)	archo(0.004)	set(0.004)	stream(0.004)	free(0.004)	account(0.004)	allow(0.004)	view(0.004)	slow(0.004)	netflix(0.004)	
Topic 17(0.087):	buy(0.034)	money(0.031)	bought(0.029)	product(0.020)	work(0.020)	purchas(0.019)	price(0.017)	review(0.017)	christma(0.016)	good(0.014)	disappoint(0.014)	wast(0.014)	year(0.013)	return(0.013)	pay(0.013)	time(0.013)	item(0.012)	son(0.010)	expect(0.010)	month(0.010)	cheap(0.010)	worth(0.009)	gift(0.009)	bad(0.008)	better(0.008)	kid(0.008)	thing(0.008)	spend(0.008)	daughter(0.008)	recommend(0.008)	zeepad(0.007)	ipad(0.007)	junk(0.007)	slow(0.007)	kindl(0.007)	read(0.006)	problem(0.006)	piec(0.006)	order(0.006)	day(0.006)	save(0.006)	guess(0.005)	great(0.005)	amazon(0.005)	qualiti(0.005)	brand(0.005)	week(0.005)	extra(0.005)	paid(0.004)	refund(0.004)	
Topic 18(0.061):	charg(0.067)	batteri(0.043)	turn(0.030)	work(0.029)	power(0.024)	charger(0.023)	hour(0.023)	time(0.023)	day(0.019)	button(0.018)	plug(0.016)	life(0.015)	week(0.012)	month(0.011)	screen(0.011)	minut(0.009)	start(0.008)	hold(0.008)	unit(0.008)	die(0.007)	wo(0.007)	second(0.007)	cord(0.007)	short(0.007)	devic(0.006)	problem(0.006)	long(0.006)	cabl(0.005)	shut(0.005)	dead(0.005)	complet(0.005)	fulli(0.005)	coupl(0.005)	broke(0.005)	thing(0.005)	good(0.005)	fine(0.005)	full(0.005)	usb(0.005)	issu(0.004)	hot(0.004)	freez(0.004)	wifi(0.004)	play(0.004)	longer(0.004)	drain(0.004)	great(0.004)	reset(0.004)	bought(0.004)	connect(0.004)	
Topic 19(0.019):	speaker(0.053)	sound(0.044)	volum(0.026)	qualiti(0.024)	headphon(0.021)	hear(0.018)	loud(0.012)	button(0.012)	stereo(0.011)	side(0.011)	video(0.011)	top(0.010)	jack(0.010)	low(0.010)	audio(0.010)	build(0.009)	screen(0.009)	nois(0.009)	work(0.008)	cheap(0.008)	watch(0.008)	control(0.008)	listen(0.007)	good(0.007)	great(0.007)	slow(0.007)	issu(0.007)	con(0.007)	disappoint(0.006)	plastic(0.006)	earphon(0.006)	power(0.006)	left(0.006)	weak(0.006)	case(0.006)	bluetooth(0.006)	pretti(0.006)	thing(0.006)	pad(0.006)	louder(0.006)	bit(0.005)	fine(0.005)	terribl(0.005)	find(0.005)	extrem(0.005)	turn(0.005)	expect(0.005)	design(0.005)	surround(0.005)	bottom(0.004)	
Topic 20(0.021):	camera(0.102)	front(0.030)	work(0.028)	pictur(0.024)	face(0.023)	star(0.020)	qualiti(0.017)	screen(0.016)	bad(0.015)	good(0.014)	rear(0.014)	video(0.014)	better(0.012)	reason(0.012)	skype(0.012)	imag(0.012)	rate(0.011)	pic(0.010)	horribl(0.010)	photo(0.008)	time(0.008)	pretti(0.007)	expect(0.007)	slow(0.007)	lack(0.007)	disappoint(0.007)	happi(0.007)	thing(0.007)	app(0.006)	great(0.006)	low(0.005)	flash(0.005)	samsung(0.005)	hd(0.005)	annoy(0.005)	focus(0.005)	issu(0.005)	model(0.005)	devic(0.005)	crash(0.005)	useless(0.004)	terribl(0.004)	con(0.004)	light(0.004)	resolut(0.004)	phone(0.004)	fine(0.004)	kindl(0.004)	function(0.004)	galaxi(0.004)	
Topic 21(0.019):	slow(0.050)	processor(0.021)	ram(0.020)	speed(0.020)	respons(0.017)	perform(0.016)	app(0.015)	batteri(0.015)	better(0.014)	time(0.013)	screen(0.013)	core(0.013)	expect(0.011)	process(0.011)	life(0.011)	bit(0.011)	load(0.011)	freez(0.010)	game(0.009)	cpu(0.009)	fast(0.009)	price(0.008)	devic(0.007)	quadcor(0.007)	dual(0.007)	disappoint(0.007)	memori(0.006)	pretti(0.006)	touch(0.006)	intel(0.006)	thing(0.006)	2gb(0.006)	crash(0.006)	power(0.006)	great(0.006)	issu(0.005)	nexus(0.005)	size(0.005)	lag(0.005)	ghz(0.005)	quad(0.005)	bad(0.005)	ipad(0.005)	complaint(0.005)	slower(0.005)	hour(0.005)	internet(0.005)	download(0.005)	atom(0.005)	gpu(0.005)	
Topic 22(0.015):	card(0.071)	sd(0.047)	memori(0.036)	app(0.033)	storag(0.022)	slot(0.020)	gb(0.018)	intern(0.014)	micro(0.014)	space(0.013)	ipad(0.011)	model(0.010)	data(0.010)	16gb(0.010)	sim(0.009)	extern(0.008)	instal(0.008)	store(0.008)	32gb(0.008)	microsd(0.008)	move(0.008)	file(0.008)	remov(0.007)	work(0.007)	att(0.007)	music(0.006)	purchas(0.006)	save(0.005)	lack(0.005)	devic(0.005)	8gb(0.005)	time(0.005)	buy(0.005)	64gb(0.005)	expand(0.005)	recogn(0.005)	download(0.005)	android(0.005)	insert(0.005)	expans(0.005)	problem(0.005)	error(0.005)	bought(0.005)	drive(0.004)	samsung(0.004)	annoy(0.004)	disappoint(0.004)	great(0.004)	limit(0.004)	game(0.004)	
Topic 23(0.028):	wifi(0.049)	connect(0.046)	problem(0.027)	work(0.024)	devic(0.019)	time(0.016)	network(0.015)	internet(0.015)	wireless(0.013)	issu(0.013)	slow(0.010)	router(0.010)	signal(0.010)	drop(0.008)	app(0.008)	browser(0.007)	web(0.007)	reset(0.007)	phone(0.007)	unit(0.006)	ipad(0.006)	set(0.006)	bluetooth(0.006)	updat(0.006)	turn(0.005)	googl(0.005)	freez(0.005)	comput(0.005)	minut(0.005)	brows(0.005)	crash(0.005)	access(0.005)	day(0.004)	gps(0.004)	android(0.004)	strength(0.004)	screen(0.004)	constant(0.004)	data(0.004)	find(0.004)	fine(0.004)	email(0.004)	lot(0.004)	appl(0.004)	good(0.004)	stay(0.003)	download(0.003)	disconnect(0.003)	support(0.003)	annoy(0.003)	
Topic 24(0.025):	screen(0.056)	touch(0.045)	keyboard(0.037)	time(0.015)	case(0.014)	dock(0.014)	type(0.014)	cover(0.014)	work(0.013)	find(0.008)	unrespons(0.007)	problem(0.007)	crack(0.007)	pen(0.007)	sensit(0.006)	bought(0.006)	hold(0.006)	thing(0.006)	respons(0.006)	difficult(0.006)	feel(0.006)	plastic(0.006)	virtual(0.005)	bit(0.005)	buy(0.005)	scratch(0.005)	tap(0.005)	regist(0.005)	press(0.005)	button(0.005)	station(0.005)	drop(0.005)	better(0.005)	hand(0.005)	protect(0.005)	accessori(0.005)	letter(0.005)	write(0.004)	stylus(0.004)	turn(0.004)	area(0.004)	frustrat(0.004)	surfac(0.004)	devic(0.004)	second(0.004)	random(0.004)	read(0.004)	respond(0.004)	notic(0.004)	day(0.004)	
Topic 25(0.059):	ipad(0.024)	screen(0.014)	android(0.013)	devic(0.012)	samsung(0.011)	app(0.011)	appl(0.009)	work(0.008)	time(0.008)	product(0.007)	thing(0.007)	better(0.007)	review(0.007)	galaxi(0.007)	issu(0.006)	good(0.006)	updat(0.006)	buy(0.006)	great(0.006)	asus(0.006)	featur(0.005)	price(0.005)	nexus(0.005)	problem(0.005)	function(0.004)	keyboard(0.004)	batteri(0.004)	case(0.004)	user(0.004)	find(0.004)	os(0.004)	display(0.004)	softwar(0.004)	best(0.004)	read(0.004)	peopl(0.004)	version(0.004)	hope(0.004)	feel(0.004)	purchas(0.004)	lot(0.003)	year(0.003)	tab(0.003)	experi(0.003)	phone(0.003)	video(0.003)	game(0.003)	nice(0.003)	compar(0.003)	transform(0.003)	
Topic 26(0.018):	usb(0.065)	port(0.047)	charg(0.037)	cabl(0.020)	connect(0.018)	power(0.017)	micro(0.017)	devic(0.017)	adapt(0.016)	hdmi(0.014)	drive(0.013)	keyboard(0.013)	charger(0.013)	plug(0.012)	connector(0.011)	dock(0.008)	work(0.008)	proprietari(0.008)	support(0.008)	standard(0.007)	microusb(0.007)	comput(0.007)	lack(0.007)	transfer(0.007)	case(0.006)	time(0.006)	sd(0.006)	cover(0.005)	includ(0.005)	annoy(0.005)	acer(0.005)	ac(0.005)	bit(0.005)	buy(0.005)	screen(0.005)	bluetooth(0.005)	issu(0.005)	pc(0.004)	card(0.004)	fail(0.004)	extern(0.004)	better(0.004)	flash(0.004)	unit(0.004)	con(0.004)	phone(0.004)	disappoint(0.004)	small(0.004)	find(0.004)	flimsi(0.004)	
Topic 27(0.026):	work(0.032)	updat(0.027)	freez(0.023)	system(0.022)	time(0.021)	reset(0.020)	screen(0.020)	lock(0.019)	start(0.015)	slow(0.015)	app(0.015)	reboot(0.015)	issu(0.014)	android(0.012)	oper(0.011)	problem(0.011)	thing(0.011)	factori(0.010)	firmwar(0.010)	instal(0.010)	boot(0.010)	restart(0.009)	crash(0.008)	load(0.008)	day(0.008)	fine(0.008)	set(0.008)	devic(0.008)	month(0.008)	shut(0.008)	turn(0.008)	random(0.007)	con(0.007)	unit(0.007)	week(0.006)	softwar(0.006)	gps(0.006)	map(0.006)	stuck(0.006)	minut(0.005)	lot(0.005)	applic(0.005)	annoy(0.005)	upgrad(0.005)	complet(0.005)	asus(0.005)	constant(0.005)	googl(0.005)	os(0.005)	bought(0.005)	
Topic 28(0.050):	support(0.022)	return(0.021)	custom(0.020)	call(0.019)	servic(0.018)	product(0.017)	asus(0.015)	replac(0.014)	problem(0.014)	warranti(0.013)	contact(0.013)	send(0.013)	ship(0.013)	repair(0.012)	receiv(0.012)	help(0.011)	issu(0.011)	time(0.010)	day(0.010)	work(0.010)	email(0.009)	told(0.009)	seller(0.009)	amazon(0.009)	compani(0.008)	tech(0.008)	month(0.008)	week(0.008)	number(0.008)	unit(0.008)	purchas(0.007)	item(0.006)	order(0.006)	screen(0.006)	wait(0.006)	refund(0.005)	devic(0.005)	defect(0.005)	phone(0.005)	cost(0.005)	pay(0.005)	manufactur(0.005)	buy(0.005)	find(0.005)	rma(0.005)	box(0.005)	samsung(0.005)	bought(0.005)	hope(0.004)	respons(0.004)	
Topic 29(0.019):	screen(0.071)	window(0.032)	work(0.022)	touch(0.020)	crack(0.016)	time(0.015)	finger(0.014)	respond(0.012)	scroll(0.011)	click(0.011)	button(0.010)	freez(0.010)	move(0.009)	app(0.009)	touchscreen(0.008)	restart(0.008)	week(0.008)	problem(0.008)	small(0.007)	open(0.007)	slow(0.007)	updat(0.006)	corner(0.006)	program(0.006)	crash(0.006)	press(0.006)	random(0.006)	magnet(0.006)	shut(0.005)	thing(0.005)	annoy(0.005)	complet(0.005)	close(0.005)	zoom(0.005)	occasion(0.005)	dead(0.005)	mode(0.005)	difficult(0.005)	bottom(0.004)	point(0.004)	bit(0.004)	respons(0.004)	disappoint(0.004)	reset(0.004)	buy(0.004)	left(0.004)	issu(0.004)	arriv(0.004)	turn(0.004)	complaint(0.004)	
