Topic 11(0.014):	usb(0.051)	port(0.036)	charg(0.033)	adapt(0.021)	charger(0.020)	cabl(0.019)	micro(0.016)	connect(0.016)	keyboard(0.014)	devic(0.013)	hdmi(0.013)	work(0.010)	transfer(0.010)	drive(0.010)	plug(0.009)	sd(0.009)	ipad(0.009)	card(0.009)	connector(0.008)	slot(0.008)	tv(0.007)	flash(0.007)	extern(0.007)	bluetooth(0.007)	support(0.007)	screen(0.007)	ac(0.006)	microusb(0.006)	includ(0.006)	file(0.006)	wall(0.006)	standard(0.006)	batteri(0.005)	great(0.005)	comput(0.005)	camera(0.005)	mini(0.005)	hook(0.005)	thing(0.005)	price(0.005)	issu(0.005)	storag(0.005)	pc(0.005)	pin(0.004)	stick(0.004)	find(0.004)	lack(0.004)	weight(0.004)	unit(0.004)	case(0.004)	
Topic 12(0.030):	ipad(0.038)	appl(0.037)	android(0.034)	system(0.019)	product(0.019)	oper(0.015)	devic(0.014)	user(0.013)	star(0.012)	io(0.010)	buy(0.010)	archo(0.009)	better(0.009)	thing(0.008)	updat(0.008)	market(0.007)	time(0.007)	app(0.006)	great(0.006)	version(0.006)	gps(0.006)	junk(0.006)	fan(0.006)	lock(0.006)	map(0.006)	problem(0.005)	piec(0.005)	year(0.005)	compar(0.005)	friend(0.005)	lack(0.005)	support(0.005)	purchas(0.005)	screen(0.005)	googl(0.005)	expect(0.005)	rate(0.005)	generat(0.005)	os(0.005)	month(0.005)	disappoint(0.004)	easi(0.004)	hardwar(0.004)	good(0.004)	amazon(0.004)	air(0.004)	learn(0.004)	function(0.004)	store(0.004)	lot(0.004)	
Topic 13(0.054):	return(0.039)	product(0.036)	amazon(0.021)	receiv(0.018)	seller(0.018)	ship(0.017)	work(0.017)	order(0.016)	item(0.016)	purchas(0.016)	send(0.014)	day(0.014)	box(0.013)	week(0.012)	refund(0.012)	bought(0.011)	buy(0.011)	open(0.011)	problem(0.010)	defect(0.010)	custom(0.010)	contact(0.010)	servic(0.009)	time(0.009)	arriv(0.009)	replac(0.008)	compani(0.008)	wait(0.008)	good(0.008)	warranti(0.008)	christma(0.008)	disappoint(0.007)	zeepad(0.007)	support(0.007)	broken(0.006)	broke(0.006)	charger(0.006)	packag(0.006)	call(0.006)	money(0.006)	devic(0.006)	screen(0.005)	asus(0.005)	issu(0.005)	ipad(0.005)	bad(0.005)	manufactur(0.005)	told(0.005)	recommend(0.005)	charg(0.005)	
Topic 14(0.027):	screen(0.036)	ipad(0.032)	app(0.016)	window(0.014)	size(0.012)	button(0.011)	read(0.010)	devic(0.010)	laptop(0.009)	great(0.009)	touch(0.008)	hold(0.008)	time(0.007)	love(0.006)	small(0.006)	kindl(0.006)	big(0.006)	feel(0.006)	weight(0.006)	move(0.005)	hand(0.005)	finger(0.005)	scroll(0.005)	work(0.005)	book(0.005)	power(0.005)	problem(0.005)	set(0.005)	ipod(0.005)	featur(0.005)	thing(0.004)	find(0.004)	light(0.004)	easi(0.004)	product(0.004)	enjoy(0.004)	bit(0.004)	side(0.004)	click(0.004)	view(0.004)	iphon(0.004)	bottom(0.004)	turn(0.004)	bought(0.004)	conveni(0.004)	phone(0.004)	comput(0.004)	best(0.003)	android(0.003)	microsoft(0.003)	
Topic 15(0.023):	screen(0.047)	read(0.026)	display(0.024)	kindl(0.024)	color(0.023)	resolut(0.017)	hdx(0.016)	bright(0.015)	fire(0.014)	notic(0.013)	great(0.013)	hd(0.012)	book(0.011)	blue(0.011)	movi(0.010)	easi(0.010)	ipad(0.010)	white(0.009)	sharp(0.009)	light(0.009)	clear(0.009)	view(0.009)	video(0.009)	devic(0.008)	watch(0.007)	love(0.007)	edg(0.007)	beauti(0.006)	high(0.006)	nexus(0.006)	set(0.006)	compar(0.006)	good(0.006)	issu(0.005)	peopl(0.005)	better(0.005)	amaz(0.005)	app(0.005)	review(0.005)	awesom(0.005)	qualiti(0.005)	thing(0.005)	perfect(0.005)	crisp(0.005)	excel(0.005)	featur(0.005)	angl(0.005)	fine(0.005)	background(0.004)	problem(0.004)	
Topic 16(0.040):	app(0.076)	play(0.031)	download(0.024)	work(0.023)	game(0.020)	video(0.019)	googl(0.019)	store(0.019)	android(0.014)	amazon(0.014)	time(0.012)	devic(0.011)	instal(0.010)	watch(0.010)	thing(0.008)	youtub(0.008)	netflix(0.008)	movi(0.008)	great(0.008)	music(0.008)	free(0.008)	kindl(0.007)	load(0.007)	updat(0.007)	book(0.006)	market(0.005)	purchas(0.005)	read(0.005)	browser(0.005)	internet(0.005)	stream(0.005)	problem(0.005)	screen(0.005)	good(0.005)	love(0.005)	applic(0.005)	crash(0.005)	player(0.005)	fine(0.005)	open(0.004)	flash(0.004)	lot(0.004)	support(0.004)	web(0.004)	simpl(0.004)	limit(0.004)	access(0.004)	compat(0.004)	site(0.004)	wo(0.004)	
Topic 17(0.083):	money(0.041)	buy(0.040)	bought(0.027)	purchas(0.022)	good(0.020)	review(0.020)	wast(0.018)	work(0.017)	christma(0.016)	product(0.015)	worth(0.015)	price(0.015)	pay(0.013)	son(0.013)	time(0.013)	better(0.012)	recommend(0.011)	kid(0.011)	year(0.011)	kindl(0.010)	spend(0.009)	month(0.009)	return(0.009)	save(0.009)	gift(0.009)	item(0.009)	cheap(0.008)	expect(0.007)	daughter(0.007)	read(0.007)	happi(0.007)	disappoint(0.007)	best(0.007)	extra(0.006)	zeepad(0.006)	thing(0.006)	junk(0.005)	fire(0.005)	week(0.005)	brand(0.005)	amazon(0.005)	love(0.005)	piec(0.005)	day(0.004)	thought(0.004)	bad(0.004)	buck(0.004)	order(0.004)	satisfi(0.004)	child(0.004)	
Topic 18(0.056):	batteri(0.053)	charg(0.043)	time(0.027)	work(0.027)	life(0.025)	hour(0.025)	turn(0.022)	day(0.018)	power(0.016)	charger(0.014)	screen(0.013)	button(0.013)	freez(0.010)	good(0.010)	plug(0.010)	long(0.009)	week(0.009)	month(0.009)	great(0.009)	hold(0.008)	problem(0.007)	minut(0.007)	fine(0.007)	wifi(0.006)	die(0.006)	app(0.006)	play(0.006)	mode(0.006)	broke(0.005)	short(0.005)	longer(0.005)	cord(0.005)	slow(0.005)	complet(0.005)	issu(0.005)	shut(0.005)	dead(0.005)	bright(0.005)	second(0.005)	bought(0.005)	full(0.005)	kid(0.004)	unit(0.004)	drain(0.004)	download(0.004)	half(0.004)	lot(0.004)	thing(0.004)	game(0.004)	pretti(0.004)	
Topic 19(0.045):	good(0.071)	price(0.037)	great(0.036)	qualiti(0.030)	nice(0.025)	sound(0.022)	work(0.020)	product(0.019)	screen(0.017)	speaker(0.017)	feel(0.016)	expect(0.012)	better(0.011)	cheap(0.010)	devic(0.009)	pretti(0.008)	plastic(0.008)	solid(0.008)	light(0.007)	headphon(0.007)	video(0.007)	build(0.007)	top(0.007)	size(0.006)	batteri(0.006)	life(0.006)	bad(0.006)	play(0.006)	display(0.005)	perfect(0.005)	loud(0.005)	time(0.005)	thing(0.005)	impress(0.005)	samsung(0.005)	fantast(0.005)	issu(0.005)	excel(0.005)	buy(0.005)	best(0.004)	volum(0.004)	resolut(0.004)	lot(0.004)	surpris(0.004)	listen(0.004)	bit(0.004)	metal(0.004)	fast(0.004)	weight(0.004)	pictur(0.004)	
Topic 20(0.021):	camera(0.075)	pictur(0.032)	screen(0.028)	good(0.022)	front(0.021)	qualiti(0.021)	video(0.017)	photo(0.017)	bad(0.017)	face(0.015)	ipad(0.015)	work(0.013)	decent(0.012)	pretti(0.011)	thing(0.011)	rear(0.011)	great(0.011)	imag(0.009)	light(0.009)	app(0.008)	disappoint(0.007)	side(0.006)	love(0.006)	horribl(0.006)	better(0.006)	nice(0.006)	pic(0.006)	skype(0.006)	flash(0.006)	time(0.006)	turn(0.005)	galaxi(0.005)	happi(0.005)	graini(0.005)	samsung(0.005)	phone(0.005)	indoor(0.005)	digit(0.004)	devic(0.004)	low(0.004)	best(0.004)	resolut(0.004)	speaker(0.004)	view(0.004)	display(0.004)	bright(0.004)	includ(0.004)	product(0.004)	batteri(0.004)	find(0.004)	
Topic 21(0.025):	slow(0.041)	fast(0.032)	processor(0.025)	time(0.023)	app(0.021)	perform(0.018)	android(0.017)	respons(0.017)	ram(0.016)	good(0.013)	devic(0.012)	work(0.012)	smooth(0.012)	screen(0.011)	speed(0.011)	expect(0.011)	core(0.010)	touch(0.010)	faster(0.010)	freez(0.008)	quad(0.008)	load(0.008)	better(0.008)	galaxi(0.007)	gb(0.006)	samsung(0.006)	ipad(0.006)	open(0.006)	nice(0.006)	thing(0.006)	applic(0.005)	respond(0.005)	super(0.005)	gpu(0.005)	cpu(0.005)	power(0.005)	awesom(0.005)	feel(0.005)	bit(0.005)	multitask(0.005)	quadcor(0.005)	price(0.005)	easi(0.005)	game(0.005)	process(0.005)	browser(0.005)	featur(0.004)	start(0.004)	oper(0.004)	pretti(0.004)	
Topic 22(0.015):	card(0.058)	sd(0.041)	memori(0.033)	gb(0.020)	storag(0.019)	slot(0.016)	file(0.016)	app(0.016)	micro(0.013)	space(0.012)	video(0.012)	32gb(0.011)	model(0.010)	ipad(0.009)	16gb(0.009)	purchas(0.009)	expand(0.009)	buy(0.008)	music(0.008)	devic(0.008)	data(0.008)	download(0.008)	transfer(0.007)	microsd(0.007)	movi(0.007)	intern(0.007)	bought(0.007)	hd(0.007)	sim(0.006)	version(0.006)	extern(0.006)	gig(0.006)	save(0.006)	problem(0.006)	samsung(0.005)	extra(0.005)	great(0.005)	option(0.005)	move(0.005)	instal(0.005)	64gb(0.005)	recommend(0.004)	price(0.004)	lot(0.004)	thing(0.004)	featur(0.004)	store(0.004)	pictur(0.004)	better(0.004)	media(0.004)	
Topic 23(0.027):	connect(0.037)	wifi(0.036)	work(0.024)	devic(0.022)	problem(0.019)	browser(0.017)	internet(0.016)	app(0.014)	network(0.013)	wireless(0.013)	ipad(0.012)	web(0.012)	email(0.011)	time(0.011)	issu(0.010)	comput(0.010)	router(0.009)	android(0.008)	flash(0.008)	access(0.007)	signal(0.007)	set(0.007)	drop(0.007)	support(0.006)	appl(0.006)	great(0.006)	phone(0.006)	slow(0.006)	download(0.006)	brows(0.005)	load(0.005)	mobil(0.005)	fine(0.005)	print(0.004)	good(0.004)	thing(0.004)	sync(0.004)	googl(0.004)	crash(0.004)	websit(0.004)	reset(0.004)	printer(0.004)	chrome(0.004)	surf(0.004)	read(0.004)	updat(0.004)	site(0.004)	setup(0.003)	disconnect(0.003)	itun(0.003)	
Topic 24(0.024):	screen(0.048)	touch(0.035)	keyboard(0.032)	work(0.022)	type(0.021)	ipad(0.017)	time(0.012)	star(0.011)	devic(0.010)	cover(0.010)	write(0.010)	stylus(0.009)	great(0.009)	app(0.009)	good(0.008)	respons(0.007)	start(0.007)	hand(0.007)	finger(0.007)	easier(0.007)	text(0.007)	dock(0.007)	accessori(0.007)	better(0.006)	nice(0.006)	crack(0.006)	case(0.006)	easili(0.006)	find(0.005)	input(0.005)	product(0.005)	resist(0.005)	point(0.005)	fine(0.005)	scratch(0.005)	laptop(0.005)	bit(0.005)	size(0.004)	hold(0.004)	virtual(0.004)	button(0.004)	issu(0.004)	rate(0.004)	easi(0.004)	lot(0.004)	unrespons(0.004)	bluetooth(0.004)	thumb(0.004)	onscreen(0.003)	cheap(0.003)	
Topic 25(0.041):	ipad(0.031)	app(0.018)	devic(0.014)	product(0.014)	work(0.013)	appl(0.013)	great(0.012)	samsung(0.012)	thing(0.009)	review(0.008)	android(0.008)	love(0.008)	time(0.008)	game(0.008)	featur(0.007)	galaxi(0.007)	good(0.006)	buy(0.006)	function(0.006)	screen(0.006)	read(0.005)	find(0.005)	user(0.005)	lot(0.005)	peopl(0.005)	purchas(0.005)	play(0.005)	box(0.005)	video(0.005)	amazon(0.005)	iphon(0.004)	student(0.004)	perfect(0.004)	phone(0.004)	document(0.004)	bought(0.004)	better(0.004)	set(0.004)	help(0.004)	watch(0.004)	experi(0.004)	person(0.004)	year(0.004)	laptop(0.003)	issu(0.003)	day(0.003)	nexus(0.003)	pen(0.003)	kindl(0.003)	best(0.003)	
Topic 26(0.013):	usb(0.046)	port(0.028)	keyboard(0.028)	work(0.019)	drive(0.017)	charg(0.016)	connect(0.016)	devic(0.016)	cabl(0.014)	power(0.013)	hdmi(0.013)	case(0.012)	bluetooth(0.011)	plug(0.009)	dock(0.009)	mous(0.009)	buy(0.008)	extern(0.008)	screen(0.008)	charger(0.008)	batteri(0.007)	adapt(0.007)	comput(0.007)	micro(0.007)	great(0.007)	connector(0.006)	bought(0.006)	fit(0.005)	transfer(0.005)	hook(0.005)	purchas(0.005)	flash(0.005)	time(0.005)	android(0.005)	portabl(0.005)	nice(0.005)	host(0.005)	stick(0.005)	ipad(0.004)	mini(0.004)	standard(0.004)	cord(0.004)	updat(0.004)	laptop(0.004)	extra(0.004)	lack(0.004)	longer(0.004)	replac(0.004)	station(0.004)	phone(0.004)	
Topic 27(0.023):	android(0.029)	system(0.022)	screen(0.022)	button(0.016)	thing(0.014)	oper(0.013)	os(0.013)	lock(0.012)	devic(0.012)	time(0.011)	kindl(0.010)	set(0.010)	work(0.009)	instruct(0.008)	product(0.008)	calibr(0.008)	easi(0.007)	help(0.007)	upgrad(0.007)	app(0.007)	locat(0.007)	love(0.007)	phone(0.006)	offer(0.006)	softwar(0.006)	manual(0.006)	gps(0.006)	user(0.006)	find(0.005)	chang(0.005)	power(0.005)	custom(0.005)	enjoy(0.005)	function(0.005)	version(0.005)	special(0.005)	order(0.005)	unit(0.005)	wifi(0.005)	learn(0.005)	sandwich(0.004)	appl(0.004)	mayday(0.004)	difficult(0.004)	light(0.004)	overpr(0.004)	cream(0.004)	ice(0.004)	wrong(0.004)	chip(0.004)	
Topic 28(0.045):	custom(0.025)	amazon(0.022)	servic(0.022)	return(0.018)	call(0.017)	product(0.016)	appl(0.016)	support(0.015)	replac(0.013)	problem(0.013)	help(0.013)	warranti(0.013)	ipad(0.012)	day(0.012)	time(0.011)	receiv(0.011)	work(0.011)	issu(0.010)	purchas(0.010)	send(0.010)	contact(0.009)	great(0.009)	month(0.008)	ship(0.008)	compani(0.008)	store(0.008)	seller(0.007)	repair(0.007)	told(0.007)	devic(0.007)	week(0.007)	refund(0.007)	tech(0.007)	number(0.006)	phone(0.006)	email(0.006)	bought(0.006)	soni(0.005)	defect(0.005)	samsung(0.005)	buy(0.005)	exchang(0.005)	answer(0.005)	order(0.005)	updat(0.004)	find(0.004)	final(0.004)	hope(0.004)	pay(0.004)	item(0.004)	
Topic 29(0.027):	work(0.022)	window(0.019)	app(0.014)	pen(0.013)	screen(0.013)	stylus(0.011)	great(0.010)	samsung(0.010)	android(0.009)	better(0.009)	ipad(0.009)	updat(0.009)	thing(0.009)	good(0.009)	featur(0.008)	softwar(0.008)	spen(0.007)	touch(0.007)	best(0.007)	keyboard(0.007)	draw(0.007)	laptop(0.006)	surfac(0.006)	write(0.006)	pro(0.006)	time(0.005)	rt(0.005)	offic(0.005)	devic(0.005)	function(0.005)	paper(0.005)	microsoft(0.005)	lot(0.005)	version(0.004)	issu(0.004)	galaxi(0.004)	full(0.004)	find(0.004)	wacom(0.004)	hardwar(0.004)	applic(0.004)	limit(0.004)	artist(0.004)	tab(0.004)	comput(0.004)	review(0.004)	buy(0.003)	includ(0.003)	graphic(0.003)	jelli(0.003)	
