HTMM,B004T36GCU,3,1,battery life is about  of a day with normal use
HTMM,B004T36GCU,3,1,other phones that i have owned
HTMM,B004T36GCU,3,1,poor battery life
HTSM,B004T36GCU,3,1,other phones that i have owned
HTSM,B004T36GCU,3,1,great phone
ASUM,B004T36GCU,3,1,phone stopped working deffective phone
ASUM,B004T36GCU,3,1,not good
HTMM,B004T36GCU,16,0,missing battery
HTSM,B004T36GCU,16,0,missing battery
HTSM,B004T36GCU,16,0,i tried to take the battery out and try again
HTSM,B004T36GCU,16,1,i tried to take the battery out and try again
HTSM,B004T36GCU,16,1,poor battery life
HTMM,B004T36GCU,16,1,missing battery
HTMM,B004T36GCU,16,1,got to go back to mexico with new battery next week
ASUM,B004T36GCU,16,0,missing battery
ASUM,B004T36GCU,16,0,this was all within the first day
ASUM,B004T36GCU,16,1,this was all within the first day
ASUM,B004T36GCU,16,1,it didnt work
HTSM,B004T36GCU,5,0,the picture is great and the camera is great
ASUM,B004T36GCU,5,0,not a lot more i can say about this phone
HTMM,B004T36GCU,5,0,great camera
HTMM,B004T36GCU,5,1,great camera
HTMM,B004T36GCU,5,1,the picture is great and the camera is great
HTMM,B004T36GCU,5,1,i would give it five star but no front camera will only get it four
HTSM,B004T36GCU,5,1,the picture is great and the camera is great
HTSM,B004T36GCU,5,1,great camera
HTSM,B004T36GCU,5,1,i would give it five star but no front camera will only get it four
HTSM,B004T36GCU,5,1,the only thing i am missing is a front camera for video calls
ASUM,B004T36GCU,5,1,not a lot more i can say about this phone
ASUM,B004T36GCU,5,1,phone is ok for the price
HTSM,B004T36GCU,18,0,good phone
HTSM,B004T36GCU,18,1,good phone
HTSM,B004T36GCU,18,1,good phone
HTSM,B004T36GCU,18,1,good phone
HTSM,B004T36GCU,18,1,really good
ASUM,B004T36GCU,18,0,but
ASUM,B004T36GCU,18,1,but
ASUM,B004T36GCU,18,1,annoying
HTMM,B004T36GCU,18,0,not bad
HTMM,B004T36GCU,18,1,not bad
HTMM,B004T36GCU,18,1,everything but the camera
HTSM,B004T36GCU,8,0,wasnt working
ASUM,B004T36GCU,8,0,and services
HTMM,B004T36GCU,8,0,wasnt working
HTMM,B004T36GCU,8,0,not unlocked
HTMM,B004T36GCU,8,1,not unlocked
HTMM,B004T36GCU,8,1,did not work right on tmobile
HTSM,B004T36GCU,8,1,wasnt working
HTSM,B004T36GCU,8,1,did not work right on tmobile
HTSM,B004T36GCU,8,1,service at home
ASUM,B004T36GCU,8,1,and services
ASUM,B004T36GCU,8,1,service at home
ASUM,B004T36GCU,8,1,i am sure it was probably a good phone
HTMM,B004T36GCU,21,0,dont buy it
HTSM,B004T36GCU,21,0,its an att phone 
HTMM,B004T36GCU,21,1,dont buy it
HTMM,B004T36GCU,21,1,the phone has problems
HTSM,B004T36GCU,21,1,its an att phone 
HTSM,B004T36GCU,21,1,i even went to tmobile store
ASUM,B004T36GCU,21,0,you can use it to call and tx msg
ASUM,B004T36GCU,21,1,you can use it to call and tx msg
ASUM,B004T36GCU,21,1,tmobileuh no
HTSM,B008HTJLF6,2,0,great phone at a great price
ASUM,B008HTJLF6,2,0,great phone
HTMM,B008HTJLF6,2,0,great phone at a great price
HTMM,B008HTJLF6,2,0,good smartphone for a good price
HTMM,B008HTJLF6,2,1,good smartphone for a good price
HTMM,B008HTJLF6,2,1,great phone
HTMM,B008HTJLF6,2,1,great phone with great functionality
HTSM,B008HTJLF6,2,1,great phone at a great price
HTSM,B008HTJLF6,2,1,good smartphone for a good price
HTSM,B008HTJLF6,2,1,great phone
HTSM,B008HTJLF6,2,1,great phone with great functionality
HTSM,B008HTJLF6,2,1,great deal
ASUM,B008HTJLF6,2,1,great phone
ASUM,B008HTJLF6,2,1,great phone
ASUM,B008HTJLF6,2,1,great phone
ASUM,B008HTJLF6,2,1,got it and loved it
ASUM,B008HTJLF6,15,0,i cant think of one complaint i might have or had about this phone
HTMM,B008HTJLF6,15,0,i bought this phone about a month or so ago and have a very different perspective
HTMM,B008HTJLF6,15,1,i bought this phone about a month or so ago and have a very different perspective
HTMM,B008HTJLF6,15,1,ive had this phone for over a month now month and few weeks maybe
ASUM,B008HTJLF6,15,1,i cant think of one complaint i might have or had about this phone
ASUM,B008HTJLF6,15,1,loved it
HTSM,B008HTJLF6,15,0,still a great phone
HTSM,B008HTJLF6,15,1,still a great phone
HTSM,B008HTJLF6,15,1,i will probably buy the docking station
HTSM,B008HTJLF6,3,0,it has a great battery life for my uses
ASUM,B008HTJLF6,3,0,great phone
HTMM,B008HTJLF6,3,0,it has a great battery life for my uses
HTMM,B008HTJLF6,3,0,respectable battery life
HTMM,B008HTJLF6,3,1,respectable battery life
HTMM,B008HTJLF6,3,1,and the battery life last past a day
HTSM,B008HTJLF6,3,1,it has a great battery life for my uses
