14	7	0.0009
10	4	0.0005
4	1	0.0116
18	5	0.1078
11	6	0.0363
5	1	0.0024
14	4	0.0333
8	2	0.0129
7	4	0.0395
2	1	0.0002
17	6	0.0042
26	6	0.2769
19	7	0.1039
12	3	0.0091
71	5	0.5941
6	6	0.0046
8	2	0.0021
4	1	0.1512
2	1	0.0000
3	3	0.0952
7	7	0.0558
5	4	0.3509
9	4	0.0210
8	5	0.0500
2	1	0.0000
72	9	0.0001
53	10	0.1925
3	2	0.0000
2	2	0.0016
62	5	1.2996
38	7	1.3072
5	5	0.0077
23	6	0.0283
8	3	0.1983
6	5	0.0053
6	3	0.0000
42	4	0.4333
29	4	0.8624
40	2	0.0000
57	1	1.8195
8	5	0.3847
3	2	0.0002
16	2	0.3303
7	3	0.2271
7	1	0.0194
5	4	0.0005
5	5	0.0000
5	4	0.0000
7	2	0.0037
22	1	0.2904
31	5	0.1489
4	2	0.6246
3	1	0.0562
2	1	0.0000
8	3	0.0255
57	4	1.1151
5	2	0.1741
23	5	0.1829
5	3	0.0299
21	1	0.0000
6	2	0.0000
22	14	0.1221
22	5	0.1785
5	4	0.2615
3	1	0.0620
10	5	0.0043
18	1	0.7579
7	4	0.0012
5	2	0.0247
7	1	0.0484
6	2	0.0056
9	2	0.1904
12	3	0.1780
6	4	0.0132
106	1	0.3137
3	2	0.0001
14	3	0.0014
15	2	0.0000
21	1	0.4814
10	2	0.0854
5	3	0.2349
5	3	0.0020
2	2	0.0024
2	2	0.0002
2	2	0.0113
2	1	0.0000
12	2	0.0080
2	2	0.0000
2	1	0.0000
65	4	1.0017
8	3	0.0002
59	9	0.0000
14	5	0.1827
5	3	0.0103
4	4	0.1073
10	7	0.0225
8	2	0.0105
43	5	0.5403
2	2	0.0057
6	2	0.0200
12	3	0.0964
64	4	1.9448
70	3	0.0000
12	3	0.0016
9	4	0.0000
49	3	2.0000
5	3	0.0101
4	2	0.0025
5	2	0.7737
8	4	0.0104
36	11	0.0748
8	7	0.0000
8	1	0.5378
11	2	0.0316
2	2	0.0114
5	3	0.6960
3	2	0.0005
8	2	0.0539
17	1	0.6737
2	1	0.0000
13	5	0.1326
4	3	0.0316
9	3	0.0055
3	1	0.0006
5	3	0.8377
4	3	0.0011
5	3	0.0002
4	1	0.0001
62	6	0.8771
2	2	0.6271
4	2	0.0228
4	3	0.0019
8	2	0.0511
7	2	0.7708
27	2	0.6047
10	3	0.0017
6	5	0.0020
3	3	0.0000
6	6	0.2241
3	3	0.0030
13	7	1.0656
3	1	0.0138
8	4	0.1827
11	1	0.1169
12	1	0.1143
3	2	0.2508
8	4	0.2518
38	4	1.0084
4	3	0.1739
45	2	0.7958
16	5	0.0143
38	6	0.0618
5	1	0.0704
29	2	0.0000
3	3	0.0084
3	1	0.0040
2	1	0.0000
15	3	0.1476
6	2	0.0000
9	2	0.0000
10	4	0.0119
5	2	0.0004
24	9	0.3061
16	4	0.0094
5	1	0.0256
87	5	0.9332
7	2	0.3574
7	4	0.1155
16	5	0.1394
7	4	0.0020
10	3	0.0046
5	2	0.0000
2	2	0.0000
2	1	0.0000
4	3	0.0000
2	1	0.0032
14	9	0.0834
3	2	0.0041
21	5	0.9928
4	3	0.0235
3	1	0.0138
29	4	0.0000
12	2	0.0568
6	4	0.7097
57	6	0.0612
18	2	0.0333
3	2	0.0011
4	2	0.0000
10	5	0.6051
12	2	0.0384
2	1	0.0512
4	1	0.0150
2	1	0.1518
6	5	0.0031
14	4	1.6301
5	2	0.0127
8	1	0.3219
4	2	0.3610
7	4	0.1490
13	3	0.0001
6	4	0.1284
5	1	0.0052
12	6	0.0146
14	5	0.0594
5	5	0.0000
4	1	0.0000
4	3	0.2118
6	2	0.0000
34	1	0.0979
64	4	1.8280
7	5	0.1610
62	4	1.9495
41	12	0.0620
7	2	0.0020
2	1	0.0127
7	2	0.0088
4	1	0.0274
49	2	0.3875
9	4	0.0125
37	7	0.0000
15	3	0.8172
15	4	0.0470
11	4	0.2777
29	2	1.0469
6	2	0.0257
4	3	0.0004
49	3	1.2928
8	5	0.2641
4	2	0.0511
4	1	0.0414
35	3	1.8991
3	2	0.0124
2	2	0.0000
17	2	0.0056
54	3	0.7983
12	6	0.4406
4	3	0.0006
6	4	0.0194
31	3	0.0000
34	10	0.0929
4	1	0.0035
4	2	0.0318
6	3	0.0042
7	4	0.0387
5	5	0.0167
15	6	0.1912
7	4	0.7063
51	1	1.0572
5	2	0.0019
7	7	0.0282
3	1	0.0089
4	3	0.0000
4	1	0.0300
5	2	0.0194
5	5	0.0479
15	3	0.3745
2	1	0.0005
6	3	0.0174
6	4	0.0906
7	1	0.0972
15	11	0.0687
8	5	0.8496
16	5	0.2261
8	5	0.0037
14	5	0.4127
6	1	0.0000
4	4	0.0032
6	4	0.0006
5	1	0.0110
3	2	0.0024
20	5	0.0047
14	9	0.0002
62	5	1.0695
53	3	0.4792
6	1	0.0000
25	9	0.2089
4	1	0.0019
5	1	0.0042
6	3	0.0390
8	5	0.0054
2	2	0.0036
3	2	0.0324
7	5	0.0059
2	2	0.0034
3	1	0.2837
4	3	0.0004
8	4	0.1372
5	3	0.0512
16	1	0.3654
16	1	1.5966
9	1	0.0334
34	5	0.1307
20	11	0.2051
9	2	0.2048
4	1	0.0000
6	2	0.0127
4	4	0.0099
5	1	0.0041
6	3	0.0176
6	1	0.0955
9	3	0.0030
5	3	0.0019
2	2	0.0007
5	5	0.0000
5	2	0.0000
7	5	0.0015
3	2	0.0658
4	1	0.0035
15	8	0.6979
8	1	0.1770
6	2	0.1049
53	13	0.3901
3	2	0.0000
4	2	0.0024
4	4	0.0029
2	2	0.1305
3	3	0.0000
5	5	0.0004
6	5	0.0008
11	5	0.1194
15	2	0.0847
9	5	0.0305
9	5	0.0434
8	4	0.4524
11	1	0.6247
13	6	0.1911
3	1	0.0072
9	2	0.4565
5	1	0.0034
9	3	0.0758
6	3	0.0021
3	1	0.0001
6	5	0.0000
61	8	0.0199
5	2	0.0001
5	4	0.0005
39	5	0.6102
7	4	0.1543
97	10	1.5781
6	3	0.0037
4	4	0.0224
30	3	0.0000
17	3	0.1624
5	1	0.0196
9	5	0.0065
4	2	0.0031
5	2	0.0215
11	3	0.1779
15	3	0.4215
6	4	0.0529
4	2	0.0096
8	2	0.0000
5	2	0.1940
48	8	0.0000
3	2	0.0082
6	1	0.0023
6	3	0.0069
9	6	0.3001
3	2	0.2310
31	4	1.4327
4	1	0.0010
17	4	0.6946
19	5	0.2597
4	1	0.4769
19	5	0.4665
3	3	0.1284
8	3	0.0045
6	1	0.0160
4	2	0.0681
11	2	0.0263
3	3	0.1083
6	4	0.0907
9	2	0.0418
45	2	0.0004
7	4	0.0399
6	2	0.0065
2	2	0.0000
7	3	0.0894
5	2	0.0024
5	1	0.0000
19	5	0.0083
4	3	0.0155
7	4	0.0001
5	3	0.0040
9	3	0.0014
4	1	0.0042
13	5	0.8004
7	4	0.0066
4	3	0.0001
11	2	0.5069
16	8	0.1227
4	1	0.0108
8	3	0.0008
29	8	1.7002
7	2	0.0084
19	4	0.0619
13	8	0.0054
71	4	1.9434
6	5	0.0248
54	3	1.4335
39	14	1.6497
13	1	0.4651
67	18	0.0456
2	1	0.0000
6	4	0.0130
5	2	0.2920
6	4	0.0349
2	1	0.0000
11	5	0.2645
41	5	0.0707
3	3	0.0214
4	1	0.0037
17	3	0.0042
26	3	1.9762
6	5	0.0131
74	9	1.8547
27	3	0.6569
64	12	0.6369
3	2	0.0004
14	3	0.1196
5	5	0.0071
7	3	0.0262
18	3	0.0197
76	2	1.7878
5	3	0.0515
8	3	0.7509
2	2	0.0001
10	5	0.0450
6	6	0.0022
8	4	0.0173
10	1	0.1745
7	3	0.0013
8	6	0.0082
4	2	0.0327
23	6	0.1272
5	2	0.0000
12	5	0.2770
9	6	0.0132
24	4	0.0762
25	8	0.1617
5	5	0.3465
5	3	0.0144
6	4	0.0004
5	1	0.0118
68	6	0.0000
7	4	0.1417
7	5	0.0514
2	1	0.1439
7	2	0.0020
3	1	0.0000
7	2	0.0000
2	1	0.0000
3	2	0.0012
5	1	0.0013
8	1	0.1495
14	3	0.8979
47	9	1.9782
3	3	0.0007
32	17	0.9485
7	4	0.2590
72	17	0.0175
9	4	0.1877
9	1	1.3943
12	1	0.0006
9	2	0.0644
19	1	1.1332
5	3	0.0003
12	4	0.3024
10	2	0.0279
20	3	0.2705
12	1	0.0399
5	3	0.0002
12	3	0.1298
3	2	0.0000
5	1	0.0100
4	3	0.0005
6	1	0.0139
52	6	1.9510
7	4	0.0172
9	3	0.0884
15	5	0.0781
3	2	0.0105
7	1	0.2451
2	2	0.0180
66	12	1.9016
