Topic 11(0.021):	button(0.026)	set(0.018)	review(0.017)	press(0.017)	user(0.014)	chang(0.014)	lock(0.014)	good(0.013)	manual(0.013)	cover(0.013)	design(0.012)	volum(0.012)	menu(0.011)	function(0.011)	left(0.010)	side(0.010)	nice(0.010)	color(0.009)	black(0.009)	top(0.009)	plastic(0.009)	work(0.008)	love(0.008)	hold(0.008)	screen(0.008)	great(0.008)	scroll(0.007)	better(0.007)	time(0.007)	iphon(0.007)	recommend(0.007)	easi(0.007)	push(0.006)	soft(0.006)	mode(0.006)	power(0.006)	camera(0.006)	wrong(0.006)	call(0.006)	complaint(0.006)	featur(0.006)	menus(0.006)	bit(0.006)	step(0.006)	bottom(0.006)	best(0.006)	star(0.006)	choos(0.005)	switch(0.005)	worth(0.005)	
Topic 12(0.025):	text(0.037)	email(0.027)	data(0.021)	messag(0.021)	great(0.020)	internet(0.019)	money(0.014)	featur(0.013)	plan(0.013)	web(0.013)	good(0.011)	wifi(0.010)	call(0.010)	check(0.010)	work(0.009)	send(0.009)	love(0.009)	access(0.008)	surf(0.008)	account(0.008)	book(0.008)	connect(0.008)	set(0.008)	setup(0.007)	recommend(0.007)	address(0.007)	nice(0.007)	best(0.007)	save(0.007)	site(0.007)	sync(0.006)	calendar(0.006)	time(0.006)	write(0.006)	voic(0.006)	worth(0.006)	abil(0.006)	unlimit(0.006)	crazi(0.006)	amaz(0.006)	frustrat(0.006)	talk(0.006)	simpli(0.005)	read(0.005)	month(0.005)	pay(0.005)	issu(0.005)	accept(0.005)	entri(0.005)	initi(0.005)	
Topic 13(0.030):	screen(0.085)	touch(0.024)	case(0.024)	nice(0.017)	protector(0.013)	scratch(0.012)	display(0.011)	drop(0.011)	small(0.010)	problem(0.010)	resolut(0.009)	big(0.009)	work(0.009)	better(0.009)	crack(0.009)	sensit(0.009)	accessori(0.009)	easili(0.008)	glass(0.008)	cover(0.008)	cool(0.008)	time(0.008)	protect(0.008)	respons(0.008)	reboot(0.007)	bad(0.007)	nokia(0.007)	bigger(0.007)	feel(0.007)	fit(0.007)	white(0.007)	super(0.007)	high(0.006)	watch(0.006)	hand(0.006)	appear(0.006)	find(0.006)	model(0.006)	bright(0.006)	batteri(0.005)	size(0.005)	con(0.005)	lumia(0.005)	start(0.005)	pocket(0.005)	durabl(0.005)	touchscreen(0.005)	interfac(0.005)	random(0.005)	good(0.005)	
Topic 14(0.035):	app(0.072)	window(0.025)	android(0.021)	updat(0.018)	download(0.014)	map(0.014)	work(0.012)	store(0.010)	music(0.010)	time(0.010)	applic(0.009)	googl(0.009)	free(0.009)	gps(0.009)	microsoft(0.009)	iphon(0.009)	os(0.009)	lot(0.008)	nokia(0.008)	limit(0.007)	game(0.007)	instal(0.007)	play(0.007)	find(0.007)	data(0.007)	softwar(0.006)	call(0.006)	facebook(0.006)	function(0.006)	thing(0.006)	navig(0.006)	load(0.006)	issu(0.006)	custom(0.006)	allow(0.005)	includ(0.005)	featur(0.005)	compar(0.005)	buy(0.005)	problem(0.005)	wifi(0.005)	lack(0.005)	drive(0.005)	screen(0.005)	review(0.004)	io(0.004)	system(0.004)	basic(0.004)	delet(0.004)	connect(0.004)	
Topic 15(0.062):	bought(0.023)	nokia(0.022)	great(0.022)	purchas(0.021)	buy(0.020)	price(0.019)	year(0.018)	month(0.018)	lumia(0.017)	best(0.016)	smartphon(0.015)	recommend(0.014)	smart(0.013)	pay(0.012)	plan(0.012)	cheap(0.012)	product(0.011)	money(0.011)	tmobil(0.010)	window(0.010)	work(0.009)	good(0.009)	better(0.009)	amazon(0.008)	samsung(0.008)	problem(0.008)	servic(0.008)	motorola(0.008)	love(0.008)	ago(0.008)	deal(0.008)	thing(0.007)	contract(0.007)	disappoint(0.007)	worth(0.007)	iphon(0.007)	budget(0.007)	basic(0.007)	time(0.007)	cell(0.007)	replac(0.007)	review(0.007)	worst(0.006)	brand(0.006)	qualiti(0.006)	user(0.006)	featur(0.005)	android(0.005)	bad(0.005)	devic(0.005)	
Topic 16(0.063):	batteri(0.086)	charg(0.051)	day(0.025)	work(0.024)	life(0.023)	charger(0.019)	time(0.019)	week(0.016)	turn(0.016)	hour(0.016)	problem(0.013)	month(0.013)	start(0.010)	issu(0.009)	plug(0.009)	thing(0.009)	call(0.008)	power(0.008)	coupl(0.008)	remov(0.008)	app(0.008)	great(0.007)	usb(0.007)	die(0.007)	shut(0.007)	screen(0.007)	port(0.007)	freez(0.007)	cabl(0.006)	replac(0.006)	good(0.006)	restart(0.006)	bad(0.006)	drain(0.006)	full(0.005)	short(0.005)	hold(0.005)	year(0.005)	complet(0.005)	long(0.005)	stay(0.005)	proper(0.005)	low(0.005)	second(0.005)	defect(0.005)	blu(0.005)	half(0.005)	purchas(0.004)	dead(0.004)	longer(0.004)	
Topic 17(0.024):	speaker(0.048)	hear(0.031)	call(0.030)	qualiti(0.021)	sound(0.021)	loud(0.018)	volum(0.018)	headphon(0.016)	bad(0.016)	listen(0.014)	radio(0.014)	piec(0.013)	recept(0.012)	work(0.012)	fm(0.011)	problem(0.011)	ear(0.010)	clear(0.010)	time(0.010)	car(0.010)	glitch(0.010)	terribl(0.010)	speakerphon(0.009)	bit(0.009)	bluetooth(0.009)	peopl(0.009)	audio(0.009)	flip(0.009)	person(0.008)	month(0.008)	junk(0.008)	talk(0.008)	nois(0.007)	headset(0.007)	constant(0.007)	surpris(0.006)	ring(0.006)	heard(0.006)	cut(0.006)	buy(0.006)	adapt(0.006)	purpos(0.006)	turn(0.006)	convers(0.006)	fantast(0.006)	worst(0.005)	featur(0.005)	horribl(0.005)	built(0.005)	bell(0.005)	
Topic 18(0.038):	camera(0.062)	good(0.052)	flash(0.023)	pictur(0.022)	better(0.021)	price(0.017)	light(0.015)	nokia(0.015)	qualiti(0.014)	expect(0.013)	featur(0.013)	front(0.013)	star(0.012)	video(0.012)	problem(0.012)	lot(0.012)	decent(0.010)	low(0.010)	pretti(0.010)	photo(0.010)	work(0.010)	bad(0.009)	face(0.009)	thing(0.008)	basic(0.007)	call(0.007)	player(0.007)	softwar(0.007)	app(0.006)	shot(0.006)	screen(0.006)	batteri(0.006)	choic(0.006)	button(0.005)	record(0.005)	disappoint(0.005)	lack(0.005)	smartphon(0.005)	review(0.004)	condit(0.004)	compar(0.004)	cheap(0.004)	feel(0.004)	imag(0.004)	hate(0.004)	true(0.004)	time(0.004)	buy(0.004)	set(0.004)	hardwar(0.004)	
Topic 19(0.033):	card(0.086)	sim(0.055)	sd(0.029)	work(0.029)	memori(0.028)	micro(0.014)	slot(0.013)	problem(0.012)	file(0.010)	intern(0.010)	app(0.009)	box(0.009)	storag(0.008)	microsd(0.008)	transfer(0.007)	usb(0.007)	includ(0.007)	descript(0.007)	music(0.007)	batteri(0.007)	time(0.007)	charger(0.006)	save(0.006)	instal(0.006)	travel(0.006)	recogn(0.006)	fine(0.006)	standard(0.006)	store(0.006)	comput(0.006)	pictur(0.006)	plug(0.005)	tmobil(0.005)	video(0.005)	bought(0.005)	fit(0.005)	instruct(0.005)	purchas(0.005)	8gb(0.005)	window(0.005)	manual(0.005)	gb(0.005)	prepaid(0.005)	number(0.005)	wo(0.004)	insid(0.004)	mini(0.004)	move(0.004)	buy(0.004)	manag(0.004)	
Topic 20(0.050):	time(0.025)	warranti(0.021)	day(0.020)	replac(0.018)	call(0.018)	servic(0.016)	receiv(0.016)	custom(0.015)	return(0.014)	work(0.014)	repair(0.014)	month(0.014)	drop(0.013)	problem(0.013)	product(0.013)	send(0.012)	samsung(0.012)	newegg(0.012)	order(0.011)	week(0.011)	buy(0.010)	bought(0.010)	email(0.009)	batteri(0.009)	contact(0.008)	cover(0.008)	wait(0.008)	blu(0.008)	purchas(0.008)	compani(0.008)	told(0.007)	minut(0.007)	damag(0.007)	ship(0.007)	support(0.007)	refund(0.007)	open(0.007)	care(0.007)	talk(0.007)	disappoint(0.007)	box(0.006)	hope(0.006)	number(0.006)	lost(0.006)	defect(0.006)	bad(0.006)	item(0.006)	nokia(0.005)	devic(0.005)	money(0.005)	
Topic 21(0.058):	call(0.039)	tmobil(0.030)	work(0.029)	unlock(0.026)	wifi(0.025)	servic(0.024)	problem(0.016)	att(0.015)	network(0.015)	connect(0.014)	verizon(0.013)	signal(0.011)	custom(0.010)	cell(0.010)	buy(0.010)	activ(0.010)	return(0.009)	time(0.009)	sim(0.009)	help(0.008)	receiv(0.008)	data(0.007)	lock(0.007)	card(0.007)	code(0.007)	support(0.007)	contact(0.006)	area(0.006)	mobil(0.006)	bought(0.006)	purchas(0.006)	carrier(0.006)	amazon(0.006)	number(0.006)	good(0.006)	store(0.005)	peopl(0.005)	set(0.005)	plan(0.005)	nokia(0.005)	compani(0.005)	pay(0.005)	coverag(0.004)	featur(0.004)	cellular(0.004)	told(0.004)	replac(0.004)	live(0.004)	tech(0.004)	free(0.004)	
Topic 22(0.027):	version(0.020)	htc(0.019)	4g(0.018)	con(0.016)	slow(0.016)	android(0.016)	devic(0.016)	lte(0.016)	3g(0.015)	support(0.014)	upgrad(0.013)	ram(0.013)	core(0.013)	nexus(0.012)	issu(0.011)	fast(0.011)	gb(0.010)	processor(0.009)	ghz(0.009)	hardwar(0.008)	faster(0.008)	inspir(0.008)	storag(0.008)	quad(0.008)	releas(0.008)	futur(0.008)	lag(0.007)	capabl(0.007)	experi(0.007)	speed(0.007)	spec(0.007)	dual(0.007)	work(0.007)	time(0.007)	problem(0.007)	samsung(0.006)	better(0.006)	review(0.006)	snapdragon(0.006)	usa(0.006)	improv(0.006)	disappoint(0.006)	thing(0.006)	ship(0.006)	lack(0.005)	s4(0.005)	fair(0.005)	camera(0.005)	bad(0.005)	band(0.005)	
Topic 23(0.026):	type(0.022)	easi(0.020)	keyboard(0.020)	screen(0.018)	work(0.017)	blackberri(0.014)	thing(0.014)	bad(0.013)	voic(0.013)	problem(0.012)	finger(0.012)	exact(0.011)	figur(0.011)	small(0.011)	text(0.010)	imposs(0.010)	default(0.010)	luck(0.010)	absolut(0.009)	issu(0.009)	slide(0.008)	pretti(0.008)	instruct(0.008)	system(0.008)	time(0.008)	iphon(0.007)	call(0.007)	good(0.007)	manual(0.007)	touch(0.007)	interfac(0.007)	frustrat(0.006)	intuit(0.006)	english(0.006)	year(0.006)	window(0.006)	custom(0.006)	featur(0.006)	app(0.006)	stand(0.006)	chang(0.006)	dial(0.005)	tile(0.005)	terribl(0.005)	set(0.005)	wait(0.005)	troubl(0.005)	junk(0.005)	activ(0.005)	complet(0.005)	
Topic 24(0.026):	button(0.062)	screen(0.027)	power(0.017)	time(0.017)	side(0.017)	call(0.016)	press(0.016)	work(0.015)	volum(0.014)	lock(0.014)	turn(0.013)	reset(0.012)	set(0.012)	top(0.011)	annoy(0.011)	left(0.010)	option(0.010)	touch(0.010)	menu(0.009)	start(0.009)	chang(0.009)	thing(0.008)	push(0.008)	hold(0.007)	cover(0.007)	problem(0.007)	black(0.007)	bottom(0.007)	design(0.007)	unlock(0.007)	hit(0.007)	plastic(0.006)	menus(0.006)	camera(0.006)	locat(0.006)	pocket(0.006)	alarm(0.006)	mode(0.006)	find(0.006)	click(0.005)	dial(0.005)	bad(0.005)	color(0.005)	wrong(0.005)	background(0.005)	ring(0.005)	softwar(0.005)	day(0.005)	user(0.005)	shut(0.005)	
Topic 25(0.028):	text(0.039)	messag(0.034)	email(0.032)	call(0.023)	send(0.020)	work(0.019)	money(0.015)	data(0.014)	internet(0.014)	access(0.013)	set(0.013)	account(0.013)	plan(0.011)	time(0.011)	contact(0.011)	wast(0.010)	pictur(0.010)	receiv(0.009)	app(0.009)	tmobil(0.009)	outlook(0.008)	correct(0.008)	calendar(0.008)	address(0.007)	problem(0.007)	web(0.007)	wifi(0.007)	option(0.006)	fine(0.006)	turn(0.006)	voic(0.006)	check(0.006)	sync(0.005)	peopl(0.005)	unlimit(0.005)	simpli(0.005)	requir(0.005)	microsoft(0.005)	chang(0.005)	camera(0.004)	creat(0.004)	write(0.004)	game(0.004)	guess(0.004)	save(0.004)	hour(0.004)	minut(0.004)	window(0.004)	multipl(0.004)	question(0.004)	
