Topic 11(0.040):	good(0.196)	pictur(0.063)	qualiti(0.061)	price(0.044)	small(0.019)	pretti(0.015)	expect(0.014)	size(0.010)	easi(0.006)	excel(0.005)	great(0.005)	carri(0.004)	better(0.004)	compact(0.004)	color(0.004)	nice(0.003)	featur(0.003)	decent(0.003)	buy(0.003)	bad(0.003)	lot(0.003)	work(0.002)	print(0.002)	lack(0.002)	best(0.002)	high(0.002)	happi(0.002)	thing(0.002)	bought(0.002)	night(0.002)	rang(0.002)	recommend(0.002)	option(0.002)	year(0.002)	cheap(0.002)	big(0.002)	thought(0.002)	long(0.002)	half(0.001)	time(0.001)	general(0.001)	portabl(0.001)	care(0.001)	capabl(0.001)	averag(0.001)	resolut(0.001)	con(0.001)	pic(0.001)	find(0.001)	return(0.001)	
Topic 12(0.038):	card(0.121)	memori(0.064)	sd(0.038)	pictur(0.021)	nice(0.010)	case(0.008)	reader(0.008)	purchas(0.008)	excel(0.008)	easi(0.007)	intern(0.007)	format(0.006)	usb(0.006)	sdhc(0.005)	includ(0.005)	price(0.005)	buy(0.005)	resolut(0.004)	micro(0.004)	high(0.004)	pic(0.004)	thing(0.004)	flash(0.004)	save(0.004)	digit(0.004)	fuji(0.004)	slow(0.004)	transfer(0.004)	slot(0.004)	stick(0.004)	simpl(0.003)	hold(0.003)	comput(0.003)	model(0.003)	size(0.003)	time(0.003)	cost(0.003)	small(0.003)	gb(0.003)	class(0.003)	order(0.003)	expens(0.003)	work(0.003)	find(0.003)	recommend(0.002)	best(0.002)	problem(0.002)	file(0.002)	newegg(0.002)	great(0.002)	
Topic 13(0.041):	light(0.118)	low(0.066)	shot(0.061)	flash(0.037)	indoor(0.028)	color(0.027)	bright(0.017)	outdoor(0.017)	better(0.013)	night(0.013)	set(0.011)	perform(0.009)	condit(0.009)	situat(0.008)	dark(0.008)	graini(0.007)	best(0.006)	great(0.004)	lowlight(0.004)	excel(0.004)	lot(0.004)	pretti(0.003)	perfect(0.003)	produc(0.003)	daylight(0.003)	good(0.003)	wash(0.003)	sharp(0.003)	high(0.003)	amaz(0.003)	surpris(0.003)	compact(0.003)	tx1(0.003)	pictur(0.002)	size(0.002)	exposur(0.002)	detail(0.002)	pocket(0.002)	small(0.002)	true(0.002)	capabl(0.002)	peopl(0.002)	blur(0.002)	panorama(0.002)	fine(0.002)	natur(0.002)	tripod(0.002)	fast(0.002)	compar(0.002)	qualiti(0.002)	
Topic 14(0.039):	lens(0.039)	len(0.025)	dslr(0.024)	nex5n(0.019)	nex(0.017)	iso(0.016)	sensor(0.015)	focus(0.013)	better(0.012)	bodi(0.011)	shoot(0.011)	high(0.011)	manual(0.010)	soni(0.010)	5n(0.009)	perform(0.009)	kit(0.008)	adapt(0.008)	light(0.008)	viewfind(0.007)	option(0.007)	control(0.007)	system(0.007)	best(0.007)	fast(0.007)	allow(0.006)	af(0.006)	size(0.006)	evf(0.006)	imag(0.005)	compact(0.005)	shutter(0.005)	smaller(0.005)	small(0.005)	mount(0.005)	dial(0.005)	excel(0.005)	menu(0.004)	screen(0.004)	weight(0.004)	extern(0.004)	apertur(0.004)	nex7(0.004)	button(0.004)	photographi(0.004)	larger(0.003)	mirrorless(0.003)	low(0.003)	function(0.003)	limit(0.003)	
Topic 15(0.037):	focus(0.123)	time(0.030)	problem(0.023)	autofocus(0.022)	second(0.019)	work(0.018)	slow(0.017)	subject(0.013)	move(0.012)	fast(0.011)	auto(0.009)	thing(0.009)	shot(0.009)	manual(0.006)	shutter(0.005)	expect(0.005)	view(0.004)	return(0.004)	speed(0.004)	better(0.004)	good(0.004)	af(0.004)	viewfind(0.003)	turn(0.003)	bad(0.003)	live(0.003)	long(0.003)	point(0.003)	pictur(0.003)	shoot(0.003)	hand(0.003)	correct(0.003)	object(0.003)	light(0.003)	close(0.003)	excel(0.003)	pretti(0.003)	set(0.003)	full(0.003)	review(0.002)	lot(0.002)	blur(0.002)	amaz(0.002)	imag(0.002)	mention(0.002)	continu(0.002)	frame(0.002)	qualiti(0.002)	high(0.002)	real(0.002)	
Topic 16(0.036):	len(0.150)	cover(0.016)	kit(0.013)	bodi(0.009)	turn(0.008)	case(0.008)	start(0.007)	love(0.007)	close(0.007)	open(0.006)	purchas(0.006)	price(0.005)	good(0.005)	cost(0.005)	deal(0.004)	mm(0.004)	hand(0.004)	nice(0.004)	scratch(0.004)	small(0.004)	time(0.004)	built(0.004)	better(0.004)	excel(0.003)	angl(0.003)	cap(0.003)	problem(0.003)	happi(0.003)	buy(0.003)	addit(0.003)	reason(0.003)	insid(0.003)	decid(0.003)	thing(0.003)	accessori(0.003)	function(0.003)	pocket(0.003)	lot(0.003)	amaz(0.003)	work(0.003)	great(0.003)	big(0.003)	includ(0.003)	high(0.003)	bag(0.003)	bad(0.003)	carri(0.002)	year(0.002)	perfect(0.002)	appear(0.002)	
Topic 17(0.040):	mode(0.096)	set(0.075)	manual(0.035)	auto(0.032)	shutter(0.020)	control(0.017)	shoot(0.017)	shot(0.015)	speed(0.013)	scene(0.011)	adjust(0.011)	iso(0.010)	switch(0.010)	menu(0.009)	exposur(0.008)	chang(0.008)	select(0.008)	point(0.008)	automat(0.007)	movi(0.007)	white(0.007)	balanc(0.006)	featur(0.005)	learn(0.004)	button(0.004)	lot(0.004)	panorama(0.004)	option(0.004)	good(0.003)	nice(0.003)	press(0.003)	macro(0.003)	program(0.003)	thing(0.003)	excel(0.003)	best(0.003)	great(0.003)	apertur(0.003)	fast(0.003)	work(0.003)	limit(0.003)	better(0.003)	hand(0.003)	high(0.003)	review(0.003)	improv(0.003)	lack(0.002)	menus(0.002)	turn(0.002)	start(0.002)	
Topic 18(0.041):	batteri(0.205)	charg(0.041)	life(0.036)	recharg(0.025)	charger(0.018)	aa(0.016)	time(0.012)	power(0.012)	usb(0.012)	cabl(0.012)	long(0.009)	big(0.008)	good(0.008)	easi(0.008)	includ(0.008)	pictur(0.006)	nice(0.005)	plug(0.005)	nimh(0.004)	eat(0.004)	hour(0.004)	extra(0.004)	dead(0.004)	fulli(0.004)	second(0.004)	drain(0.003)	standard(0.003)	box(0.003)	remov(0.003)	size(0.003)	spare(0.003)	thing(0.003)	lithium(0.003)	recommend(0.003)	adapt(0.002)	alkalin(0.002)	reason(0.002)	pack(0.002)	buy(0.002)	high(0.002)	set(0.002)	deal(0.002)	expens(0.002)	turn(0.002)	longer(0.002)	short(0.002)	digit(0.002)	regular(0.002)	work(0.002)	day(0.002)	
Topic 19(0.038):	video(0.196)	record(0.049)	qualiti(0.038)	sound(0.022)	hd(0.019)	audio(0.013)	movi(0.008)	thing(0.007)	second(0.005)	time(0.005)	great(0.004)	camcord(0.004)	minut(0.004)	better(0.004)	high(0.003)	hear(0.003)	nice(0.003)	featur(0.003)	clip(0.003)	lot(0.003)	playback(0.003)	excel(0.003)	mic(0.003)	good(0.003)	amaz(0.003)	motion(0.003)	small(0.003)	zoom(0.003)	watch(0.002)	full(0.002)	annoy(0.002)	microphon(0.002)	play(0.002)	notic(0.002)	bad(0.002)	con(0.002)	review(0.002)	recommend(0.002)	constant(0.002)	terribl(0.002)	function(0.002)	find(0.002)	continu(0.002)	loud(0.002)	compar(0.002)	remot(0.002)	monitor(0.002)	mention(0.002)	long(0.002)	shoot(0.002)	
Topic 20(0.038):	work(0.079)	day(0.041)	water(0.026)	trip(0.026)	bought(0.020)	turn(0.014)	olympus(0.013)	waterproof(0.012)	fine(0.012)	year(0.011)	time(0.011)	underwat(0.010)	vacat(0.009)	drop(0.009)	pic(0.008)	week(0.008)	replac(0.007)	proof(0.006)	fail(0.006)	snorkel(0.006)	open(0.005)	pictur(0.005)	buy(0.004)	problem(0.004)	good(0.004)	second(0.004)	feet(0.004)	recommend(0.004)	great(0.004)	coupl(0.003)	die(0.003)	compart(0.003)	start(0.003)	return(0.003)	door(0.003)	tough(0.003)	broke(0.003)	three(0.003)	expect(0.003)	beach(0.003)	thing(0.003)	short(0.003)	fuji(0.003)	insid(0.003)	purchas(0.003)	seal(0.003)	leak(0.003)	review(0.002)	lock(0.002)	month(0.002)	
Topic 21(0.038):	shoot(0.084)	point(0.055)	shot(0.035)	review(0.019)	photograph(0.019)	dslr(0.015)	time(0.014)	lot(0.013)	read(0.012)	photographi(0.012)	peopl(0.011)	great(0.009)	love(0.007)	profession(0.007)	case(0.006)	slr(0.006)	fast(0.006)	better(0.005)	perfect(0.005)	thing(0.005)	kid(0.005)	consid(0.004)	long(0.004)	reason(0.004)	pocket(0.004)	amateur(0.004)	amaz(0.004)	wonder(0.004)	good(0.004)	function(0.004)	featur(0.004)	best(0.004)	model(0.004)	wx1(0.003)	work(0.003)	captur(0.003)	pictur(0.003)	face(0.003)	problem(0.003)	capabl(0.003)	shutter(0.003)	experi(0.003)	serious(0.003)	qualiti(0.003)	action(0.003)	learn(0.003)	amazon(0.003)	fun(0.003)	moment(0.002)	macro(0.002)	
Topic 22(0.039):	softwar(0.040)	work(0.038)	kodak(0.030)	comput(0.028)	wifi(0.018)	download(0.017)	connect(0.015)	samsung(0.014)	instal(0.014)	support(0.011)	upload(0.011)	phone(0.011)	window(0.010)	easi(0.009)	pc(0.009)	cabl(0.008)	usb(0.008)	system(0.007)	problem(0.007)	error(0.006)	find(0.006)	share(0.006)	user(0.006)	network(0.006)	easyshar(0.005)	transfer(0.005)	wireless(0.005)	devic(0.005)	set(0.005)	mac(0.004)	load(0.004)	app(0.004)	program(0.004)	plug(0.004)	tech(0.004)	site(0.004)	longer(0.004)	messag(0.004)	time(0.003)	driver(0.003)	wo(0.003)	websit(0.003)	clear(0.003)	internet(0.003)	function(0.003)	featur(0.003)	instruct(0.003)	cam(0.003)	help(0.003)	oper(0.003)	
Topic 23(0.037):	photo(0.216)	qualiti(0.032)	great(0.017)	better(0.015)	featur(0.014)	turn(0.010)	size(0.009)	disappoint(0.007)	set(0.006)	time(0.006)	find(0.006)	lot(0.006)	color(0.006)	nice(0.005)	bad(0.004)	purchas(0.004)	expect(0.004)	good(0.004)	shot(0.004)	graini(0.004)	clear(0.003)	review(0.003)	beauti(0.003)	decent(0.003)	best(0.003)	thing(0.003)	captur(0.002)	pocket(0.002)	compact(0.002)	point(0.002)	flash(0.002)	famili(0.002)	option(0.002)	hold(0.002)	night(0.002)	face(0.002)	buy(0.002)	recommend(0.002)	digit(0.002)	day(0.002)	close(0.002)	phone(0.002)	high(0.002)	blur(0.002)	friend(0.002)	print(0.002)	bought(0.002)	replac(0.002)	thought(0.002)	test(0.002)	
Topic 24(0.036):	soni(0.115)	issu(0.028)	review(0.026)	click(0.025)	thing(0.010)	nois(0.009)	time(0.009)	play(0.008)	day(0.008)	purchas(0.008)	product(0.008)	amaz(0.007)	move(0.007)	sound(0.006)	buy(0.006)	problem(0.005)	notic(0.005)	disappoint(0.005)	wait(0.005)	better(0.005)	thought(0.005)	final(0.004)	return(0.004)	love(0.004)	featur(0.004)	find(0.004)	cybershot(0.003)	hope(0.003)	read(0.003)	good(0.003)	star(0.003)	upgrad(0.003)	sell(0.003)	impress(0.003)	bought(0.003)	continu(0.003)	great(0.003)	big(0.003)	improv(0.003)	unit(0.003)	price(0.003)	compact(0.003)	test(0.002)	qualiti(0.002)	perfect(0.002)	model(0.002)	year(0.002)	updat(0.002)	replac(0.002)	decid(0.002)	
Topic 25(0.036):	flash(0.052)	button(0.047)	featur(0.014)	press(0.013)	hand(0.010)	good(0.009)	case(0.009)	color(0.009)	hold(0.008)	shoot(0.008)	work(0.008)	easi(0.007)	small(0.007)	time(0.007)	find(0.006)	function(0.006)	long(0.006)	filter(0.006)	red(0.006)	grip(0.006)	qualiti(0.005)	set(0.005)	white(0.005)	chang(0.005)	adjust(0.005)	includ(0.005)	great(0.005)	thing(0.004)	snap(0.004)	subject(0.004)	len(0.004)	front(0.004)	add(0.004)	attach(0.004)	shutter(0.004)	buy(0.004)	eye(0.004)	live(0.004)	menus(0.004)	face(0.004)	dial(0.004)	finger(0.003)	size(0.003)	carri(0.003)	zoom(0.003)	push(0.003)	bag(0.003)	choos(0.003)	pro(0.003)	perfect(0.003)	
