Topic 11(0.040):	camera(0.102)	qualiti(0.049)	pictur(0.037)	great(0.025)	good(0.022)	front(0.022)	flash(0.019)	light(0.017)	video(0.017)	face(0.012)	decent(0.012)	speaker(0.011)	sound(0.011)	amaz(0.010)	pretti(0.009)	screen(0.009)	feel(0.008)	clear(0.008)	better(0.007)	low(0.007)	thing(0.007)	bright(0.006)	fast(0.005)	loud(0.005)	build(0.005)	photo(0.005)	high(0.005)	plastic(0.005)	solid(0.004)	lack(0.004)	lot(0.004)	bit(0.004)	respons(0.004)	perfect(0.004)	best(0.003)	smooth(0.003)	compar(0.003)	hand(0.003)	expect(0.003)	full(0.003)	case(0.003)	heavi(0.002)	music(0.002)	size(0.002)	shot(0.002)	game(0.002)	fair(0.002)	time(0.002)	audio(0.002)	cheap(0.002)	
Topic 12(0.039):	nokia(0.099)	lumia(0.045)	smartphon(0.030)	window(0.023)	price(0.021)	featur(0.015)	map(0.013)	best(0.013)	thing(0.011)	free(0.011)	better(0.011)	tmobil(0.010)	great(0.010)	devic(0.009)	music(0.009)	find(0.008)	camera(0.007)	expect(0.007)	gps(0.007)	basic(0.007)	high(0.006)	navig(0.006)	smart(0.006)	app(0.006)	offer(0.005)	qualiti(0.005)	offlin(0.005)	deal(0.004)	drive(0.004)	cost(0.004)	budget(0.004)	store(0.004)	lot(0.004)	point(0.004)	function(0.003)	surpris(0.003)	easi(0.003)	limit(0.003)	consid(0.003)	experi(0.003)	entri(0.003)	feel(0.003)	includ(0.003)	light(0.003)	purchas(0.003)	bit(0.003)	pay(0.003)	add(0.002)	extra(0.002)	learn(0.002)	
Topic 13(0.041):	batteri(0.231)	life(0.080)	day(0.052)	charg(0.036)	hour(0.028)	turn(0.011)	remov(0.009)	die(0.008)	long(0.008)	power(0.008)	time(0.008)	drain(0.007)	full(0.006)	terribl(0.005)	usag(0.004)	night(0.004)	replac(0.004)	lot(0.003)	mode(0.003)	great(0.003)	short(0.002)	month(0.002)	dead(0.002)	decent(0.002)	background(0.002)	better(0.002)	good(0.002)	recharg(0.002)	half(0.002)	thing(0.002)	screen(0.002)	year(0.002)	fast(0.002)	wonder(0.002)	saver(0.002)	low(0.002)	hand(0.002)	bad(0.002)	hold(0.002)	user(0.002)	pretti(0.002)	problem(0.001)	review(0.001)	week(0.001)	extend(0.001)	recommend(0.001)	expect(0.001)	work(0.001)	amaz(0.001)	constant(0.001)	
Topic 14(0.038):	unlock(0.082)	att(0.054)	htc(0.040)	4g(0.033)	tmobil(0.029)	network(0.028)	3g(0.024)	work(0.021)	lock(0.017)	inspir(0.014)	gsm(0.011)	carrier(0.009)	2g(0.008)	code(0.006)	compat(0.006)	lte(0.005)	band(0.005)	brand(0.005)	talk(0.005)	buy(0.004)	purchas(0.004)	mobil(0.004)	straight(0.004)	support(0.003)	advertis(0.003)	frequenc(0.003)	live(0.003)	receiv(0.003)	time(0.002)	upgrad(0.002)	speed(0.002)	local(0.002)	great(0.002)	wrong(0.002)	data(0.002)	rom(0.002)	user(0.002)	suppos(0.002)	bought(0.002)	issu(0.002)	reason(0.002)	read(0.002)	fast(0.002)	requir(0.002)	recommend(0.002)	internet(0.002)	deal(0.002)	return(0.002)	oversea(0.002)	area(0.002)	
Topic 15(0.041):	great(0.232)	love(0.113)	price(0.041)	easi(0.020)	awesom(0.017)	recommend(0.016)	smart(0.013)	fast(0.012)	perfect(0.005)	featur(0.005)	best(0.004)	amaz(0.004)	high(0.004)	happi(0.003)	bought(0.003)	expect(0.003)	lot(0.003)	deal(0.002)	simpl(0.002)	friend(0.002)	daughter(0.002)	absolut(0.002)	case(0.002)	smartphon(0.002)	good(0.002)	cheap(0.002)	iphon(0.002)	user(0.002)	thing(0.002)	definit(0.002)	super(0.002)	upgrad(0.002)	person(0.001)	beat(0.001)	wonder(0.001)	camera(0.001)	better(0.001)	day(0.001)	sound(0.001)	fun(0.001)	hope(0.001)	problem(0.001)	mine(0.001)	oper(0.001)	beauti(0.001)	window(0.001)	pictur(0.001)	nice(0.001)	size(0.001)	big(0.001)	
Topic 16(0.039):	screen(0.146)	button(0.038)	touch(0.032)	case(0.026)	drop(0.014)	time(0.012)	feel(0.012)	cover(0.012)	big(0.011)	small(0.011)	keyboard(0.010)	size(0.010)	side(0.009)	hold(0.008)	top(0.008)	hand(0.008)	protector(0.007)	fit(0.005)	left(0.005)	cheap(0.005)	type(0.005)	power(0.004)	pretti(0.004)	respons(0.004)	finger(0.004)	hit(0.004)	qualiti(0.004)	design(0.004)	bit(0.004)	press(0.004)	pocket(0.004)	fast(0.003)	easili(0.003)	annoy(0.003)	thing(0.003)	lot(0.003)	better(0.003)	lag(0.003)	scratch(0.003)	glass(0.003)	turn(0.003)	touchscreen(0.003)	slide(0.003)	sensit(0.002)	bright(0.002)	inch(0.002)	find(0.002)	open(0.002)	camera(0.002)	list(0.002)	
Topic 17(0.037):	samsung(0.076)	galaxi(0.049)	iphon(0.027)	better(0.025)	s3(0.021)	screen(0.011)	droid(0.009)	softwar(0.009)	featur(0.009)	upgrad(0.008)	best(0.008)	version(0.007)	market(0.006)	great(0.006)	motorola(0.006)	razr(0.006)	user(0.005)	big(0.005)	iii(0.004)	year(0.004)	appl(0.004)	good(0.004)	high(0.004)	hand(0.004)	s4(0.004)	size(0.004)	issu(0.004)	review(0.004)	qualiti(0.003)	compar(0.003)	improv(0.003)	model(0.003)	oper(0.003)	replac(0.003)	week(0.003)	current(0.003)	display(0.003)	day(0.003)	android(0.003)	4s(0.003)	perform(0.003)	lock(0.003)	search(0.003)	recept(0.003)	speed(0.002)	perfect(0.002)	ii(0.002)	thing(0.002)	hardwar(0.002)	video(0.002)	
Topic 18(0.038):	buy(0.091)	bought(0.070)	money(0.058)	wast(0.020)	recommend(0.013)	suck(0.011)	piec(0.010)	worth(0.010)	time(0.009)	wife(0.008)	month(0.007)	work(0.006)	save(0.006)	spend(0.005)	worst(0.005)	son(0.005)	horribl(0.005)	product(0.005)	year(0.004)	crap(0.004)	cheap(0.004)	good(0.004)	week(0.004)	purchas(0.004)	total(0.004)	terribl(0.004)	slow(0.004)	lot(0.003)	happi(0.003)	bad(0.003)	broke(0.003)	disappoint(0.003)	junk(0.003)	problem(0.003)	turn(0.003)	thing(0.003)	deal(0.003)	extra(0.002)	gift(0.002)	replac(0.002)	function(0.002)	useless(0.002)	cell(0.002)	better(0.002)	paid(0.002)	friend(0.002)	return(0.002)	best(0.002)	break(0.002)	expect(0.002)	
Topic 19(0.038):	app(0.115)	updat(0.035)	play(0.032)	download(0.030)	googl(0.029)	android(0.018)	store(0.016)	game(0.014)	instal(0.013)	find(0.008)	applic(0.008)	gps(0.007)	free(0.007)	lot(0.007)	root(0.006)	type(0.006)	space(0.006)	move(0.006)	set(0.005)	facebook(0.005)	list(0.004)	major(0.004)	memori(0.004)	youtub(0.004)	music(0.004)	disabl(0.004)	keyboard(0.004)	load(0.004)	delet(0.004)	locat(0.003)	good(0.003)	map(0.003)	pretti(0.003)	video(0.003)	navig(0.003)	manag(0.003)	screen(0.003)	automat(0.003)	develop(0.003)	chines(0.002)	thing(0.002)	browser(0.002)	annoy(0.002)	time(0.002)	bloatwar(0.002)	limit(0.002)	upgrad(0.002)	peopl(0.002)	full(0.002)	data(0.002)	
Topic 20(0.041):	app(0.077)	window(0.076)	android(0.073)	iphon(0.034)	os(0.023)	microsoft(0.016)	appl(0.014)	price(0.014)	system(0.012)	tile(0.010)	smart(0.010)	better(0.010)	io(0.010)	thing(0.009)	best(0.009)	compar(0.008)	user(0.008)	limit(0.007)	store(0.007)	easi(0.006)	oper(0.006)	flash(0.006)	smartphon(0.005)	lot(0.005)	cheap(0.005)	lack(0.004)	hardwar(0.004)	wo(0.004)	file(0.003)	con(0.003)	photo(0.003)	featur(0.003)	live(0.003)	devic(0.003)	feel(0.003)	interfac(0.003)	platform(0.003)	skydriv(0.003)	find(0.003)	wp8(0.003)	account(0.003)	smooth(0.002)	great(0.002)	beat(0.002)	easili(0.002)	upgrad(0.002)	facebook(0.002)	year(0.002)	open(0.002)	tablet(0.002)	
Topic 21(0.036):	verizon(0.067)	cell(0.031)	review(0.029)	peopl(0.025)	time(0.018)	carrier(0.011)	star(0.010)	watch(0.009)	work(0.008)	year(0.008)	check(0.007)	model(0.007)	softwar(0.007)	thing(0.007)	buy(0.006)	lock(0.006)	reason(0.005)	store(0.005)	read(0.005)	friend(0.005)	good(0.005)	chang(0.005)	purchas(0.005)	featur(0.005)	user(0.005)	switch(0.004)	wireless(0.004)	better(0.004)	three(0.004)	sprint(0.004)	cool(0.004)	best(0.003)	find(0.003)	problem(0.003)	call(0.003)	updat(0.003)	thought(0.003)	help(0.003)	day(0.003)	week(0.003)	start(0.003)	function(0.003)	wrong(0.003)	clear(0.002)	rate(0.002)	decid(0.002)	amazon(0.002)	person(0.002)	hope(0.002)	comment(0.002)	
Topic 22(0.040):	call(0.058)	text(0.054)	messag(0.034)	set(0.018)	button(0.018)	featur(0.016)	volum(0.015)	hear(0.015)	turn(0.012)	option(0.012)	number(0.012)	sound(0.011)	voic(0.010)	ring(0.010)	thing(0.010)	open(0.009)	send(0.009)	time(0.009)	qualiti(0.008)	peopl(0.007)	email(0.007)	press(0.007)	speaker(0.007)	figur(0.007)	alarm(0.007)	rington(0.006)	person(0.006)	menu(0.006)	dial(0.006)	function(0.005)	flip(0.005)	find(0.005)	basic(0.005)	type(0.005)	annoy(0.004)	loud(0.004)	manual(0.004)	tone(0.004)	contact(0.004)	chang(0.004)	delet(0.004)	vibrat(0.003)	side(0.003)	difficult(0.003)	three(0.003)	drop(0.003)	design(0.003)	receiv(0.003)	day(0.003)	bit(0.003)	
Topic 23(0.035):	bad(0.057)	blackberri(0.023)	slow(0.018)	con(0.014)	el(0.011)	la(0.009)	es(0.008)	de(0.008)	bb(0.008)	en(0.007)	bought(0.007)	recommend(0.006)	product(0.005)	perfect(0.005)	happi(0.005)	buy(0.005)	friend(0.004)	lo(0.004)	return(0.004)	disappoint(0.004)	system(0.004)	good(0.004)	expect(0.004)	venezuela(0.004)	muy(0.004)	upgrad(0.004)	lot(0.004)	time(0.004)	thing(0.003)	work(0.003)	chang(0.003)	cell(0.003)	day(0.003)	respons(0.003)	problem(0.003)	se(0.003)	para(0.003)	user(0.003)	help(0.003)	screen(0.003)	internet(0.003)	year(0.003)	long(0.003)	est(0.002)	iphon(0.002)	great(0.002)	better(0.002)	thought(0.002)	nice(0.002)	model(0.002)	
Topic 24(0.037):	music(0.029)	featur(0.018)	bluetooth(0.017)	player(0.013)	voic(0.012)	good(0.011)	contact(0.010)	lot(0.010)	usb(0.010)	sync(0.009)	includ(0.009)	function(0.009)	softwar(0.009)	video(0.008)	file(0.008)	sound(0.008)	web(0.008)	set(0.008)	mp3(0.007)	easi(0.007)	play(0.007)	allow(0.006)	great(0.006)	listen(0.006)	keyboard(0.006)	comput(0.006)	email(0.006)	camera(0.006)	qualiti(0.006)	pc(0.005)	radio(0.005)	thing(0.005)	access(0.005)	connect(0.005)	support(0.005)	better(0.005)	headphon(0.005)	work(0.005)	standard(0.005)	photo(0.004)	expect(0.004)	pictur(0.004)	pretti(0.004)	speaker(0.004)	year(0.004)	media(0.004)	calendar(0.004)	interfac(0.004)	command(0.004)	motorola(0.004)	
Topic 25(0.038):	devic(0.028)	fast(0.020)	screen(0.018)	android(0.015)	processor(0.015)	storag(0.014)	ram(0.013)	nexus(0.012)	feel(0.011)	version(0.011)	user(0.011)	best(0.011)	core(0.010)	gb(0.009)	perform(0.008)	camera(0.008)	power(0.008)	better(0.007)	display(0.007)	spec(0.006)	speed(0.006)	big(0.006)	ghz(0.006)	smooth(0.006)	softwar(0.005)	quad(0.005)	size(0.005)	resolut(0.005)	video(0.005)	featur(0.005)	amaz(0.005)	design(0.005)	hd(0.005)	high(0.005)	game(0.004)	impress(0.004)	great(0.004)	intern(0.004)	s4(0.004)	pixel(0.004)	lte(0.004)	hardwar(0.004)	googl(0.004)	experi(0.004)	dual(0.004)	batteri(0.004)	snapdragon(0.004)	faster(0.004)	bright(0.004)	cpu(0.004)	
