Category,Camera,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12
,great,great,factor,good,dock,len,len,canon,focus,work,shoot,write,imag
,soni,love,lens,qualiti,charg,week,canon,focus,feel,softwar,capabl,point,compress
,record,pic,soni,batteri,screen,touch,lumix,feel,work,comput,optic,imag,small
,excit,check,dslr,pretti,recharg,view,complet,pick,factor,wifi,price,photograph,iso
,hd,len,good,imag,charger,display,turn,70d,thing,zoom,great,dslr,high
,sound,easi,len,better,batteri,lcd,cover,af,bit,connect,digit,shoot,qualiti
,video,price,nex5n,price,life,screen,panason,lens,better,wait,zoom,shot,nois
Answer 1:,sound,love,nex5n,pretti,dock,week,turn,af,feel,wifi,comput,write,nois
Answer 2:,,,,imag,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12
,light,canon,screen,focus,portrait,len,len,water,good,great,zoom,zoom,qualiti
,low,nikon,focus,lens,photo,parti,iq,work,price,offer,set,canon,canon
,canon,screen,lcd,great,shot,flash,water,includ,great,good,focus,qualiti,problem
,easi,invest,flash,imag,video,color,soni,good,batteri,love,dslr,optic,batteri
,nois,70d,len,better,qualiti,light,good,great,consid,mode,auto,digit,good
,imag,photograph,button,len,great,shot,lens,underwat,nice,price,manual,imag,shoot
,iso,dslr,frame,view,shoot,photo,kit,waterproof,easi,bought,mode,viewfind,point
Answer 1:,light,invest,button,better,video,parti,iq,work,consid,love,set,optic,batteri
Answer 2:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12
,video,zoom,batteri,compart,shoot,d800,imag,imag,len,focus,focus,bought,screen
,qualiti,shutter,bit,great,model,point,lens,iso,cover,manual,spot,year,lcd
,good,impress,review,money,good,nikon,qualiti,len,set,time,shot,screen,bright
,zoom,batteri,recharg,waterproof,zoom,love,len,cover,pocket,disappoint,mode,purchas,nice
,shutter,shot,charger,bought,qualiti,soni,screen,high,time,auto,bought,love,nikon
,record,issu,charg,review,price,shoot,better,qualiti,open,mode,light,canon,view
,youtub,len,life,water,great,qualiti,soni,apertur,unit,set,low,carri,record
Answer 1:,good,impress,review,review,price,d800,imag,iso,pocket,disappoint,bought,carri,record
Answer 2:,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 0,topic 1,topic 2,topic 3,topic 4,topic 5,topic 6,topic 7,topic 8,topic 9,topic 10,topic 11,topic 12
,len,great,card,screen,light,light,great,comfort,kid,great,great,great,great
,qualiti,good,qualiti,memori,mode,mode,d610,easi,bought,work,price,good,auto
,small,bag,lcd,great,video,nikon,problem,bought,love,expect,autofocus,qualiti,qualiti
,great,small,review,batteri,button,slow,issu,screen,year,zoom,good,easi,easi
,pro,review,price,good,set,photo,d7000,nice,good,canon,video,softwar,len
,good,qualiti,great,card,screen,shot,nikon,great,great,year,qualiti,love,good
,imag,price,good,2gb,requir,set,product,good,work,bought,zoom,price,photo
Answer 1:,pro,bag,card,batteri,requir,shot,great,screen,kid,year,zoom,softwar,photo
Answer 2:,,,,,,,,,,,,,
