Category,Phone,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25
,batteri,great,great,samsung,samsung,glad,app,app,call,bad,bad,music,devic
,life,att,love,button,galaxi,bought,updat,verizon,receiv,simpl,blackberri,total,charg
,day,htc,price,touch,test,app,play,android,review,messag,slow,bluetooth,screen
,charg,4g,pros,case,buy,wast,window,simpli,peopl,set,music,player,android
,unlock,tmobil,screen,friend,s3,recommend,googl,os,time,button,el,devic,nfc
,hour,unlock,easi,drop,iphon,buy,download,iphon,cell,text,con,featur,processor
,switch,reciev,awesom,screen,better,money,room,window,verizon,call,featur,voic,fast
Answer 1:,unlock,htc,easi,case,test,wast,play,window,peopl,set,el,total,nfc
Answer 2:,switch,,,,,money,room,,time,call,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25
,servic,call,card,return,good,good,android,good,perfect,sim,sim,europ,batteri
,call,start,call,big,amazon,great,updat,month,great,includ,unlock,screen,button
,custom,featur,memori,qualiti,cost,solid,work,daughter,product,day,work,att,error
,set,work,long,hear,work,android,peopl,time,batteri,life,tmobil,tmobil,text
,tmobil,card,music,good,product,life,el,bought,nice,charger,expens,4g,time
,month,set,sd,signal,seller,batteri,softwar,buy,good,charg,att,work,call
,unlimit,number,app,call,return,price,app,work,case,batteri,card,unlock,screen
Answer 1:,set,card,call,return,cost,price,el,time,case,day,unlock,europ,time
Answer 2:,,,,big,work,,app,work,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25
,batteri,call,lower,screen,card,resolut,work,app,work,return,return,product,screen
,good,wifi,feel,call,time,sd,purchas,big,insert,find,servic,unlock,contact
,call,great,nice,touch,nice,work,appear,android,sim,great,troubl,unit,year
,great,tmobil,screen,big,drop,storag,batteri,work,batteri,good,product,expect,work
,half,calendar,good,color,text,slot,app,store,att,day,custom,month,plan
,app,data,great,case,work,card,seller,window,card,life,money,review,bought
,life,work,price,resist,call,memori,good,download,unlock,batteri,time,purchas,month
Answer 1:,app,calendar,feel,big,drop,resolut,work,big,work,find,product,purchas,year
Answer 2:,half,,lower,,,work,appear,window,,return,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,topic 13,topic 14,topic 15,topic 16,topic 17,topic 18,topic 19,topic 20,topic 21,topic 22,topic 23,topic 24,topic 25
,app,screen,call,worri,sim,move,batteri,batteri,work,love,number,call,app
,servic,call,screen,good,work,window,android,work,happi,great,work,read,charg
,memori,custom,good,sim,card,servic,great,android,buy,bought,time,work,life
,sd,switch,os,drop,tmobil,call,price,screen,love,work,call,problem,day
,storag,time,app,button,difficult,signal,long,bloatwar,batteri,text,screen,batteri,work
,card,work,time,screen,att,work,app,camera,return,good,good,time,batteri
,media,servic,work,case,unlock,tmobil,window,good,product,refurbish,text,good,cheap
Answer 1:,media,switch,work,worri,work,signal,window,bloatwar,return,work,number,read,cheap
Answer 2:,,,screen,button,,,,,,text,,,
