Topic 11(0.033):	screen(0.211)	touch(0.073)	respons(0.028)	resolut(0.007)	fast(0.004)	button(0.004)	nice(0.003)	bit(0.003)	qualiti(0.003)	size(0.003)	time(0.003)	good(0.003)	second(0.003)	clear(0.003)	weight(0.003)	complet(0.003)	turn(0.002)	bright(0.002)	angl(0.002)	day(0.002)	sensit(0.002)	app(0.002)	system(0.002)	sound(0.002)	work(0.002)	pretti(0.002)	thing(0.002)	problem(0.002)	light(0.002)	disappoint(0.002)	review(0.002)	finger(0.002)	expect(0.002)	better(0.002)	replac(0.002)	price(0.002)	easi(0.002)	play(0.002)	game(0.002)	read(0.002)	respond(0.002)	lot(0.002)	bought(0.002)	help(0.002)	touchscreen(0.002)	set(0.002)	month(0.002)	freez(0.002)	speaker(0.002)	function(0.002)	
Topic 12(0.034):	charg(0.134)	charger(0.038)	turn(0.030)	plug(0.023)	power(0.021)	time(0.020)	hour(0.018)	day(0.015)	batteri(0.014)	start(0.011)	work(0.010)	long(0.007)	fulli(0.007)	cabl(0.006)	button(0.006)	wo(0.006)	second(0.005)	hold(0.005)	month(0.004)	instruct(0.004)	dead(0.004)	buy(0.003)	die(0.003)	thought(0.003)	minut(0.003)	nice(0.003)	problem(0.003)	complet(0.003)	week(0.002)	disappoint(0.002)	tabl(0.002)	screen(0.002)	bad(0.002)	shut(0.002)	wait(0.002)	play(0.002)	box(0.002)	purchas(0.002)	find(0.002)	left(0.002)	hope(0.002)	set(0.002)	full(0.002)	longer(0.002)	fast(0.002)	hot(0.002)	good(0.002)	comput(0.002)	night(0.002)	unit(0.002)	
Topic 13(0.032):	keyboard(0.104)	dock(0.038)	laptop(0.022)	bluetooth(0.021)	pretti(0.013)	easi(0.011)	type(0.009)	mous(0.009)	better(0.008)	work(0.007)	game(0.007)	nice(0.006)	great(0.006)	station(0.005)	perfect(0.005)	attach(0.005)	find(0.005)	includ(0.005)	case(0.004)	thing(0.004)	bit(0.004)	function(0.004)	offic(0.004)	problem(0.004)	issu(0.004)	time(0.004)	full(0.004)	screen(0.004)	bought(0.003)	lot(0.003)	good(0.003)	hold(0.003)	perform(0.003)	touch(0.003)	updat(0.003)	long(0.003)	extra(0.003)	recommend(0.003)	batteri(0.002)	replac(0.002)	addit(0.002)	featur(0.002)	win(0.002)	built(0.002)	love(0.002)	graphic(0.002)	hand(0.002)	heavi(0.002)	buy(0.002)	accept(0.002)	
Topic 14(0.033):	good(0.185)	price(0.038)	bad(0.022)	great(0.014)	perform(0.008)	pretti(0.007)	qualiti(0.007)	nice(0.007)	tab(0.006)	fast(0.006)	screen(0.005)	display(0.005)	work(0.005)	high(0.004)	resolut(0.004)	time(0.003)	size(0.003)	bit(0.003)	product(0.003)	sound(0.003)	video(0.003)	decent(0.003)	game(0.003)	pixel(0.003)	light(0.003)	best(0.003)	reason(0.003)	thing(0.002)	respons(0.002)	lot(0.002)	expect(0.002)	color(0.002)	easi(0.002)	hand(0.002)	basic(0.002)	recommend(0.002)	includ(0.002)	bought(0.002)	impress(0.002)	happi(0.002)	better(0.002)	android(0.002)	play(0.002)	feel(0.002)	complet(0.002)	hold(0.002)	web(0.002)	softwar(0.002)	pay(0.002)	app(0.002)	
Topic 15(0.033):	great(0.182)	fast(0.043)	price(0.024)	easi(0.016)	light(0.014)	size(0.006)	best(0.006)	nice(0.005)	display(0.005)	screen(0.004)	weight(0.004)	speed(0.004)	big(0.004)	perfect(0.004)	respons(0.003)	lot(0.003)	excel(0.003)	awesom(0.003)	amaz(0.003)	work(0.003)	super(0.003)	better(0.003)	con(0.003)	bought(0.002)	featur(0.002)	resolut(0.002)	clear(0.002)	game(0.002)	product(0.002)	high(0.002)	deal(0.002)	absolut(0.002)	enjoy(0.002)	purchas(0.002)	good(0.002)	web(0.002)	buy(0.002)	processor(0.002)	beauti(0.002)	love(0.002)	happi(0.002)	recommend(0.002)	pretti(0.002)	time(0.002)	comput(0.002)	smooth(0.002)	watch(0.002)	perform(0.002)	speaker(0.002)	problem(0.002)	
Topic 16(0.033):	screen(0.082)	buy(0.043)	crack(0.028)	case(0.026)	drop(0.019)	cover(0.014)	glass(0.013)	month(0.011)	bought(0.011)	protect(0.009)	find(0.009)	damag(0.008)	scratch(0.007)	cost(0.007)	week(0.005)	replac(0.004)	nice(0.004)	broke(0.004)	gorilla(0.004)	edg(0.004)	easi(0.003)	warranti(0.003)	fault(0.003)	read(0.003)	product(0.003)	lcd(0.003)	corner(0.003)	day(0.003)	break(0.003)	problem(0.003)	piec(0.003)	mine(0.003)	brand(0.003)	unit(0.003)	pay(0.003)	hold(0.003)	great(0.003)	good(0.002)	time(0.002)	hous(0.002)	lot(0.002)	bad(0.002)	review(0.002)	durabl(0.002)	total(0.002)	qualiti(0.002)	best(0.002)	toshiba(0.002)	top(0.002)	money(0.002)	
Topic 17(0.034):	ipad(0.155)	appl(0.068)	air(0.020)	product(0.017)	better(0.015)	mini(0.011)	buy(0.010)	lot(0.010)	android(0.010)	crash(0.009)	compar(0.007)	io(0.007)	wife(0.006)	peopl(0.005)	iphon(0.005)	purchas(0.005)	user(0.005)	app(0.005)	review(0.004)	display(0.004)	retina(0.004)	feel(0.004)	origin(0.004)	find(0.003)	design(0.003)	busi(0.003)	improv(0.003)	disappoint(0.003)	phone(0.003)	day(0.003)	screen(0.003)	faster(0.003)	issu(0.003)	hardwar(0.002)	machin(0.002)	store(0.002)	big(0.002)	devic(0.002)	watch(0.002)	time(0.002)	comput(0.002)	itun(0.002)	love(0.002)	web(0.002)	softwar(0.002)	laptop(0.002)	best(0.002)	expens(0.002)	learn(0.002)	read(0.002)	
Topic 18(0.036):	product(0.076)	return(0.046)	purchas(0.031)	order(0.030)	receiv(0.027)	ship(0.025)	item(0.024)	replac(0.022)	box(0.021)	day(0.021)	amazon(0.020)	refurbish(0.014)	newegg(0.012)	disappoint(0.011)	arriv(0.010)	seller(0.009)	defect(0.008)	refund(0.007)	packag(0.007)	week(0.006)	contact(0.005)	deal(0.004)	brand(0.004)	condit(0.004)	scratch(0.004)	process(0.004)	paid(0.004)	vendor(0.003)	buy(0.003)	pay(0.003)	send(0.003)	review(0.003)	thought(0.003)	start(0.003)	sell(0.003)	mark(0.003)	hope(0.003)	bought(0.002)	wait(0.002)	month(0.002)	work(0.002)	happi(0.002)	money(0.002)	recommend(0.002)	advertis(0.002)	warranti(0.002)	power(0.002)	ago(0.002)	today(0.002)	parti(0.002)	
Topic 19(0.035):	app(0.155)	play(0.068)	game(0.052)	googl(0.049)	store(0.038)	download(0.011)	instal(0.008)	netflix(0.007)	allow(0.005)	access(0.005)	great(0.005)	nexus(0.004)	android(0.004)	time(0.004)	account(0.004)	movi(0.004)	watch(0.004)	system(0.004)	includ(0.003)	compat(0.003)	load(0.003)	easili(0.003)	thing(0.003)	select(0.003)	os(0.003)	video(0.003)	limit(0.003)	easi(0.003)	control(0.002)	good(0.002)	display(0.002)	price(0.002)	work(0.002)	brows(0.002)	applic(0.002)	lot(0.002)	expect(0.002)	email(0.002)	music(0.002)	screen(0.002)	market(0.002)	basic(0.002)	box(0.002)	find(0.002)	buy(0.002)	reason(0.002)	file(0.002)	nice(0.002)	option(0.002)	second(0.002)	
Topic 20(0.033):	usb(0.078)	port(0.047)	power(0.029)	hdmi(0.022)	cabl(0.020)	micro(0.018)	adapt(0.017)	drive(0.009)	includ(0.008)	plug(0.008)	connector(0.007)	connect(0.007)	full(0.006)	bit(0.006)	nice(0.005)	charg(0.005)	size(0.005)	proprietari(0.004)	better(0.004)	con(0.004)	case(0.004)	work(0.004)	comput(0.004)	standard(0.004)	android(0.003)	acer(0.003)	respons(0.003)	version(0.003)	mini(0.003)	lock(0.003)	feel(0.003)	price(0.003)	phone(0.003)	screen(0.003)	good(0.003)	video(0.003)	output(0.003)	buy(0.003)	button(0.002)	cord(0.002)	extern(0.002)	batteri(0.002)	file(0.002)	cpu(0.002)	side(0.002)	featur(0.002)	bought(0.002)	speaker(0.002)	sit(0.002)	perform(0.002)	
Topic 21(0.033):	asus(0.068)	issu(0.037)	tf300(0.030)	screen(0.017)	feel(0.016)	transform(0.016)	better(0.015)	review(0.011)	plastic(0.010)	pad(0.009)	notic(0.009)	bright(0.008)	display(0.008)	time(0.008)	light(0.007)	game(0.006)	tegra(0.006)	prime(0.006)	color(0.006)	thing(0.005)	perform(0.005)	android(0.005)	point(0.005)	pretti(0.005)	softwar(0.005)	qualiti(0.004)	peopl(0.003)	price(0.003)	day(0.003)	decid(0.003)	close(0.003)	hope(0.003)	open(0.003)	design(0.003)	good(0.003)	impress(0.003)	bleed(0.003)	build(0.003)	wait(0.003)	best(0.003)	prefer(0.003)	mode(0.003)	problem(0.003)	case(0.003)	star(0.003)	black(0.003)	consid(0.003)	great(0.003)	happi(0.003)	edg(0.002)	
Topic 22(0.032):	samsung(0.096)	galaxi(0.035)	app(0.026)	work(0.015)	phone(0.013)	buy(0.012)	perform(0.010)	screen(0.009)	find(0.008)	reason(0.007)	support(0.006)	tab(0.006)	review(0.006)	time(0.006)	day(0.006)	model(0.006)	inch(0.005)	experi(0.005)	resolut(0.005)	function(0.005)	rear(0.004)	camera(0.004)	disappoint(0.004)	type(0.004)	email(0.004)	bright(0.004)	account(0.004)	lack(0.004)	allow(0.004)	price(0.004)	devic(0.004)	excel(0.003)	absolut(0.003)	compat(0.003)	generat(0.003)	charg(0.003)	correct(0.003)	better(0.003)	best(0.003)	worth(0.003)	year(0.003)	custom(0.003)	os(0.003)	updat(0.003)	servic(0.003)	eye(0.003)	side(0.002)	cost(0.002)	thought(0.002)	wifi(0.002)	
Topic 23(0.038):	asus(0.036)	custom(0.034)	support(0.033)	servic(0.033)	call(0.031)	repair(0.025)	warranti(0.022)	problem(0.020)	product(0.019)	send(0.019)	week(0.019)	month(0.018)	compani(0.015)	email(0.015)	tech(0.014)	replac(0.014)	told(0.014)	contact(0.013)	help(0.013)	day(0.011)	receiv(0.009)	number(0.009)	purchas(0.009)	ship(0.008)	time(0.008)	cost(0.007)	final(0.007)	issu(0.006)	rma(0.006)	respond(0.006)	buy(0.005)	return(0.005)	start(0.005)	work(0.005)	care(0.005)	phone(0.005)	defect(0.004)	year(0.004)	pay(0.004)	three(0.004)	find(0.003)	address(0.003)	rep(0.003)	cours(0.003)	manufactur(0.003)	center(0.003)	complet(0.003)	hope(0.003)	point(0.003)	busi(0.003)	
Topic 24(0.033):	android(0.087)	flash(0.022)	app(0.022)	browser(0.021)	updat(0.015)	os(0.014)	instal(0.012)	upgrad(0.011)	crash(0.011)	open(0.010)	system(0.008)	player(0.007)	web(0.007)	softwar(0.006)	set(0.006)	support(0.006)	problem(0.006)	root(0.005)	oper(0.005)	work(0.005)	user(0.005)	lag(0.005)	mode(0.005)	adob(0.005)	bean(0.005)	interfac(0.005)	jelli(0.005)	great(0.004)	hardwar(0.004)	close(0.004)	develop(0.004)	tab(0.003)	best(0.003)	ice(0.003)	switch(0.003)	buy(0.003)	reason(0.003)	good(0.003)	thing(0.003)	ic(0.003)	stock(0.003)	nexus(0.003)	screen(0.003)	version(0.003)	perform(0.003)	day(0.003)	sandwich(0.003)	phone(0.003)	star(0.002)	cream(0.002)	
Topic 25(0.031):	thing(0.086)	great(0.017)	time(0.016)	fast(0.012)	nice(0.009)	lot(0.009)	size(0.008)	find(0.008)	comput(0.006)	work(0.006)	money(0.006)	good(0.005)	better(0.005)	web(0.004)	happi(0.004)	instruct(0.004)	expect(0.004)	beauti(0.004)	easi(0.004)	screen(0.004)	start(0.004)	long(0.003)	buy(0.003)	light(0.003)	figur(0.003)	bit(0.003)	feel(0.003)	read(0.003)	set(0.003)	help(0.003)	product(0.003)	perfect(0.003)	bad(0.003)	disappoint(0.003)	purchas(0.003)	laptop(0.003)	wait(0.003)	learn(0.003)	pretti(0.003)	play(0.003)	price(0.003)	display(0.003)	small(0.003)	game(0.002)	real(0.002)	clear(0.002)	worth(0.002)	bought(0.002)	love(0.002)	day(0.002)	
Topic 26(0.033):	video(0.054)	sound(0.024)	download(0.020)	screen(0.018)	speaker(0.017)	watch(0.015)	app(0.014)	time(0.013)	movi(0.012)	prime(0.011)	find(0.010)	nexus(0.009)	better(0.008)	play(0.008)	button(0.008)	good(0.008)	turn(0.008)	set(0.008)	view(0.008)	option(0.007)	updat(0.007)	hour(0.007)	side(0.007)	hd(0.006)	best(0.006)	bright(0.006)	top(0.006)	content(0.005)	qualiti(0.005)	kid(0.005)	android(0.005)	volum(0.005)	choic(0.005)	lot(0.005)	hold(0.005)	power(0.005)	great(0.005)	googl(0.005)	version(0.004)	devic(0.004)	featur(0.004)	minut(0.004)	tv(0.004)	amazon(0.004)	day(0.004)	hand(0.004)	support(0.004)	notic(0.004)	left(0.004)	phone(0.004)	
Topic 27(0.032):	camera(0.081)	pictur(0.024)	front(0.023)	price(0.018)	face(0.012)	screen(0.011)	great(0.011)	better(0.008)	good(0.008)	size(0.007)	side(0.006)	qualiti(0.005)	skype(0.005)	time(0.005)	nice(0.005)	rear(0.005)	lot(0.005)	display(0.005)	speaker(0.005)	buy(0.005)	pretti(0.005)	fast(0.004)	work(0.004)	clear(0.004)	game(0.004)	hold(0.004)	feel(0.004)	app(0.004)	load(0.003)	light(0.003)	worth(0.003)	video(0.003)	easi(0.003)	find(0.003)	best(0.003)	sound(0.003)	reason(0.003)	featur(0.003)	wifi(0.003)	processor(0.003)	compar(0.002)	includ(0.002)	read(0.002)	day(0.002)	email(0.002)	excel(0.002)	small(0.002)	enjoy(0.002)	respons(0.002)	resolut(0.002)	
Topic 28(0.040):	kindl(0.134)	fire(0.069)	hdx(0.064)	amazon(0.053)	read(0.037)	book(0.034)	hd(0.023)	love(0.020)	featur(0.010)	movi(0.008)	blue(0.008)	mayday(0.007)	display(0.007)	help(0.007)	offer(0.006)	watch(0.006)	light(0.005)	free(0.005)	email(0.005)	color(0.005)	purchas(0.005)	origin(0.005)	happi(0.005)	recommend(0.004)	upgrad(0.004)	easi(0.004)	amaz(0.004)	special(0.004)	best(0.004)	music(0.004)	download(0.004)	improv(0.004)	notic(0.004)	prime(0.004)	year(0.003)	reader(0.003)	tv(0.003)	white(0.003)	check(0.003)	background(0.003)	easier(0.003)	peopl(0.003)	devic(0.003)	button(0.003)	clear(0.003)	person(0.002)	mini(0.002)	review(0.002)	perfect(0.002)	content(0.002)	
Topic 29(0.032):	qualiti(0.055)	nice(0.037)	processor(0.018)	core(0.016)	build(0.016)	feel(0.012)	quad(0.010)	great(0.009)	display(0.008)	price(0.008)	case(0.008)	con(0.007)	screen(0.007)	better(0.006)	light(0.006)	good(0.005)	bit(0.005)	fast(0.005)	sound(0.005)	soni(0.005)	product(0.005)	lot(0.004)	speaker(0.004)	decent(0.004)	hold(0.004)	size(0.004)	find(0.004)	best(0.004)	design(0.004)	control(0.004)	android(0.004)	expect(0.004)	compar(0.004)	respons(0.003)	option(0.003)	game(0.003)	buy(0.003)	plastic(0.003)	bad(0.003)	issu(0.003)	high(0.003)	easi(0.003)	weight(0.003)	big(0.002)	low(0.002)	read(0.002)	manufactur(0.002)	ram(0.002)	hand(0.002)	hope(0.002)	
