Topic 11(0.021):	button(0.029)	good(0.023)	review(0.019)	user(0.014)	chang(0.013)	cover(0.012)	set(0.011)	design(0.011)	power(0.010)	side(0.010)	color(0.009)	lock(0.009)	featur(0.009)	top(0.009)	screen(0.008)	great(0.008)	pocket(0.007)	thing(0.007)	complaint(0.007)	volum(0.007)	switch(0.007)	camera(0.006)	day(0.006)	push(0.006)	love(0.006)	black(0.006)	plastic(0.006)	function(0.006)	case(0.006)	best(0.006)	menu(0.006)	annoy(0.006)	left(0.006)	nice(0.005)	detail(0.005)	android(0.005)	basic(0.005)	hold(0.005)	press(0.005)	call(0.005)	control(0.005)	posit(0.005)	wrong(0.005)	feel(0.005)	iphon(0.005)	find(0.005)	easili(0.005)	issu(0.005)	level(0.005)	bottom(0.005)	
Topic 12(0.023):	text(0.040)	call(0.021)	email(0.019)	money(0.017)	data(0.016)	internet(0.016)	messag(0.016)	web(0.014)	great(0.013)	good(0.013)	work(0.012)	plan(0.011)	time(0.011)	voic(0.010)	easi(0.009)	account(0.009)	app(0.008)	access(0.008)	wifi(0.008)	featur(0.008)	calendar(0.008)	talk(0.007)	check(0.006)	wast(0.006)	thing(0.006)	unlimit(0.006)	send(0.006)	smart(0.006)	tmobil(0.006)	worth(0.005)	save(0.005)	brows(0.005)	nice(0.005)	best(0.005)	surf(0.005)	basic(0.005)	abil(0.005)	screen(0.005)	setup(0.005)	connect(0.005)	smartphon(0.004)	window(0.004)	function(0.004)	camera(0.004)	read(0.004)	set(0.004)	contact(0.004)	requir(0.004)	perfect(0.004)	peopl(0.004)	
Topic 13(0.030):	screen(0.068)	case(0.026)	touch(0.018)	nice(0.016)	feel(0.012)	big(0.010)	drop(0.010)	scratch(0.010)	small(0.010)	time(0.009)	problem(0.009)	glass(0.009)	protector(0.009)	display(0.008)	work(0.008)	pocket(0.008)	size(0.007)	easili(0.007)	batteri(0.007)	sensit(0.007)	fit(0.007)	crack(0.007)	good(0.007)	cover(0.006)	bit(0.006)	hand(0.006)	s3(0.006)	issu(0.006)	protect(0.006)	buy(0.006)	white(0.006)	cool(0.006)	resolut(0.005)	better(0.005)	plastic(0.005)	light(0.005)	larger(0.005)	durabl(0.005)	bigger(0.005)	bad(0.005)	touchscreen(0.005)	thing(0.005)	black(0.005)	month(0.004)	replac(0.004)	inch(0.004)	accessori(0.004)	ipod(0.004)	watch(0.004)	bought(0.004)	
Topic 14(0.034):	app(0.058)	android(0.028)	window(0.023)	updat(0.015)	work(0.015)	download(0.014)	play(0.013)	os(0.011)	googl(0.010)	game(0.010)	store(0.009)	find(0.009)	iphon(0.008)	softwar(0.008)	time(0.008)	music(0.008)	problem(0.007)	appl(0.007)	instal(0.007)	applic(0.007)	thing(0.007)	devic(0.006)	issu(0.006)	slow(0.006)	microsoft(0.006)	lot(0.006)	user(0.006)	system(0.005)	facebook(0.005)	gps(0.005)	version(0.005)	samsung(0.005)	compar(0.005)	limit(0.004)	freez(0.004)	buy(0.004)	browser(0.004)	better(0.004)	free(0.004)	good(0.004)	internet(0.004)	market(0.004)	open(0.004)	load(0.004)	wifi(0.004)	batteri(0.004)	peopl(0.004)	support(0.004)	lack(0.004)	oper(0.004)	
Topic 15(0.075):	bought(0.033)	buy(0.030)	month(0.028)	purchas(0.023)	product(0.021)	year(0.021)	work(0.020)	money(0.019)	great(0.017)	nokia(0.016)	replac(0.015)	good(0.014)	amazon(0.013)	bad(0.012)	recommend(0.012)	problem(0.011)	ago(0.010)	happi(0.010)	lumia(0.010)	review(0.009)	price(0.009)	wast(0.009)	disappoint(0.009)	love(0.009)	servic(0.008)	week(0.007)	worst(0.007)	time(0.007)	return(0.007)	cell(0.006)	pay(0.006)	deal(0.006)	samsung(0.006)	plan(0.006)	worth(0.006)	tmobil(0.006)	model(0.006)	blu(0.005)	better(0.005)	cheap(0.005)	paid(0.005)	contract(0.005)	start(0.005)	thing(0.005)	best(0.005)	gift(0.004)	compani(0.004)	wife(0.004)	brand(0.004)	lot(0.004)	
Topic 16(0.049):	batteri(0.090)	charg(0.056)	day(0.027)	work(0.020)	charger(0.019)	time(0.019)	life(0.018)	problem(0.017)	hour(0.015)	turn(0.015)	week(0.011)	month(0.010)	port(0.009)	remov(0.009)	plug(0.009)	start(0.008)	issu(0.008)	power(0.008)	great(0.008)	restart(0.007)	screen(0.007)	usb(0.007)	hold(0.007)	long(0.007)	freez(0.006)	replac(0.006)	die(0.006)	shut(0.006)	complet(0.006)	cabl(0.006)	buy(0.006)	bad(0.006)	full(0.005)	thing(0.005)	cord(0.005)	connect(0.005)	devic(0.005)	drain(0.005)	terribl(0.005)	dead(0.005)	usag(0.005)	app(0.004)	bought(0.004)	stay(0.004)	longer(0.004)	recharg(0.004)	purchas(0.004)	return(0.004)	night(0.004)	good(0.004)	
Topic 17(0.025):	call(0.044)	hear(0.028)	speaker(0.026)	sound(0.020)	bluetooth(0.017)	work(0.016)	qualiti(0.015)	time(0.013)	voic(0.012)	volum(0.012)	problem(0.011)	connect(0.011)	headphon(0.011)	piec(0.010)	drop(0.010)	peopl(0.010)	car(0.010)	clear(0.009)	bad(0.009)	loud(0.009)	listen(0.009)	recept(0.009)	turn(0.009)	talk(0.008)	music(0.007)	headset(0.007)	radio(0.007)	ear(0.007)	featur(0.006)	glitch(0.006)	audio(0.006)	person(0.006)	ring(0.005)	signal(0.005)	thing(0.005)	fm(0.005)	set(0.005)	jack(0.005)	nois(0.005)	lot(0.005)	play(0.005)	screen(0.004)	disappoint(0.004)	caller(0.004)	speakerphon(0.004)	great(0.004)	complaint(0.004)	day(0.004)	fine(0.004)	plug(0.004)	
Topic 18(0.039):	camera(0.061)	good(0.052)	better(0.026)	qualiti(0.021)	flash(0.019)	pictur(0.018)	expect(0.017)	nokia(0.016)	bad(0.015)	featur(0.015)	price(0.013)	light(0.011)	front(0.010)	pretti(0.010)	lot(0.009)	face(0.009)	work(0.009)	video(0.009)	decent(0.009)	problem(0.008)	photo(0.007)	basic(0.007)	star(0.007)	screen(0.007)	time(0.006)	thing(0.006)	app(0.006)	low(0.006)	great(0.006)	shot(0.006)	perform(0.005)	lack(0.005)	function(0.005)	batteri(0.005)	iphon(0.005)	choic(0.005)	buy(0.005)	call(0.004)	disappoint(0.004)	compar(0.004)	slow(0.004)	horribl(0.004)	terribl(0.004)	record(0.004)	condit(0.004)	option(0.004)	pic(0.004)	resolut(0.004)	surpris(0.004)	smartphon(0.004)	
Topic 19(0.027):	card(0.081)	sim(0.046)	sd(0.031)	memori(0.026)	work(0.020)	app(0.017)	storag(0.013)	micro(0.012)	intern(0.011)	slot(0.011)	usb(0.010)	microsd(0.009)	music(0.009)	space(0.008)	problem(0.008)	instal(0.008)	box(0.007)	8gb(0.007)	transfer(0.007)	batteri(0.007)	includ(0.006)	time(0.006)	read(0.006)	download(0.006)	file(0.006)	purchas(0.005)	move(0.005)	standard(0.005)	photo(0.005)	updat(0.005)	store(0.005)	gb(0.005)	charger(0.004)	issu(0.004)	video(0.004)	save(0.004)	buy(0.004)	extra(0.004)	bought(0.004)	pc(0.004)	cabl(0.004)	tmobil(0.004)	fine(0.004)	insert(0.004)	16gb(0.004)	applic(0.004)	bad(0.003)	wo(0.003)	open(0.003)	comput(0.003)	
Topic 20(0.061):	return(0.024)	work(0.023)	time(0.021)	receiv(0.019)	day(0.016)	seller(0.015)	order(0.014)	item(0.014)	problem(0.013)	amazon(0.013)	warranti(0.013)	purchas(0.013)	replac(0.012)	box(0.012)	send(0.012)	repair(0.010)	product(0.010)	ship(0.009)	buy(0.009)	samsung(0.009)	week(0.008)	month(0.008)	batteri(0.008)	damag(0.008)	refund(0.008)	custom(0.008)	disappoint(0.007)	contact(0.007)	arriv(0.007)	refurbish(0.007)	help(0.007)	call(0.007)	drop(0.006)	wait(0.006)	brand(0.006)	servic(0.006)	compani(0.006)	hope(0.006)	issu(0.006)	told(0.006)	defect(0.006)	email(0.006)	devic(0.006)	care(0.006)	broken(0.006)	newegg(0.005)	htc(0.005)	bought(0.005)	cover(0.005)	money(0.005)	
Topic 21(0.052):	work(0.030)	tmobil(0.027)	unlock(0.026)	call(0.025)	servic(0.021)	att(0.019)	network(0.014)	time(0.012)	sim(0.012)	wifi(0.012)	card(0.011)	support(0.011)	custom(0.011)	problem(0.011)	activ(0.010)	buy(0.010)	plan(0.009)	carrier(0.009)	verizon(0.009)	cell(0.009)	number(0.008)	lock(0.008)	purchas(0.008)	minut(0.007)	bought(0.007)	mobil(0.007)	data(0.007)	talk(0.006)	told(0.006)	month(0.006)	tech(0.006)	code(0.006)	set(0.005)	compani(0.005)	contact(0.005)	help(0.005)	connect(0.005)	day(0.005)	3g(0.005)	boost(0.005)	signal(0.005)	featur(0.005)	peopl(0.005)	websit(0.005)	pay(0.005)	tracfon(0.005)	seller(0.004)	return(0.004)	store(0.004)	compat(0.004)	
Topic 22(0.026):	4g(0.023)	htc(0.022)	issu(0.015)	3g(0.013)	version(0.013)	upgrad(0.013)	slow(0.012)	inspir(0.012)	samsung(0.012)	android(0.011)	gb(0.011)	ram(0.010)	devic(0.010)	processor(0.010)	lte(0.009)	core(0.009)	speed(0.009)	galaxi(0.009)	review(0.008)	ghz(0.008)	hardwar(0.008)	better(0.008)	fast(0.008)	nexus(0.008)	time(0.008)	work(0.008)	verizon(0.007)	problem(0.007)	tmobil(0.007)	faster(0.007)	releas(0.007)	softwar(0.006)	snapdragon(0.006)	experi(0.006)	head(0.006)	storag(0.006)	motorola(0.006)	support(0.006)	spec(0.005)	price(0.005)	quad(0.005)	capabl(0.005)	disappoint(0.005)	iphon(0.005)	buy(0.005)	model(0.005)	lag(0.005)	sprint(0.005)	desir(0.005)	big(0.004)	
Topic 23(0.025):	keyboard(0.019)	figur(0.019)	el(0.017)	type(0.016)	easi(0.015)	set(0.014)	problem(0.013)	la(0.013)	thing(0.013)	es(0.013)	con(0.013)	de(0.013)	english(0.011)	finger(0.011)	manual(0.010)	en(0.010)	chang(0.010)	languag(0.010)	find(0.010)	work(0.009)	letter(0.009)	bad(0.009)	imposs(0.009)	instruct(0.009)	list(0.009)	small(0.008)	blackberri(0.008)	default(0.008)	text(0.008)	read(0.007)	lo(0.007)	disappoint(0.007)	screen(0.007)	muy(0.006)	difficult(0.006)	spanish(0.006)	call(0.006)	absolut(0.005)	good(0.005)	time(0.005)	luck(0.005)	turn(0.005)	fine(0.005)	useless(0.005)	chines(0.005)	se(0.005)	simpl(0.004)	reset(0.004)	peopl(0.004)	intuit(0.004)	
Topic 24(0.031):	button(0.044)	screen(0.037)	time(0.026)	turn(0.017)	call(0.016)	work(0.013)	volum(0.013)	power(0.013)	press(0.012)	set(0.012)	lock(0.011)	side(0.010)	app(0.010)	open(0.010)	annoy(0.009)	chang(0.008)	touch(0.008)	problem(0.008)	option(0.007)	thing(0.007)	batteri(0.007)	ring(0.007)	menu(0.006)	reset(0.006)	mode(0.006)	hit(0.006)	start(0.006)	text(0.006)	alarm(0.006)	shut(0.006)	dial(0.005)	unlock(0.005)	hold(0.005)	top(0.005)	freez(0.005)	push(0.005)	click(0.004)	black(0.004)	number(0.004)	tone(0.004)	vibrat(0.004)	bottom(0.004)	messag(0.004)	bad(0.004)	light(0.004)	camera(0.004)	menus(0.004)	left(0.004)	switch(0.004)	find(0.004)	
Topic 25(0.027):	text(0.040)	call(0.038)	messag(0.034)	email(0.022)	send(0.021)	set(0.016)	work(0.015)	internet(0.015)	receiv(0.014)	wifi(0.014)	pictur(0.012)	data(0.011)	number(0.010)	app(0.010)	contact(0.009)	connect(0.009)	problem(0.009)	account(0.009)	plan(0.008)	access(0.008)	time(0.007)	option(0.007)	correct(0.006)	address(0.006)	issu(0.006)	web(0.006)	check(0.006)	turn(0.005)	question(0.005)	day(0.005)	fine(0.005)	open(0.005)	tmobil(0.005)	servic(0.005)	unlimit(0.005)	updat(0.005)	month(0.004)	mms(0.004)	download(0.004)	delet(0.004)	repli(0.004)	featur(0.004)	talk(0.004)	constant(0.004)	start(0.004)	error(0.004)	list(0.004)	peopl(0.004)	person(0.004)	sync(0.004)	
